date,status,started_at,finished_at,data_update_status,data_staleness_days,risk_run_id,alert_count,registry_status,retry_count,error,manual_action
2026-05-29,valid,2026-06-13T15:05:04.039793+00:00,2026-06-13T15:05:04.621454+00:00,valid,0,20260613T150504Z-risk-5c9c96be,0,valid,0,,none
2026-06-01,valid,2026-06-13T15:05:04.622668+00:00,2026-06-13T15:05:05.209300+00:00,valid,0,20260613T150504Z-risk-44012e16,0,valid,0,,none
2026-06-02,valid,2026-06-13T15:05:05.210049+00:00,2026-06-13T15:05:05.766678+00:00,valid,0,20260613T150505Z-risk-9938adfe,0,valid,0,,none
2026-06-03,valid,2026-06-13T15:05:05.768059+00:00,2026-06-13T15:05:06.381609+00:00,valid,0,20260613T150505Z-risk-02757922,0,valid,0,,none
2026-06-04,valid,2026-06-13T15:05:06.382513+00:00,2026-06-13T15:05:06.930687+00:00,valid,0,20260613T150506Z-risk-6c3b667b,0,valid,0,,none
2026-06-05,valid,2026-06-13T15:05:06.931383+00:00,2026-06-13T15:05:07.467441+00:00,valid,0,20260613T150506Z-risk-3f3f3d1d,0,valid,0,,none
2026-06-08,valid,2026-06-13T15:05:07.468163+00:00,2026-06-13T15:05:08.014622+00:00,valid,0,20260613T150507Z-risk-0017aca5,0,valid,0,,none
2026-06-09,valid,2026-06-13T15:05:08.015331+00:00,2026-06-13T15:05:08.567539+00:00,valid,0,20260613T150508Z-risk-9200ee80,0,valid,0,,none
2026-06-10,valid,2026-06-13T15:05:08.568487+00:00,2026-06-13T15:05:09.128582+00:00,valid,0,20260613T150508Z-risk-8180b545,0,valid,0,,none
2026-06-11,valid,2026-06-13T15:05:09.129464+00:00,2026-06-13T15:05:09.561806+00:00,valid,0,20260613T150509Z-risk-30c35617,0,valid,0,,none
