date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,cash_interest,execution_price_model,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2021-01-29,0.0,0.0,-0.019311475173124593,0.019311475173124593,1000000.0,0.0,0.0,1000000.0,0.0,close,0,0,0.0,980688.5248268754,-0.020019542440221638,0.0,0.0,0.0
2021-02-01,-0.0014916165782317137,0.0,0.016051767614439383,-0.017543384192671096,998508.3834217683,1.0000000000000002,1491.6165782316957,-1.1641532182693481e-10,0.0,close,0,0,-0.0014916165782317137,996430.3091295438,0.016645247449536438,0.012952513662007876,0.010785349228817215,1.0
2021-02-02,0.02367146246692542,0.02367146246692542,0.013898223484416938,0.009773238982508481,1022144.5371428471,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1010278.9202524729,0.014140658116980953,0.013984353114811457,0.02264921110322064,1.0
2021-02-03,0.020690765831826052,0.020690765831826052,0.0010087690809532646,0.019681996750872788,1043293.4904071499,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1011298.0583903623,0.0007860556528089813,0.0022452574216038925,0.021848802140932065,1.0
2021-02-04,0.028756083761809492,0.028756083761809492,0.010853322230420792,0.0179027615313887,1073294.5254054484,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1022274.0020890719,0.011365718217136722,0.012640328151397939,0.019689901043059507,1.0
2021-02-05,-0.000338089668754038,-0.000338089668754038,0.003897495164625342,-0.00423558483337938,1072931.6556148785,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.000338089668753927,1026258.3100691362,0.003935940797909154,0.005190507711090982,0.007060875921544487,1.0
2021-02-08,0.012681637612973695,0.012681637612973695,0.007399348360373592,0.005282289252600103,1086538.1860548742,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1033851.9528130661,0.007222183281301309,0.010705630145767461,0.010844238194711633,1.0
2021-02-09,-0.00830046008383245,-0.00830046008383245,-0.0011135249921484514,-0.007186935091683999,1077519.419211966,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.00830046008383245,1032700.7328254272,-0.0006661098262742415,-0.000545964989566925,-0.011801924362459847,1.0
2021-02-10,0.005323032390784022,0.005323032390784022,-0.00034518493235935477,0.005668217323143376,1083255.08998213,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.0030216113109330367,1032344.2600928195,-0.0004355490332869083,0.0022762352928906676,-0.0031812139996329446,1.0
2021-02-11,-0.003215203300409919,-0.003215203300409919,0.0016624551635393559,-0.004877658463949275,1079772.2046416337,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.006227099516683654,1034060.4861385609,0.0016151329528637515,0.0009996916329082094,-0.0032591516205060147,1.0
2021-02-12,0.005914675423361437,0.005914675423361437,0.0047110331133788375,0.0012036423099826,1086158.7067632563,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.0003492553657922226,1038931.9793299963,0.004939695259884358,0.0052880199141078135,0.0005717022420522605,1.0
2021-02-16,0.02294703048400426,0.02294703048400426,-0.0005692724183511411,0.0235163029023554,1111082.8237178195,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1038340.5440096207,-0.0008660460601583875,0.0005881703600266867,0.03801392100989509,1.0
2021-02-17,-0.0035358551531123883,-0.0035358551531123883,-0.0003204020092266724,-0.003215453143885716,1107154.1957900422,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.0035358551531123883,1038007.8576130585,0.00022946340159024636,-0.00011374250194130167,0.013612974202362812,1.0
2021-02-18,-0.016947087371608327,-0.016947087371608327,-0.004415835627354592,-0.012531251744253735,1088391.1569001456,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.02042302007850738,1033424.1855339368,-0.004255878713388284,-0.005061082565732069,-0.00833863088068762,1.0
2021-02-19,0.035885297018352746,0.035885297018352746,-0.0018548966445751658,0.03774019366292791,1127448.396837656,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1031507.2904797671,-0.0017659415913644505,0.0068543105050283566,0.031969533877150756,1.0
2021-02-22,0.02404821522597933,0.02404821522597933,-0.0077328394581538396,0.03178105468413317,1154561.5185409933,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1023530.8102025718,-0.007691670212138235,0.0008695690731914189,0.020603333599600857,1.0
2021-02-23,0.006873210798509888,0.006873210798509888,0.0012563181187927874,0.0056168926797171,1162497.0632377733,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1024816.6905045719,0.0012140136801630508,0.0032017836058743925,0.008371003097744351,1.0
2021-02-24,0.040579804930199304,0.040579804930199304,0.01135161376597904,0.029228191164220263,1209670.9672958916,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,0.0,1036450.0137561088,0.011019298894940022,0.01466607386623603,0.01530277018511338,1.0
2021-02-25,-0.03273132810547674,-0.03273132810547674,-0.02447880752512621,-0.00825252058035053,1170076.8299656603,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.03273132810547674,1011078.9533599587,-0.024095631451407806,-0.022263965770743983,-0.0369355523944456,1.0
2021-02-26,-0.00013628383117958442,-0.00013628383117958442,-0.004750214169902844,0.00461393033872326,1169917.3674124982,0.0,0.0,-1.1641532182693481e-10,-0.0,close,0,0,-0.03286315118586258,1006276.1117888177,-0.005152742247307662,-0.006757350192626032,0.018044024577256408,1.0
2021-03-01,0.02050448804407723,0.020690394346104535,0.023790763506800205,-0.003286275462722976,1193905.924085166,0.1631254500379173,217.49501145334784,2.3283064365386963e-10,-0.0,close,0,0,-0.013032505232366653,1030216.1887869278,0.024240313992632823,0.022166196596596736,0.003553289551489652,1.0
2021-03-02,-0.001181057218908932,-0.001181057218908932,-0.008080851690870694,0.006899794471961762,1192495.852874827,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.014198170316890302,1021891.1645558067,-0.007803299137433939,-0.0046566938319287455,0.02133464744163531,1.0
2021-03-03,0.011798341963803027,0.011798341963803027,-0.01306622187199813,0.024864563835801157,1206565.3267374614,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.0025673432217463432,1008538.9078706859,-0.013245652042460643,-0.006153678643292228,0.014638808641417887,1.0
2021-03-04,-0.025049845705988005,-0.025049845705988005,-0.013417213930100202,-0.011632631775887803,1176341.051468493,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.027552877376155194,995007.1255869552,-0.012374822273562791,-0.0147807007781181,-0.02910288833088567,1.0
2021-03-05,0.00808442457513392,0.00808442457513392,0.01949596819778221,-0.01141154362264829,1185851.0919737236,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.01969120195999663,1014405.7528639651,0.01839681480760791,0.022831728976700945,-0.014856796924705951,1.0
2021-03-08,0.017616888360397986,0.017616888360397986,-0.005359231030161227,0.022976119390559213,1206742.0982730808,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.0024212113062100915,1008969.3180760426,-0.004978733312967498,0.005757846096107448,0.01059384237835507,1.0
2021-03-09,-0.006286045019068043,-0.006286045019068043,0.01415464230382213,-0.020440687322890172,1199156.4631169315,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.00869203648200656,1023250.9178689404,0.014277358273924401,0.0038645800716985887,0.022839681132823305,1.0
2021-03-10,0.015037244046530951,0.015037244046530951,0.006030313342701321,0.00900693070382963,1217188.4715027956,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,0.0,1029421.4415318967,0.006224513805906495,0.009852947128138048,-0.01369782908305848,1.0
2021-03-11,0.007617734958753397,0.007617734958753397,0.010395487004435822,-0.0027777520456824245,1226460.690673554,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,0.0,1040122.7787494292,0.010139366325156551,0.00642515361079707,0.01812642396409082,1.0
2021-03-12,0.017883065300068335,0.017883065300068335,0.0010153984958789497,0.016867666804189385,1248393.567292836,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,0.0,1041178.9178545008,0.0013467367810584552,0.0068264284005340094,0.02007828242373655,1.0
2021-03-15,0.017910659580490096,0.017910659580490096,0.006491921301497117,0.01141873827899298,1270753.1194990918,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,0.0,1047938.16944999,0.005963359992812389,0.009515989472404198,0.027694798948906835,1.0
2021-03-16,-0.027609219335663848,-0.027609219335663848,-0.0015696837343783798,-0.02603953560128547,1235668.6179013622,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.027609219335663848,1046293.2379507701,-0.0012612855784746024,-0.008843779652247585,-0.027440286482634114,1.0
2021-03-17,0.014855948409973951,0.014855948409973951,0.00287938213053085,0.011976566279443102,1254025.6471407288,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.013163432063780123,1049305.9160034207,0.003409738637488946,0.0043189186425191955,0.013497238786534228,1.0
2021-03-18,-0.014676672079405373,-0.014676672079405373,-0.014760539319459198,8.38672400538254e-05,1235620.7239384803,0.0,0.0,2.3283064365386963e-10,0.0,close,0,0,-0.02764690876734588,1033817.5947721112,-0.014549585620222905,-0.009092308648207028,-0.017954236851018393,1.0
