category,metric,value
performance,total_return,1.2244686015908006
performance,gross_total_return,1.2336393448797809
performance,net_total_return,1.2244686015908006
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.1612125952366641
performance,annualized_volatility,0.2407134184770428
performance,downside_volatility,0.16489066329684102
performance,sharpe_ratio,0.7413625516048277
performance,sortino_ratio,1.0822681561199103
performance,calmar_ratio,0.4545975088080483
performance,omega_ratio,1.137663371456385
performance,max_drawdown,-0.3546270978460979
performance,var_95_daily,-0.023082928287131533
performance,cvar_95_daily,-0.03346334867053936
benchmark,alpha_annualized,0.01029542869114039
benchmark,beta,1.2086090445045832
benchmark,correlation,0.8415639266273327
benchmark,r_squared,0.7082298426004147
benchmark,tracking_error,0.13464242059553252
benchmark,information_ratio,0.2920354735362036
benchmark,up_capture,1.2011875217329901
benchmark,down_capture,1.1883077155386288
portfolio,average_turnover,0.06308712597445337
portfolio,average_number_of_holdings,25.0
portfolio,cost_drag,0.009170743288980265
portfolio,max_adv_participation,0.00101918396554106
