fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07555798144952898,0.23696129475911676,0.025281236997465414
2,lightgbm,2016-04-29,2019-03-29,2019-04-30,2019-06-28,13896,1249,418,0.07464079025812417,0.23540310969201692,0.0360852490133776
3,lightgbm,2016-07-29,2019-06-28,2019-07-31,2019-09-30,14019,1260,416,0.0768101709571413,0.23934388152373431,-0.04210066548405642
4,lightgbm,2016-10-31,2019-09-30,2019-10-31,2019-12-31,14124,1279,422,0.07470179750414406,0.2357357553771404,0.011617719303926912
5,lightgbm,2017-01-31,2019-12-31,2020-01-31,2020-03-31,14238,1283,429,0.07748402262676388,0.24063003521440457,0.0694682536099229
6,lightgbm,2017-04-28,2020-03-31,2020-04-30,2020-06-30,14359,1297,424,0.07510794698707912,0.2366176660101327,0.04252689598659229
7,lightgbm,2017-07-31,2020-06-30,2020-07-31,2020-09-30,14463,1304,434,0.07518723461067212,0.2361013025847095,-0.050810086949244514
8,lightgbm,2017-10-31,2020-09-30,2020-10-30,2020-12-31,14573,1310,434,0.07647220748027485,0.23918638373669662,-0.0034034995612955963
9,lightgbm,2018-01-31,2020-12-31,2021-01-29,2021-03-31,14676,1324,438,0.07612943382604372,0.23792820688975796,-0.01669667830891142
10,lightgbm,2018-04-30,2021-03-31,2021-04-30,2021-06-30,14783,1339,444,0.07669377311569867,0.23811893215190916,0.008700525883463907
11,lightgbm,2018-07-31,2021-06-30,2021-07-30,2021-09-30,14903,1343,447,0.0767453116193211,0.23907644450633728,0.00670921190868728
12,lightgbm,2018-10-31,2021-09-30,2021-10-29,2021-12-31,15024,1347,447,0.07900636158206452,0.2428977555433756,-0.07705403550005015
13,lightgbm,2019-01-31,2021-12-31,2022-01-31,2022-03-31,15134,1351,450,0.07873440267318815,0.24306194136339448,-0.0017025103560479103
14,lightgbm,2019-04-30,2022-03-31,2022-04-29,2022-06-30,15235,1365,451,0.07705941988820844,0.23856887988919676,0.00041109673516918075
15,lightgbm,2019-07-31,2022-06-30,2022-07-29,2022-09-30,15345,1371,457,0.07659354727520462,0.23788664783201127,-0.021721294210980815
16,lightgbm,2019-10-31,2022-09-30,2022-10-31,2022-12-30,15456,1384,457,0.07801447045425959,0.24019081647135437,-0.015455750986118932
17,lightgbm,2020-01-31,2022-12-30,2023-01-31,2023-03-31,15555,1391,463,0.07719518015468256,0.23897724386983518,-0.03343966500255534
18,lightgbm,2020-04-30,2023-03-31,2023-04-28,2023-06-30,15661,1398,465,0.07783214099732605,0.2411103564291381,0.12172788658403844
19,lightgbm,2020-07-31,2023-06-30,2023-07-31,2023-09-29,15760,1398,467,0.07840982652090984,0.24142193318434194,-0.012511204274920862
20,lightgbm,2020-10-30,2023-09-29,2023-10-31,2023-12-29,15856,1397,465,0.07673622733565313,0.2390720836988369,0.03865016472672757
