fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,lightgbm,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.08282550416047427,0.24912277074739705,0.09919634696330044
2,lightgbm,2016-04-29,2021-03-31,2021-04-30,2021-06-30,24176,1339,444,0.08328324337098092,0.2498908094560467,0.011738448930833707
3,lightgbm,2016-07-29,2021-06-30,2021-07-30,2021-09-30,24384,1343,447,0.083236092544642,0.24979574742860491,0.0487463456414295
4,lightgbm,2016-10-31,2021-09-30,2021-10-29,2021-12-31,24578,1347,447,0.0835125881686032,0.250460589567742,-0.02948209436093996
5,lightgbm,2017-01-31,2021-12-31,2022-01-31,2022-03-31,24764,1351,450,0.08341049663129428,0.25006206190871283,0.00745340912108122
6,lightgbm,2017-04-28,2022-03-31,2022-04-29,2022-06-30,24947,1365,451,0.0833134619475242,0.2500964412365071,0.05099446541749262
7,lightgbm,2017-07-31,2022-06-30,2022-07-29,2022-09-30,25123,1371,457,0.08331861892982105,0.2500218032222914,0.013156509546424488
8,lightgbm,2017-10-31,2022-09-30,2022-10-31,2022-12-30,25300,1384,457,0.0834898741576111,0.25001572048412984,0.014928958444234966
9,lightgbm,2018-01-31,2022-12-30,2023-01-31,2023-03-31,25475,1391,463,0.08281522617281628,0.24940215087382064,0.060756655398199175
10,lightgbm,2018-04-30,2023-03-31,2023-04-28,2023-06-30,25653,1398,465,0.08310264109074453,0.24973339584923687,0.05719582355554091
11,lightgbm,2018-07-31,2023-06-30,2023-07-31,2023-09-29,25833,1398,467,0.08336172333328855,0.2500187673452765,-0.015132341515299262
12,lightgbm,2018-10-31,2023-09-29,2023-10-31,2023-12-29,26011,1397,465,0.08342735280666218,0.2501120175056934,0.019095946460577166
13,lightgbm,2019-01-31,2023-12-29,2024-01-31,2024-03-28,26172,1402,467,0.08325920091538076,0.24999376819868246,0.0336135461822212
14,lightgbm,2019-04-30,2024-03-28,2024-04-30,2024-06-28,26324,1402,468,0.08360645046992735,0.25029370345028074,-0.004198490882560991
15,lightgbm,2019-07-31,2024-06-28,2024-07-31,2024-09-30,26477,1408,468,0.08351964761697019,0.25034652698757154,-0.04301194578956609
16,lightgbm,2019-10-31,2024-09-30,2024-10-31,2024-12-31,26624,1410,469,0.08337586715636223,0.2500802111012054,0.005016585809914897
17,lightgbm,2020-01-31,2024-12-31,2025-01-31,2025-03-31,26752,1418,472,0.08386260763626474,0.25092117220295873,-0.10574967348118139
18,lightgbm,2020-04-30,2025-03-31,2025-04-30,2025-06-30,26886,1420,473,0.08338544630884848,0.25013046113039844,0.016571511680506832
19,lightgbm,2020-07-31,2025-06-30,2025-07-31,2025-09-30,27008,1423,474,0.08213095571500796,0.24812506228278583,0.20830293388094623
20,lightgbm,2020-10-30,2025-09-30,2025-10-31,2025-12-31,27127,1423,474,0.08301491833688866,0.24943968174666123,0.07783416754651883
21,lightgbm,2021-01-29,2025-12-31,2026-01-30,2026-03-31,27239,1429,475,0.08308345741342676,0.24935135656946536,0.06532489532141714
22,lightgbm,2021-04-30,2026-03-31,2026-04-30,2026-04-30,27342,478,477,0.08278985393053927,0.24956504134612265,0.09778119469551859
