category,metric,value
performance,total_return,1.26184698441104
performance,gross_total_return,1.2702144018295694
performance,net_total_return,1.26184698441104
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.1648356070011261
performance,annualized_volatility,0.19916907232267214
performance,downside_volatility,0.1366830966204265
performance,sharpe_ratio,0.8658088906231244
performance,sortino_ratio,1.261621647576567
performance,calmar_ratio,0.5876333963569742
performance,omega_ratio,1.1619711959781762
performance,max_drawdown,-0.28050755457913445
performance,var_95_daily,-0.019884811593099797
performance,cvar_95_daily,-0.028000302934185928
benchmark,alpha_annualized,0.02312556352991704
benchmark,beta,1.0731749640897614
benchmark,correlation,0.9031298650091243
benchmark,r_squared,0.815643553071399
benchmark,tracking_error,0.08639177183566721
benchmark,information_ratio,0.38553211463819786
benchmark,up_capture,1.0816052016746291
benchmark,down_capture,1.0566453848752668
portfolio,average_turnover,0.06050038115628107
portfolio,average_number_of_holdings,25.0
portfolio,cost_drag,0.00836741741852931
portfolio,max_adv_participation,0.0008308497661019509
