category,metric,value
performance,total_return,1.2374204469988195
performance,gross_total_return,1.2439700351915222
performance,net_total_return,1.2374204469988195
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.16247355776549766
performance,annualized_volatility,0.18910298643160106
performance,downside_volatility,0.12945083791087628
performance,sharpe_ratio,0.8908254870171645
performance,sortino_ratio,1.3013261459173429
performance,calmar_ratio,0.6235287773617132
performance,omega_ratio,1.1679472857724416
performance,max_drawdown,-0.26057106530505114
performance,var_95_daily,-0.019115265846222806
performance,cvar_95_daily,-0.026745723466076548
benchmark,alpha_annualized,0.02732309507292753
benchmark,beta,1.0143681023651514
benchmark,correlation,0.8990808932311014
benchmark,r_squared,0.8083464525732351
benchmark,tracking_error,0.08282100524067794
benchmark,information_ratio,0.354043141931649
benchmark,up_capture,1.0124173409731703
benchmark,down_capture,0.9810427662241471
portfolio,average_turnover,0.048782490040417466
portfolio,average_number_of_holdings,35.0
portfolio,cost_drag,0.006549588192702682
portfolio,max_adv_participation,0.0008308498462374194
