category,metric,value
performance,total_return,1.539127411645142
performance,gross_total_return,1.5475526668623245
performance,net_total_return,1.539127411645142
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.19029109457731952
performance,annualized_volatility,0.18351833844346005
performance,downside_volatility,0.1267809697937338
performance,sharpe_ratio,1.041330258980967
performance,sortino_ratio,1.5073492434235214
performance,calmar_ratio,0.8023196590000788
performance,omega_ratio,1.19838646534332
performance,max_drawdown,-0.2371761584584341
performance,var_95_daily,-0.01798659782189435
performance,cvar_95_daily,-0.026153300781840468
benchmark,alpha_annualized,0.05584950591330695
benchmark,beta,0.972100170981997
benchmark,correlation,0.8878367606652336
benchmark,r_squared,0.7882541135885354
benchmark,tracking_error,0.08457690846826621
benchmark,information_ratio,0.6144425088273291
benchmark,up_capture,0.9801925969687257
benchmark,down_capture,0.9179726790499869
portfolio,average_turnover,0.056823762014621276
portfolio,average_number_of_holdings,25.0
portfolio,cost_drag,0.008425255217182404
portfolio,max_adv_participation,0.0008308497769880247
