date,symbol,weight,sector,position_value
2021-02-01,UAL,0.04999999779176108,Industrials,49939.557248116565
2021-02-01,AMZN,0.049999998746909746,Consumer Discretionary,49939.55820211064
2021-02-01,NCLH,0.04999995779997002,Consumer Discretionary,49939.51730466802
2021-02-01,BIO,0.04999999884639941,Information Technology,49939.55830148004
2021-02-01,AAL,0.049999996887152655,Industrials,49939.556344601646
2021-02-01,RCL,0.04999996096986841,Consumer Discretionary,49939.520470734606
2021-02-01,C,0.049999997506400225,Financials,49939.55696310066
2021-02-01,FTI,0.04999999059483889,Industrials,49939.55005989409
2021-02-01,AVGO,0.049999997433021255,Information Technology,49939.556889810396
2021-02-01,ALGN,0.04999999597607385,Health Care,49939.55543462416
2021-02-01,EXPE,0.048561261497018095,Consumer Discretionary,48502.5601135267
2021-02-01,DRI,0.0001000222664552871,Consumer Discretionary,99.90135844672496
2021-02-01,ROL,0.04999999783815772,Industrials,49939.557294457125
2021-02-01,NRG,0.04999999614144996,Utilities,49939.55559980036
2021-02-01,DIS,0.04999999366839181,Communication Services,49939.55312973167
2021-02-01,SLB,0.00010001526327478579,Energy,99.89436373174475
2021-02-01,WY,0.00010001607796947884,Real Estate,99.89517744162596
2021-02-01,CAH,0.04999999513123982,Health Care,49939.55459081138
2021-02-01,BSX,0.04999996691773907,Health Care,49939.52641141542
2021-02-01,TYL,0.0499999957537705,Information Technology,49939.55521258954
2021-02-01,EIX,0.04970007546936042,Utilities,49639.997475096265
2021-02-01,KO,0.049999967309691556,Consumer Staples,49939.52680289411
2021-02-01,TSCO,0.0013387916742560303,Consumer Discretionary,1337.173328252181
2021-02-01,NVDA,0.00010002165834955065,Information Technology,99.90075107607336
2021-02-01,KR,0.04999999078048053,Consumer Staples,49939.55024531133
2021-02-02,UAL,0.05027078253356254,Industrials,51052.38567832855
2021-02-02,AMZN,0.049721041917510464,Consumer Discretionary,50494.0977715311
2021-02-02,NCLH,0.05036042160358961,Consumer Discretionary,51143.41844416651
2021-02-02,BIO,0.049587223700989745,Information Technology,50358.198967965815
2021-02-02,AAL,0.04844495791182443,Industrials,49198.17338895887
2021-02-02,RCL,0.05136632783726618,Consumer Discretionary,52164.964368254834
2021-02-02,C,0.050142834607404,Financials,50922.44843558468
2021-02-02,FTI,0.04894562872380766,Industrials,49706.62856118908
2021-02-02,AVGO,0.05024333579562484,Information Technology,51024.51220232145
2021-02-02,ALGN,0.0505079375483975,Health Care,51293.227946395906
2021-02-02,EXPE,0.05107280802445889,Consumer Discretionary,51866.88095016473
