date,symbol,weight,sector,position_value
2021-02-01,AAL,0.049999998698299325,Industrials,49947.667949583425
2021-02-01,F,0.04999999849571963,Consumer Discretionary,49947.66774721575
2021-02-01,AVGO,0.04999999818295763,Information Technology,49947.6674347811
2021-02-01,LYV,0.04999999369513009,Communication Services,49947.662951650585
2021-02-01,CCL,0.029996902038960074,Consumer Discretionary,29965.506831285606
2021-02-01,BA,0.04999997422505153,Industrials,49947.6435019497
2021-02-01,FTI,0.04999992850392148,Industrials,49947.59782867207
2021-02-01,TSLA,0.04999998416663884,Consumer Discretionary,49947.65343313199
2021-02-01,EA,0.04999999301462479,Communication Services,49947.66227185751
2021-02-01,TROW,0.0499999790843206,Financials,49947.64835613299
2021-02-01,BMY,0.049999990325789154,Health Care,49947.65958583605
2021-02-01,SBAC,0.049999982431535146,Real Estate,49947.65169984429
2021-02-01,AON,0.04999990149424088,Financials,49947.570847260205
2021-02-01,WTW,0.04999979273897702,Financials,49947.46220582124
2021-02-01,BKNG,0.04999985856152825,Consumer Discretionary,49947.527959481595
2021-02-01,AJG,0.03506455530572757,Financials,35027.85621612137
2021-02-01,GOOG,0.049999975820717794,Communication Services,49947.64509594592
2021-02-01,PGR,0.04999996067989185,Financials,49947.629970966584
2021-02-01,CHTR,0.04999997873756615,Communication Services,49947.64800974145
2021-02-01,CBOE,0.014935780853459322,Financials,14920.148841157996
2021-02-01,GEN,0.04999998160816621,Information Technology,49947.6508773371
2021-02-01,NRG,0.019702613314445384,Utilities,19681.99226378044
2021-02-01,COO,0.00010013239967188331,Health Care,100.02759960024396
2021-02-01,CVS,0.00010015312534964465,Health Care,100.04830358620003
2021-02-01,WMT,0.00010059249730960731,Consumer Staples,100.48721569287814
2021-02-02,AAL,0.04839374818313193,Industrials,49206.16457225258
2021-02-02,F,0.04925908018962723,Consumer Discretionary,50086.02345319966
2021-02-02,AVGO,0.050190223989742724,Information Technology,51032.798951876284
2021-02-02,LYV,0.051173431282035976,Communication Services,52032.51196542798
