category,metric,value
performance,total_return,1.1815635932858433
performance,gross_total_return,1.1890387245206093
performance,net_total_return,1.1815635932858433
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.15699236590412813
performance,annualized_volatility,0.1695986261038669
performance,downside_volatility,0.11622567113778105
performance,sharpe_ratio,0.944832236199684
performance,sortino_ratio,1.378716488271766
performance,calmar_ratio,0.6754239702714827
performance,omega_ratio,1.1771034469278097
performance,max_drawdown,-0.23243528926138934
performance,var_95_daily,-0.016350090825402796
performance,cvar_95_daily,-0.023512891139619383
benchmark,alpha_annualized,0.030508464210205533
benchmark,beta,0.9324272908634086
benchmark,correlation,0.9214976210604034
benchmark,r_squared,0.8491578656199829
benchmark,tracking_error,0.06683601655778293
benchmark,information_ratio,0.3157982652793022
benchmark,up_capture,0.9496214971061828
benchmark,down_capture,0.9176538437772446
portfolio,average_turnover,0.057575217247292816
portfolio,average_number_of_holdings,25.0
portfolio,cost_drag,0.007475131234766064
portfolio,max_adv_participation,0.0007378516822735232
