category,metric,value
performance,total_return,1.2540093436049307
performance,gross_total_return,1.2615772366999667
performance,net_total_return,1.2540093436049307
performance,benchmark_total_return,0.9523522945885488
performance,cagr,0.16407997549792785
performance,annualized_volatility,0.18158197879397184
performance,downside_volatility,0.12472396576126658
performance,sharpe_ratio,0.9277189470170067
performance,sortino_ratio,1.3506389179963265
performance,calmar_ratio,0.6228626601148367
performance,omega_ratio,1.1719873984476659
performance,max_drawdown,-0.2634288198744753
performance,var_95_daily,-0.018154204216658275
performance,cvar_95_daily,-0.025208303914415885
benchmark,alpha_annualized,0.029150367781315252
benchmark,beta,1.0012299035752648
benchmark,correlation,0.9241929250015559
benchmark,r_squared,0.8541325626229316
benchmark,tracking_error,0.06935117758374623
benchmark,information_ratio,0.4227973066155399
benchmark,up_capture,1.026693083286118
benchmark,down_capture,0.9975776780170811
portfolio,average_turnover,0.05985866226770512
portfolio,average_number_of_holdings,25.0
portfolio,cost_drag,0.007567893095036027
portfolio,max_adv_participation,0.0004972925028869441
