sector,total_contribution,average_weight,active_days,average_return_coverage
Information Technology,0.12508487342125213,0.19237462687873783,334,1.0
Consumer Discretionary,0.09470813443974534,0.23467571719680214,334,1.0
Utilities,0.07730123390809772,0.09721522221231131,334,1.0
Health Care,0.052273035599296934,0.159724179836879,334,1.0
Financials,0.050208786085864605,0.0994440129270735,334,1.0
Industrials,0.009028696332188293,0.1008455049017239,334,1.0
Communication Services,0.0011419374172972256,0.009115963058274489,334,1.0
Energy,4.1790998048965275e-05,0.00010728198993704232,334,1.0
Materials,-6.172080155577684e-06,0.0002503436088653681,334,1.0
Consumer Staples,-0.008746069429777327,0.106246954101878,334,1.0
