date,portfolio_return,gross_return,benchmark_return,active_return,portfolio_value,turnover,transaction_cost,cash,delisting_liquidations,missing_return_fills,drawdown,benchmark_value,secondary_benchmark_return,internal_equal_weight_return,internal_cap_weight_return,internal_benchmark_coverage
2023-01-03,0.0,0.0,-0.006759821717806647,0.006759821717806647,1000000.0,0.0,0.0,1000000.0,0,0,0.0,993240.1782821934,-0.004209849869997728,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.004763785491689765,-0.004763785491689765,1000000.0,0.0,0.0,1000000.0,0,0,0.0,997971.7614332574,0.0077201757699632,0.0,0.0,0.0
2023-01-05,0.0,0.0,-0.015654163898733087,0.015654163898733087,1000000.0,0.0,0.0,1000000.0,0,0,0.0,982349.3479134738,-0.011413405270080057,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.02760135068845515,-0.02760135068845515,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1009463.5167638089,0.022932346410464044,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0064730997485749064,-0.0064730997485749064,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1015997.8748003682,-0.0005670697129895874,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.008464679126249264,-0.008464679126249264,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1024597.9708035045,0.007012738525199236,0.0,0.0,0.0
2023-01-11,0.0,0.0,0.01730021746271304,-0.01730021746271304,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1042323.7385102595,0.012648103758414297,0.0,0.0,0.0
2023-01-12,0.0,0.0,0.005404354910330422,-0.005404354910330422,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1047956.8259246314,0.0036406431735866995,0.0,0.0,0.0
2023-01-13,0.0,0.0,0.006880546279011579,-0.006880546279011579,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1055167.341363812,0.0038795684189643076,0.0,0.0,0.0
2023-01-17,0.0,0.0,0.00202881257060028,-0.00202881257060028,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1057308.0781300578,-0.0018318329281454826,0.0,0.0,0.0
2023-01-18,0.0,0.0,-0.013000096567094999,0.013000096567094999,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1043562.9710131976,-0.01578814853656607,0.0,0.0,0.0
2023-01-19,0.0,0.0,-0.00982431292722008,0.00982431292722008,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1033310.6818267044,-0.007279804928614797,0.0,0.0,0.0
2023-01-20,0.0,0.0,0.027366795922028953,-0.027366795922028953,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1061589.0843803084,0.01862883632496537,0.0,0.0,0.0
2023-01-23,0.0,0.0,0.022215942428968294,-0.022215942428968294,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1085173.2863621225,0.011998786081234503,0.0,0.0,0.0
2023-01-24,0.0,0.0,-0.002041611190246928,0.002041611190246928,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1082957.7844373283,-0.001073264207500868,0.0,0.0,0.0
2023-01-25,0.0,0.0,-0.0022192456808417527,0.0022192456808417527,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1080554.4350516817,0.00037473755047634505,0.0,0.0,0.0
2023-01-26,0.0,0.0,0.01949718552851576,-0.01949718552851576,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1101622.205345545,0.010990463237791737,0.0,0.0,0.0
2023-01-27,0.0,0.0,0.009954361790945221,-0.009954361790945221,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1112588.1513344932,0.0022976321167962332,0.0,0.0,0.0
2023-01-30,0.0,0.0,-0.02021869806162535,0.02021869806162535,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1090093.0674357193,-0.012546761682151741,0.0,0.0,0.0
2023-01-31,0.0,0.0,0.014985940934994835,-0.014985940934994835,1000000.0,0.0,0.0,1000000.0,0,0,0.0,1106429.1377579581,0.014703208495805198,0.0,0.0,0.0
2023-02-01,-0.0008895722426710551,0.0,0.021383702250563186,-0.02227327449323424,999110.427757329,0.9999999999999999,889.5722426710602,0.0,0,0,-0.0008895722426710551,1130088.6890011218,0.010627754334669115,0.0059543286990977546,-0.00019890087266432124,1.0
