factor_name,ic,rank_ic,ic_ir,t_stat,coverage,missing_rate,quantile_monotonicity,top_quantile_turnover
accruals,-0.06988239910451652,-0.07401837566649994,-0.4520272832497728,-2.858871559214722,0.975609756097561,0.0,-0.7,0.24583333333333335
beta_to_spy,-0.13784725432369058,-0.09856410256410256,-0.5271089519231432,-3.333729726282648,0.975609756097561,0.0,-0.49999999999999994,0.05833333333333333
book_to_market,-0.07348537436924629,-0.062137498913087855,-0.35442386451869384,-2.24157333799602,0.975609756097561,0.0,-0.19999999999999998,0.09166666666666666
debt_to_equity,-0.043617114847742895,-0.05132651954735806,-0.33983638972389696,-2.149314046672309,0.975609756097561,0.0,-0.8999999999999998,0.27083333333333337
earnings_yield,-0.06259397409589966,-0.058195995174446916,-0.3857767041486549,-2.439866106685355,0.975609756097561,0.0,-0.49999999999999994,0.04999999999999999
free_cash_flow_yield,-0.057236639002409086,-0.03935860608571291,-0.2566489046461107,-1.6231901953381607,0.975609756097561,0.0,-0.19999999999999998,0.07083333333333333
gross_margin,-0.02816889819333123,-0.05053813710725502,-0.3467289282834346,-2.192906288089659,0.975609756097561,0.0,-0.6,0.25833333333333336
max_drawdown_252d,0.08684423637334676,0.047863849960802285,0.22487329568905126,1.4222235986518503,0.975609756097561,0.0,0.49999999999999994,0.1375
momentum_12_1,0.024899317055199766,0.0044549979577056115,0.02333011934558767,0.14755263043122804,0.975609756097561,0.0,0.09999999999999999,0.175
momentum_3m,0.06669843885516374,0.015109076839762151,0.06002385589865114,0.37962419717094104,0.975609756097561,0.0,0.0,0.45833333333333337
momentum_6m,0.046685850450194896,0.0037871767835923375,0.01753151545624057,0.11087903935233244,0.975609756097561,0.0,0.3,0.2791666666666667
operating_margin,0.06337153648324663,0.07017281953369503,0.44522299654217057,2.8158374715170593,0.975609756097561,0.0,0.6,0.062499999999999986
realized_vol_252d,-0.14436573966390998,-0.08185545493804572,-0.36714594262324957,-2.322034824757927,0.975609756097561,0.0,-0.3,0.06666666666666665
realized_vol_60d,-0.09438445722588557,-0.059930915151735834,-0.3147968229003747,-1.9909499210996733,0.975609756097561,0.0,-0.7,0.22916666666666666
roe,0.04966914185523047,0.04305224219228511,0.26286975600567564,1.6625343139013216,0.975609756097561,0.0,0.3,0.2
sales_yield,-0.0814697736754217,-0.06884778038639192,-0.39102415749559005,-2.473053915668933,0.975609756097561,0.0,-0.3,0.03749999999999999
