date,symbol,weight,sector,position_value
2023-02-01,AAPL,0.15000000013191328,Information Technology,149866.56429539528
2023-02-01,CAT,0.1499999973916365,Industrials,149866.56155755618
2023-02-01,MSFT,0.14999999661882923,Information Technology,149866.56078543636
2023-02-01,SBUX,0.14999999135408015,Consumer Discretionary,149866.55552537067
2023-02-01,DIS,0.14999999184365148,Communication Services,149866.5560145065
2023-02-01,LLY,0.14999996941889507,Healthcare,149866.53360969853
2023-02-01,WMT,0.03999997110816447,Consumer Staples,39964.388244159
2023-02-01,MRK,0.020000052717316832,Healthcare,19982.26122556755
2023-02-01,AMGN,0.020000015842096094,Healthcare,19982.224383149984
2023-02-01,HD,0.020000013573416825,Consumer Discretionary,19982.22211648887
2023-02-02,AAPL,0.1542524653743266,Information Technology,155420.99671300163
2023-02-02,CAT,0.14597408938635043,Industrials,147079.90832848896
2023-02-02,MSFT,0.15571334977360535,Information Technology,156892.94796426615
2023-02-02,SBUX,0.147603849702267,Consumer Discretionary,148722.01480690646
2023-02-02,DIS,0.15393392454335347,Communication Services,155100.04279292334
2023-02-02,LLY,0.14358594059916674,Healthcare,144673.66824731868
2023-02-02,WMT,0.039376041652200294,Consumer Staples,39674.33275926241
2023-02-02,MRK,0.019179480560632175,Healthcare,19324.773694458076
2023-02-02,AMGN,0.019841646247909198,Healthcare,19991.95558264379
2023-02-02,HD,0.020539212160188704,Consumer Discretionary,20694.8058683517
2023-02-03,AAPL,0.1589316135251578,Information Technology,159213.25160883425
2023-02-03,CAT,0.1485343133568177,Industrials,148797.52668767204
2023-02-03,MSFT,0.15291605207783596,Information Technology,153187.03016026606
2023-02-03,SBUX,0.14186229134829373,Consumer Discretionary,142113.68138325968
2023-02-03,DIS,0.1514066758064222,Communication Services,151674.97916712012
2023-02-03,LLY,0.14807727196262976,Healthcare,148339.67538374013
2023-02-03,WMT,0.03907745404459467,Consumer Staples,39146.70206283324
2023-02-03,MRK,0.01919363751676521,Healthcare,19227.650002821967
2023-02-03,AMGN,0.01984650017121685,Healthcare,19881.669576169887
2023-02-03,HD,0.02015419019026618,Consumer Discretionary,20189.90484374095
2023-02-06,AAPL,0.15650522965197647,Information Technology,156358.75013852006
2023-02-06,CAT,0.15113707070283336,Industrials,150995.61546436622
2023-02-06,MSFT,0.15239281527999216,Information Technology,152250.18473987473
2023-02-06,SBUX,0.1432287487897608,Consumer Discretionary,143094.69526655044
2023-02-06,DIS,0.1506651896909392,Communication Services,150524.1761048129
2023-02-06,LLY,0.1478568943218909,Healthcare,147718.5091318905
2023-02-06,WMT,0.038898580849346324,Consumer Staples,38862.17410939503
2023-02-06,MRK,0.019449446434332773,Healthcare,19431.24291834144
2023-02-06,AMGN,0.019793147436212796,Healthcare,19774.6222366864
2023-02-06,HD,0.020072876842715172,Consumer Discretionary,20054.089833232298
2023-02-07,AAPL,0.1572713192937151,Information Technology,159367.8381230133
2023-02-07,CAT,0.14796615513488065,Industrials,149938.63067417327
2023-02-07,MSFT,0.15656104042886976,Information Technology,158648.0908247569
2023-02-07,SBUX,0.14364603273763413,Consumer Discretionary,145560.9185142709
2023-02-07,DIS,0.15092349059042642,Communication Services,152935.38914400383
2023-02-07,LLY,0.1466473435272914,Healthcare,148602.23853518118
2023-02-07,WMT,0.03843271369250902,Consumer Staples,38945.044283230985
2023-02-07,MRK,0.01947976431384674,Healthcare,19739.440985077556
2023-02-07,AMGN,0.019526488432056916,Healthcare,19786.787963158495
2023-02-07,HD,0.019545651848769822,Consumer Discretionary,19806.206839443767
2023-02-08,AAPL,0.1551756910787874,Information Technology,156554.57784645804
2023-02-08,CAT,0.14814773906999298,Industrials,149464.175656444
2023-02-08,MSFT,0.1567629303670448,Information Technology,158155.9212977869
2023-02-08,SBUX,0.1435630504390411,Consumer Discretionary,144838.74761300322
