signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2015-01-30,2015-02-02,25,25,0,1.0,1.0,0.0,0
2015-02-27,2015-03-02,25,0,0,1.0,1.0,0.0,0
2015-03-31,2015-04-01,25,0,0,1.0,1.0,0.0,0
2015-04-30,2015-05-01,25,0,0,1.0,1.0,0.0,0
2015-05-29,2015-06-01,25,0,0,1.0,1.0,0.0,0
2015-06-30,2015-07-01,25,0,0,1.0,1.0,0.0,0
2015-07-31,2015-08-03,25,0,0,1.0,1.0,0.0,0
2015-08-31,2015-09-01,25,0,0,1.0,1.0,0.0,0
2015-09-30,2015-10-01,25,0,0,1.0,1.0,0.0,0
2015-10-30,2015-11-02,25,0,0,1.0,1.0,0.0,0
2015-11-30,2015-12-01,25,0,0,1.0,1.0,0.0,0
2015-12-31,2016-01-04,25,0,0,1.0,1.0,0.0,0
2016-01-29,2016-02-01,25,0,0,1.0,1.0,0.0,0
2016-02-29,2016-03-01,25,0,0,1.0,1.0,0.0,0
2016-03-31,2016-04-01,25,0,0,1.0,1.0,0.0,0
2016-04-29,2016-05-02,25,0,0,1.0,1.0,0.0,0
2016-05-31,2016-06-01,26,1,0,1.0,1.0,0.0,0
2016-06-30,2016-07-01,26,0,0,1.0,1.0,0.0,0
2016-07-29,2016-08-01,26,0,0,1.0,1.0,0.0,0
2016-08-31,2016-09-01,26,0,0,1.0,1.0,0.0,0
2016-09-30,2016-10-03,26,0,0,1.0,1.0,0.0,0
2016-10-31,2016-11-01,26,0,0,1.0,1.0,0.0,0
2016-11-30,2016-12-01,26,0,0,1.0,1.0,0.0,0
2016-12-30,2017-01-03,26,0,0,1.0,1.0,0.0,0
2017-01-31,2017-02-01,26,0,0,1.0,1.0,0.0,0
2017-02-28,2017-03-01,26,0,0,1.0,1.0,0.0,0
2017-03-31,2017-04-03,26,0,0,1.0,1.0,0.0,0
2017-04-28,2017-05-01,26,0,0,1.0,1.0,0.0,0
2017-05-31,2017-06-01,26,0,0,1.0,1.0,0.0,0
2017-06-30,2017-07-03,26,0,0,1.0,1.0,0.0,0
2017-07-31,2017-08-01,26,0,0,1.0,1.0,0.0,0
2017-08-31,2017-09-01,26,0,0,1.0,1.0,0.0,0
2017-09-29,2017-10-02,26,0,0,1.0,1.0,0.0,0
2017-10-31,2017-11-01,26,0,0,1.0,1.0,0.0,0
2017-11-30,2017-12-01,26,0,0,1.0,1.0,0.0,0
2017-12-29,2018-01-02,26,0,0,1.0,1.0,0.0,0
2018-01-31,2018-02-01,26,0,0,1.0,1.0,0.0,0
2018-02-28,2018-03-01,26,0,0,1.0,1.0,0.0,0
2018-03-29,2018-04-02,26,0,0,1.0,1.0,0.0,0
2018-04-30,2018-05-01,26,0,0,1.0,1.0,0.0,0
2018-05-31,2018-06-01,26,0,0,1.0,1.0,0.0,0
2018-06-29,2018-07-02,26,0,0,1.0,1.0,0.0,0
