start_date,trough_date,recovery_date,max_drawdown,duration_days
2015-01-30,2015-02-02,2015-02-03,-0.0009029638352271441,4
2015-02-05,2015-02-09,2015-02-10,-0.011230221801773466,5
2015-02-24,2015-02-27,2015-03-02,-0.008817845905207511,6
2015-03-02,2015-03-11,2015-03-18,-0.03723975941850244,16
2015-03-20,2015-04-01,2015-04-24,-0.04254108328220907,35
2015-04-24,2015-05-06,2015-05-18,-0.02739774454616395,24
2015-05-19,2015-05-20,2015-05-21,-0.001283714280044146,2
2015-05-21,2015-05-26,2015-06-01,-0.01326270964858689,11
2015-06-01,2015-06-08,2015-06-10,-0.015772439102479607,9
2015-06-11,2015-06-15,2015-06-18,-0.014421213079507056,7
2015-06-18,2015-06-19,2015-06-22,-0.005394110730455481,4
2015-06-22,2015-06-24,2015-06-26,-0.004819976154463168,4
2015-06-26,2015-06-29,2015-07-07,-0.022782764122919907,11
2015-07-07,2015-07-09,2015-07-13,-0.016266594497098552,6
2015-07-14,2015-07-15,2015-07-16,-0.002115510391801023,2
2015-07-20,2015-08-25,2015-10-26,-0.14019467160309151,98
2015-10-28,2015-10-30,2015-11-03,-0.01506874522344992,6
2015-11-03,2015-11-04,2015-11-05,-0.0025189703314035805,2
2015-11-05,2015-11-13,2015-11-20,-0.04033293204054156,15
2015-11-23,2015-11-30,2015-12-01,-0.01153582936291353,8
2015-12-01,2015-12-03,2015-12-04,-0.021667306075477843,3
2015-12-04,2016-02-11,2016-07-08,-0.1178167817371073,217
2016-07-12,2016-07-13,2016-07-14,-0.00289942760459605,2
2016-07-14,2016-07-15,2016-07-18,-0.002961100850611409,4
2016-07-20,2016-07-21,2016-07-22,-0.004872999123229027,2
2016-08-01,2016-08-03,2016-08-05,-0.006531369933654663,4
2016-08-09,2016-08-10,2016-08-11,-0.0037379761818302493,2
2016-08-15,2016-08-25,2016-09-06,-0.011868494915457606,22
2016-09-06,2016-09-07,2016-09-08,-0.0009997255405372885,2
2016-09-08,2016-09-09,2016-09-21,-0.027537979037151716,13
2016-09-22,2016-09-26,2016-09-28,-0.013264766064072453,6
2016-09-28,2016-09-29,2016-09-30,-0.008038057140809407,2
2016-10-03,2016-10-04,2016-10-05,-0.0032583810988566775,2
2016-10-05,2016-10-06,2016-10-10,-0.003807777669269874,5
2016-10-10,2016-11-04,2016-11-16,-0.06627700736169329,37
2016-11-17,2016-11-18,2016-11-21,-0.0004810314649865699,4
2016-11-21,2016-12-01,2016-12-13,-0.03728456446171968,22
2016-12-16,2016-12-19,2016-12-20,-0.0003925362243872854,4
2016-12-20,2016-12-21,2016-12-23,-0.0020443969627303993,3
2016-12-27,2016-12-30,2017-01-25,-0.029561244964421474,29
2017-01-27,2017-01-31,2017-02-01,-0.010717682639011294,5
2017-02-08,2017-02-13,2017-02-14,-0.003594070031118779,6
2017-02-15,2017-02-16,2017-02-21,-0.004005334366960489,6
2017-02-22,2017-02-23,2017-03-01,-0.01170560663618292,7
2017-03-01,2017-03-08,2017-03-15,-0.014483245861577121,14
2017-03-15,2017-04-19,2017-05-01,-0.03286502755121268,47
2017-05-01,2017-05-04,2017-05-10,-0.003304285020993114,9
2017-05-16,2017-05-17,2017-05-26,-0.02950702511596648,10
2017-05-30,2017-05-31,2017-06-01,-0.00031228307279207446,2
2017-06-02,2017-06-06,2017-06-07,-0.0009432788677139481,5
2017-06-08,2017-06-15,2017-06-22,-0.015457675258533587,14
2017-06-23,2017-07-06,2017-07-13,-0.02261904436843709,20
2017-07-20,2017-07-21,2017-07-24,-0.0021072218628689354,4
2017-07-25,2017-07-27,2017-07-28,-0.0018443265812871923,3
2017-07-28,2017-07-31,2017-08-02,-0.005393676313629303,5
2017-08-02,2017-08-03,2017-08-07,-0.0036970829770912594,5
2017-08-09,2017-08-21,2017-08-31,-0.020080598372753777,22
2017-09-01,2017-09-05,2017-09-06,-0.0028832045012362473,5
2017-09-07,2017-09-08,2017-09-11,-0.009552250087143999,4
2017-09-13,2017-09-14,2017-09-19,-0.004588759339451798,6
2017-09-19,2017-09-25,2017-10-09,-0.02284712820634438,20
2017-10-17,2017-10-25,2017-10-27,-0.00884245909389203,10
2017-11-01,2017-11-02,2017-11-03,-0.002544616108459241,2
2017-11-08,2017-11-15,2017-11-16,-0.01488309110223085,8
