category,metric,value
performance,total_return,8.36736888108835
performance,gross_total_return,8.636369880855868
performance,net_total_return,8.36736888108835
performance,benchmark_total_return,6.552593475388474
performance,cagr,0.21648061650021688
performance,annualized_volatility,0.19558204717978506
performance,downside_volatility,0.13578873940740305
performance,sharpe_ratio,1.100263345056097
performance,sortino_ratio,1.5847540701980893
performance,calmar_ratio,0.8263036662042177
performance,omega_ratio,1.2287292715708824
performance,max_drawdown,-0.261986755419665
performance,var_95_daily,-0.018408584573206998
performance,cvar_95_daily,-0.029334009590234182
benchmark,alpha_annualized,0.05577479760233938
benchmark,beta,0.7923703399763862
benchmark,correlation,0.8872400769835687
benchmark,r_squared,0.7871949542058089
benchmark,tracking_error,0.1010340134943406
benchmark,information_ratio,0.13858495149156294
benchmark,up_capture,0.7846381506719832
benchmark,down_capture,0.7329080804188571
portfolio,average_turnover,0.21384530587426268
portfolio,average_number_of_holdings,10.0
portfolio,cost_drag,0.2690009997675187
portfolio,max_adv_participation,0.0017368160358486636
portfolio,average_holding_period_days,3380.9583333333335
portfolio,estimated_capacity,57576621.7814409
portfolio,average_hhi,0.1346464385565628
portfolio,average_effective_holdings,7.430334372034418
