start_date,trough_date,recovery_date,max_drawdown,duration_days
2023-01-31,2023-02-01,2023-02-02,-0.0008895719199072394,2
2023-02-02,2023-02-06,2023-02-07,-0.0084472936012292,5
2023-02-07,2023-02-09,2023-02-13,-0.009854313423417804,6
2023-02-13,2023-03-10,2023-04-13,-0.08348756347417274,59
2023-04-13,2023-04-14,2023-04-17,-0.0022925301038636547,4
2023-04-18,2023-04-20,2023-04-24,-0.006574610567493422,6
2023-04-24,2023-04-25,2023-04-27,-0.009994575420660401,3
2023-05-01,2023-05-04,2023-05-08,-0.02163946723834098,7
2023-05-08,2023-05-24,2023-06-14,-0.03702423520284137,37
2023-06-15,2023-06-26,2023-06-30,-0.02336439897639886,15
2023-06-30,2023-07-07,2023-07-12,-0.015940885952212658,12
2023-07-14,2023-07-17,2023-07-18,-0.002376251304130328,4
2023-07-19,2023-08-04,2023-08-23,-0.0325474833264604,35
2023-08-23,2023-08-24,2023-08-29,-0.01799859195155129,6
2023-08-31,2023-09-07,2023-09-11,-0.008756835868272805,11
2023-09-11,2023-09-13,2023-09-14,-0.00704394355395177,3
2023-09-14,2023-10-03,2023-10-11,-0.056049796714411904,27
2023-10-11,2023-10-13,2023-10-16,-0.009892330556677487,5
2023-10-16,2023-10-27,2023-11-10,-0.06590673832559935,25
2023-11-15,2023-11-16,2023-11-20,-0.004194810214082856,5
2023-11-20,2023-12-06,2023-12-13,-0.016910068638437914,23
2023-12-13,2023-12-14,2023-12-19,-0.010933753230712662,6
2023-12-19,2023-12-20,2023-12-27,-0.012425335269180438,8
2023-12-28,2024-01-02,2024-01-03,-0.00405847225828726,6
2024-01-03,2024-01-04,2024-01-05,-0.003701505604188693,2
2024-01-08,2024-01-09,2024-01-10,-0.005347871134853577,2
2024-01-12,2024-01-17,2024-01-18,-0.010200076132011016,6
2024-01-29,2024-01-31,2024-02-01,-0.017133392033926498,3
2024-02-08,2024-02-13,2024-02-14,-0.009356709063003787,6
2024-02-15,2024-02-21,2024-02-22,-0.02125743561923188,7
2024-02-22,2024-02-28,2024-03-01,-0.005577271471880585,8
2024-03-04,2024-03-11,2024-03-18,-0.02536145543222823,14
2024-03-21,2024-03-26,2024-03-27,-0.007392649262386364,6
2024-03-27,2024-04-04,2024-04-05,-0.008862635421118203,9
2024-04-05,2024-04-25,2024-06-10,-0.07376789314123866,66
2024-06-13,2024-06-14,2024-06-17,-0.003298542025251816,4
2024-06-18,2024-06-24,2024-06-25,-0.005257190295429592,7
2024-06-27,2024-06-28,2024-07-02,-0.010040494833082558,5
2024-07-10,2024-07-11,2024-07-15,-0.012664574312973964,5
2024-07-16,2024-08-05,2024-10-22,-0.12816217953107767,98
2024-10-22,2024-10-31,2024-11-07,-0.03598080078963617,16
2024-11-07,2024-11-12,2024-11-14,-0.005871151864886404,7
2024-11-14,2024-11-18,2024-11-25,-0.018498272610630195,11
2024-11-26,2024-11-27,2024-11-29,-0.0017598220731053216,3
2024-12-06,2025-01-14,2025-01-28,-0.059093586976722845,53
2025-01-29,2025-04-08,2025-08-13,-0.22776112527109704,196
2025-08-13,2025-08-21,2025-09-15,-0.017914377204713783,33
2025-09-22,2025-09-25,2025-10-01,-0.013902028666182065,9
2025-10-03,2025-10-10,2025-10-15,-0.02672219237662876,12
2025-10-15,2025-10-16,2025-10-17,-0.0034816975650603377,2
2025-10-21,2025-10-22,2025-10-27,-0.00959304016111806,6
2025-10-29,2025-11-04,2025-11-11,-0.020688817553746075,13
2025-11-12,2025-11-20,2026-01-09,-0.048854406363317615,58
2026-01-13,2026-01-20,2026-01-22,-0.02125105491584267,9
2026-01-22,2026-01-23,2026-01-26,-0.005794390853058218,4
2026-01-27,2026-02-03,2026-02-04,-0.015337996233761753,8
2026-02-04,2026-02-05,2026-02-06,-0.02176433355742924,2
2026-02-06,2026-03-30,2026-05-06,-0.1094551480191378,89
2026-05-06,2026-05-11,2026-05-13,-0.007506595105493896,7
2026-05-14,2026-05-19,2026-06-04,-0.015782737334099628,21
2026-06-04,2026-06-10,,-0.050737067067958,8
