factor,accruals,beta_to_spy,book_to_market,debt_to_equity,earnings_yield,free_cash_flow_yield,gross_margin,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,operating_margin,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.018626915279566784,0.016220772202253174,-0.0024832365134277996,0.14180612928597197,0.22551501506532742,-0.09583719682935539,-0.04926496571974496,-0.045071011246555874,-0.05627112954176537,-0.08008464707257361,0.153902639767058,0.05559933974430146,0.02490747434763378,0.25474067348984136,0.09497083311391992
beta_to_spy,0.018626915279566784,1.0,0.003853218386162316,0.14789849367960886,-0.08698478378063934,-0.1126728860884665,-0.035898683718826825,-0.5068088561088305,-0.3021793485908079,-0.18670410915271754,-0.21305653070439895,-0.32660943186789776,0.734629820342242,0.5894802996417969,-0.25996361165479415,0.016229243773693978
book_to_market,0.016220772202253174,0.003853218386162316,1.0,0.16824145456946132,0.882783668583536,0.830288713195742,0.09370439487224362,0.004781309453159855,-0.2622906006398231,-0.08179626456267065,-0.14609601384321566,-0.04101667114153426,0.19010310806979464,0.21448812232124012,-0.17282605395088468,0.9252757708430933
debt_to_equity,-0.0024832365134277996,0.14789849367960886,0.16824145456946132,1.0,0.0025555992774209586,-0.005813528094790516,0.0038564608710423168,-0.001037020381664507,-0.1301274406278079,-0.045702825803613914,-0.07741761726328962,-0.05967298381096,0.11997545553597619,0.0867622709070189,-0.4599330701288965,0.003909682047850912
earnings_yield,0.14180612928597197,-0.08698478378063934,0.882783668583536,0.0025555992774209586,1.0,0.9763209460897041,0.1296984396189701,0.0924522685266833,-0.21390168049424751,-0.08933433486353624,-0.12987468549861905,0.19512134391697555,0.08456834499100803,0.11488301592423049,0.14820513899660967,0.945803489744546
free_cash_flow_yield,0.22551501506532742,-0.1126728860884665,0.830288713195742,-0.005813528094790516,0.9763209460897041,1.0,0.1303607799918544,0.09222717401571072,-0.1695469815470118,-0.0828534353801657,-0.10312818584768872,0.2551863564206279,0.037060682471021164,0.07386422778466495,0.20957280497827602,0.8996770524850382
gross_margin,-0.09583719682935539,-0.035898683718826825,0.09370439487224362,0.0038564608710423168,0.1296984396189701,0.1303607799918544,1.0,-0.009844787011329632,-0.017336607622313874,0.013131074527854246,-0.025101018172116553,0.028060423421441376,-0.03544634452382316,0.03486722898158649,0.01904512691365568,0.09431408933088538
max_drawdown_252d,-0.04926496571974496,-0.5068088561088305,0.004781309453159855,-0.001037020381664507,0.0924522685266833,0.09222717401571072,-0.009844787011329632,1.0,-0.11460108533910013,0.0026276918779889157,-0.052848727454772065,0.21054425343387673,-0.6086096049346843,-0.5568689678462049,0.12172762049310389,0.006763763934743562
momentum_12_1,-0.045071011246555874,-0.3021793485908079,-0.2622906006398231,-0.1301274406278079,-0.21390168049424751,-0.1695469815470118,-0.017336607622313874,-0.11460108533910013,1.0,0.3340587048966166,0.596751128682331,0.24508254156351217,-0.3709833066390381,-0.29736811325447304,0.2503628771117064,-0.2956848480986245
momentum_3m,-0.05627112954176537,-0.18670410915271754,-0.08179626456267065,-0.045702825803613914,-0.08933433486353624,-0.0828534353801657,0.013131074527854246,0.0026276918779889157,0.3340587048966166,1.0,0.6485789310190399,0.1261274765913722,-0.2528728341968326,-0.16889735494989797,0.09824348728982937,-0.1210254017410358
momentum_6m,-0.08008464707257361,-0.21305653070439895,-0.14609601384321566,-0.07741761726328962,-0.12987468549861905,-0.10312818584768872,-0.025101018172116553,-0.052848727454772065,0.596751128682331,0.6485789310190399,1.0,0.1958218220851763,-0.3304716125165172,-0.2368810406079958,0.15436095436781955,-0.19015984658085278
operating_margin,0.153902639767058,-0.32660943186789776,-0.04101667114153426,-0.05967298381096,0.19512134391697555,0.2551863564206279,0.028060423421441376,0.21054425343387673,0.24508254156351217,0.1261274765913722,0.1958218220851763,1.0,-0.3278125727181981,-0.25037371828898747,0.7080411793261577,-0.019657685259821183
realized_vol_252d,0.05559933974430146,0.734629820342242,0.19010310806979464,0.11997545553597619,0.08456834499100803,0.037060682471021164,-0.03544634452382316,-0.6086096049346843,-0.3709833066390381,-0.2528728341968326,-0.3304716125165172,-0.3278125727181981,1.0,0.8139871819487917,-0.266872139497128,0.2117726528354608
realized_vol_60d,0.02490747434763378,0.5894802996417969,0.21448812232124012,0.0867622709070189,0.11488301592423049,0.07386422778466495,0.03486722898158649,-0.5568689678462049,-0.29736811325447304,-0.16889735494989797,-0.2368810406079958,-0.25037371828898747,0.8139871819487917,1.0,-0.21092723820964895,0.2231149590464397
roe,0.25474067348984136,-0.25996361165479415,-0.17282605395088468,-0.4599330701288965,0.14820513899660967,0.20957280497827602,0.01904512691365568,0.12172762049310389,0.2503628771117064,0.09824348728982937,0.15436095436781955,0.7080411793261577,-0.266872139497128,-0.21092723820964895,1.0,-0.023685439203249264
sales_yield,0.09497083311391992,0.016229243773693978,0.9252757708430933,0.003909682047850912,0.945803489744546,0.8996770524850382,0.09431408933088538,0.006763763934743562,-0.2956848480986245,-0.1210254017410358,-0.19015984658085278,-0.019657685259821183,0.2117726528354608,0.2231149590464397,-0.023685439203249264,1.0
