factor_name,horizon_days,rank_ic
accruals,1,-0.039636026827010215
beta_to_spy,1,-0.06966091004450323
book_to_market,1,-0.05656925621544857
debt_to_equity,1,-0.03859609036200552
earnings_yield,1,-0.06749223679293342
free_cash_flow_yield,1,-0.04742130498228059
gross_margin,1,-0.021004044714684242
max_drawdown_252d,1,0.004746449903007388
momentum_12_1,1,0.055711248671805595
momentum_3m,1,0.03663598132752546
momentum_6m,1,0.05926934507044976
operating_margin,1,0.034286583998006145
realized_vol_252d,1,-0.05771097104109249
realized_vol_60d,1,-0.040208606198886165
roe,1,0.006427686478471511
sales_yield,1,-0.06464873879508025
accruals,5,-0.05697729172266118
beta_to_spy,5,-0.1419048570740963
book_to_market,5,-0.04598631532641574
debt_to_equity,5,-0.0597716439037139
earnings_yield,5,-0.0413841970316113
free_cash_flow_yield,5,-0.016952261830310615
gross_margin,5,-0.04320210960838092
max_drawdown_252d,5,0.013691790962009617
momentum_12_1,5,0.05456690189710773
momentum_3m,5,0.03724802639020608
momentum_6m,5,0.05211759957480861
operating_margin,5,0.06665233067126446
realized_vol_252d,5,-0.1056670564154108
realized_vol_60d,5,-0.11017599216573684
roe,5,0.017794923941969455
sales_yield,5,-0.053408380237648524
accruals,21,-0.07406927775330588
beta_to_spy,21,-0.09789723130117953
book_to_market,21,-0.06290463987770008
debt_to_equity,21,-0.048982190983754524
earnings_yield,21,-0.0571620994206251
free_cash_flow_yield,21,-0.03863247863247863
gross_margin,21,-0.051489713557954696
max_drawdown_252d,21,0.04447923019198141
momentum_12_1,21,0.0059216856685336714
momentum_3m,21,0.01304600858283681
momentum_6m,21,0.00657264957264958
operating_margin,21,0.06847195021882199
realized_vol_252d,21,-0.08294951002851043
realized_vol_60d,21,-0.05971602843594259
roe,21,0.04012076586224613
sales_yield,21,-0.07141880341880343
accruals,63,-0.11024988855851478
beta_to_spy,63,-0.14969148538459176
book_to_market,63,-0.06762691765241265
debt_to_equity,63,-0.057975649283000856
earnings_yield,63,-0.06677526112847372
free_cash_flow_yield,63,-0.04717948717948717
gross_margin,63,-0.06889059488323702
max_drawdown_252d,63,0.07994867402976684
momentum_12_1,63,0.050474292961314726
momentum_3m,63,-0.02919408804507041
momentum_6m,63,0.0486113125345954
operating_margin,63,0.0678380955996133
realized_vol_252d,63,-0.16761195289779313
realized_vol_60d,63,-0.13018572917279334
roe,63,0.032984415957122336
sales_yield,63,-0.09065227170490327
