category,metric,value
performance,total_return,0.7910781602075201
performance,gross_total_return,0.8024446177959619
performance,net_total_return,0.7910781602075201
performance,benchmark_total_return,1.7434345369553204
performance,cagr,0.18529123711869477
performance,annualized_volatility,0.1650245927468499
performance,downside_volatility,0.11044757006304992
performance,sharpe_ratio,1.1127153935502754
performance,sortino_ratio,1.6625572165957196
performance,calmar_ratio,0.813533200181323
performance,omega_ratio,1.220674921502959
performance,max_drawdown,-0.22776112527109704
performance,var_95_daily,-0.015250396401343708
performance,cvar_95_daily,-0.022841246528514523
benchmark,alpha_annualized,-0.027636628489506668
benchmark,beta,0.6720733404014673
benchmark,correlation,0.8126027156949674
benchmark,r_squared,0.660323173554836
benchmark,tracking_error,0.11632601615836345
benchmark,information_ratio,-1.123723810808486
benchmark,up_capture,0.6347152708482428
benchmark,down_capture,0.6508522436043161
portfolio,average_turnover,0.19164723553518645
portfolio,average_number_of_holdings,10.0
portfolio,cost_drag,0.011366457588441792
portfolio,max_adv_participation,0.00026341233164615686
portfolio,average_holding_period_days,799.8181818181819
portfolio,estimated_capacity,379632947.99094874
portfolio,average_hhi,0.13311179014566643
portfolio,average_effective_holdings,7.5158284957418955
