start_date,trough_date,recovery_date,max_drawdown,duration_days
2015-01-30,2015-02-02,2015-02-03,-0.0009029639148864232,4
2015-02-05,2015-02-09,2015-02-10,-0.011230198156526039,5
2015-02-24,2015-02-27,2015-03-02,-0.008817851830075552,6
2015-03-02,2015-03-11,2015-03-18,-0.037239715830116094,16
2015-03-20,2015-04-01,2015-04-24,-0.04254103756852301,35
2015-04-24,2015-05-06,2015-05-18,-0.02739767160072748,24
2015-05-19,2015-05-20,2015-05-21,-0.0012837585933880291,2
2015-05-21,2015-05-26,2015-06-01,-0.013262702429826634,11
2015-06-01,2015-06-08,2015-06-10,-0.015772641477534433,9
2015-06-11,2015-06-15,2015-06-18,-0.01442136396400806,7
2015-06-18,2015-06-19,2015-06-22,-0.0053941166246510575,4
2015-06-22,2015-06-24,2015-06-26,-0.00481985835156673,4
2015-06-26,2015-06-29,2015-07-07,-0.022782630647512958,11
2015-07-07,2015-07-09,2015-07-13,-0.016266612680102543,6
2015-07-14,2015-07-15,2015-07-16,-0.002115502114184875,2
2015-07-20,2015-08-25,2015-10-26,-0.14019472729649618,98
2015-10-28,2015-10-30,2015-11-03,-0.015068432360454298,6
2015-11-03,2015-11-04,2015-11-05,-0.002519116307945435,2
2015-11-05,2015-11-13,2015-11-20,-0.04033307280612386,15
2015-11-23,2015-11-30,2015-12-01,-0.011535872509536582,8
2015-12-01,2015-12-03,2015-12-04,-0.021667300391894906,3
2015-12-04,2016-02-11,2016-07-08,-0.11781680450506837,217
2016-07-12,2016-07-13,2016-07-14,-0.0028992629971289485,2
2016-07-14,2016-07-15,2016-07-18,-0.0029612170964331552,4
2016-07-20,2016-07-21,2016-07-22,-0.00487304238818298,2
2016-08-01,2016-08-03,2016-08-05,-0.0060521426224897645,4
2016-08-09,2016-08-10,2016-08-11,-0.003980477608629407,2
2016-08-15,2016-08-25,2016-09-06,-0.011428672405576101,22
2016-09-06,2016-09-07,2016-09-08,-0.000999218399546531,2
2016-09-08,2016-09-09,2016-09-21,-0.027540566203555272,13
2016-09-22,2016-09-26,2016-09-28,-0.013266726240297122,6
2016-09-28,2016-09-29,2016-09-30,-0.008036564035842075,2
2016-10-03,2016-10-04,2016-10-05,-0.003258211067115324,2
2016-10-05,2016-10-06,2016-10-10,-0.003807529245941299,5
2016-10-10,2016-11-04,2016-11-16,-0.06629823743815488,37
2016-11-17,2016-11-18,2016-11-21,-0.000483378232768672,4
2016-11-21,2016-12-01,2016-12-13,-0.037309936761518725,22
2016-12-16,2016-12-19,2016-12-20,-0.0003971748345973358,4
2016-12-20,2016-12-21,2016-12-23,-0.0020474122336210376,3
2016-12-27,2016-12-30,2017-01-25,-0.02956339265884811,29
2017-01-27,2017-01-31,2017-02-01,-0.010716799908867758,5
2017-02-08,2017-02-13,2017-02-14,-0.003593944902599455,6
2017-02-15,2017-02-16,2017-02-21,-0.004005383442500787,6
2017-02-22,2017-02-23,2017-03-01,-0.011705826600181046,7
2017-03-01,2017-03-08,2017-03-15,-0.014483062599680463,14
2017-03-15,2017-04-19,2017-05-01,-0.032864979955034346,47
2017-05-01,2017-05-04,2017-05-10,-0.0033044416877778815,9
2017-05-16,2017-05-17,2017-05-26,-0.029507188608222545,10
2017-05-30,2017-05-31,2017-06-01,-0.00031212333881980303,2
2017-06-02,2017-06-06,2017-06-07,-0.0009431772850134745,5
2017-06-08,2017-06-15,2017-06-22,-0.015457347267953891,14
2017-06-23,2017-07-06,2017-07-13,-0.02261922924976656,20
2017-07-20,2017-07-21,2017-07-24,-0.0021071609135371316,4
2017-07-25,2017-07-27,2017-07-28,-0.0018443787360876707,3
2017-07-28,2017-07-31,2017-08-02,-0.005393726254086961,5
2017-08-02,2017-08-03,2017-08-07,-0.0036970797850510717,5
2017-08-09,2017-08-21,2017-08-31,-0.02008064227965778,22
2017-09-01,2017-09-05,2017-09-06,-0.002883202002344154,5
2017-09-07,2017-09-08,2017-09-11,-0.009552372335452142,4
2017-09-13,2017-09-14,2017-09-19,-0.004588993704012778,6
2017-09-19,2017-09-25,2017-10-09,-0.022847146335439383,20
2017-10-17,2017-10-25,2017-10-27,-0.008842431502731896,10
2017-11-01,2017-11-02,2017-11-03,-0.002544632604028263,2
2017-11-08,2017-11-15,2017-11-16,-0.014883282969932243,8
2017-11-16,2017-11-20,2017-11-21,-0.007097337231154355,5
2017-11-24,2017-11-27,2017-11-28,-0.0009023933430285513,4
2017-11-28,2017-11-29,2017-11-30,-0.009601773499218647,2
2017-11-30,2017-12-06,2017-12-08,-0.005533365429997716,8
2017-12-11,2017-12-14,2017-12-15,-0.005942544832641339,4
2017-12-18,2017-12-20,2017-12-21,-0.002308954530970242,3
2017-12-21,2017-12-29,2018-01-02,-0.007475506744285654,12
2018-01-09,2018-01-10,2018-01-11,-0.001374984136210955,2
2018-01-12,2018-01-16,2018-01-17,-0.00560412800299559,5
2018-01-17,2018-01-18,2018-01-19,-0.000812112883804228,2
2018-01-23,2018-01-25,2018-01-26,-0.0061570735538084564,3
2018-01-26,2018-04-02,2018-06-01,-0.13071219647812227,126
2018-06-06,2018-06-07,2018-06-11,-0.0015861281830413798,5
2018-06-12,2018-06-13,2018-06-14,-0.003365073698794907,2
2018-06-14,2018-06-25,2018-07-09,-0.02665691435172024,25
2018-07-10,2018-07-11,2018-07-12,-0.010156234333997594,2
2018-07-13,2018-07-16,2018-07-17,-0.0035812662497766157,4
2018-07-17,2018-07-19,2018-07-24,-0.007200158933807654,7
2018-07-25,2018-07-30,2018-08-27,-0.050083958578688526,33
2018-08-31,2018-09-06,2018-09-13,-0.01566087789523607,13
2018-09-13,2018-09-17,2018-09-25,-0.01868623974789385,12
2018-10-02,2018-12-24,2019-03-21,-0.1712361517076596,170
2019-03-21,2019-03-22,2019-03-29,-0.011536824323476358,8
2019-04-03,2019-04-04,2019-04-05,-0.0008107232315212043,2
2019-04-10,2019-04-11,2019-04-12,-0.004634094797464572,2
2019-04-15,2019-04-17,2019-04-23,-0.014853298231956025,8
2019-04-26,2019-05-02,2019-05-03,-0.004542490779070318,7
2019-05-03,2019-06-03,2019-06-07,-0.04459213154440034,35
2019-06-07,2019-06-11,2019-06-12,-0.004199942831278003,5
2019-06-20,2019-06-28,2019-07-02,-0.015332699682874429,12
2019-07-03,2019-07-19,2019-07-26,-0.02002683319351739,23
2019-07-29,2019-08-05,2019-08-29,-0.04280896542464008,31
2019-08-29,2019-09-03,2019-09-05,-0.006189175943055791,7
2019-09-06,2019-10-02,2019-10-31,-0.049012511341980924,55
2019-11-01,2019-11-05,2019-11-08,-0.006519074498356758,7
2019-11-08,2019-11-11,2019-11-12,-0.0005448676970400967,4
2019-11-13,2019-11-14,2019-11-15,-0.0024599003197695035,2
2019-11-19,2019-11-21,2019-11-25,-0.005141689806948624,6
2019-11-27,2019-12-03,2019-12-06,-0.01536590653752945,9
2019-12-06,2019-12-09,2019-12-11,-0.003046789902554581,5
2019-12-16,2019-12-17,2019-12-18,-0.0011165558735404257,2
2019-12-23,2019-12-24,2019-12-26,-0.001364446024921362,3
2019-12-27,2019-12-30,2020-01-02,-0.006590936343642606,6
2020-01-02,2020-01-07,2020-01-09,-0.011435551677448585,7
2020-01-09,2020-01-10,2020-01-13,-0.0018976264287111633,4
2020-01-13,2020-01-14,2020-01-15,-0.0033165388047794453,2
2020-01-17,2020-01-31,2020-02-12,-0.061050242624604456,26
2020-02-12,2020-02-13,2020-02-14,-0.0007601075304181082,2
2020-02-19,2020-03-23,2020-05-11,-0.26198684089487057,82
2020-05-11,2020-05-13,2020-05-15,-0.027273278547158664,4
2020-05-18,2020-05-19,2020-05-20,-0.003871224190838851,2
2020-05-20,2020-05-28,2020-06-05,-0.022157014945911047,16
2020-06-10,2020-06-11,2020-06-18,-0.048371572970285936,8
2020-06-23,2020-06-26,2020-07-01,-0.03274545408760687,8
2020-07-06,2020-07-07,2020-07-08,-0.00565500424871479,2
2020-07-09,2020-07-13,2020-07-20,-0.02022134708224399,11
2020-07-20,2020-07-24,2020-08-03,-0.04519408849470141,14
2020-08-06,2020-08-11,2020-08-17,-0.03480528784204173,11
2020-08-18,2020-08-19,2020-08-20,-0.005445690030120298,2
2020-08-26,2020-08-27,2020-08-28,-0.005183439737822426,2
2020-09-02,2020-09-23,2021-01-25,-0.13709959012782746,145
2021-01-26,2021-03-04,2021-04-15,-0.07654296897738522,79
2021-04-16,2021-04-28,2021-05-07,-0.02104620682947267,21
2021-05-07,2021-05-12,2021-06-07,-0.030593493197849764,31
2021-06-07,2021-06-08,2021-06-10,-0.0011957547953297398,3
2021-06-10,2021-06-18,2021-06-22,-0.02298914238612726,12
2021-06-22,2021-06-23,2021-06-24,-0.002753858819574684,2
2021-06-24,2021-06-25,2021-06-28,-0.004641141108522651,4
2021-07-02,2021-07-06,2021-07-07,-0.001534962322185418,5
2021-07-07,2021-07-08,2021-07-09,-0.007924379652617497,2
2021-07-13,2021-07-19,2021-07-22,-0.032468710527231215,9
2021-07-26,2021-08-02,2021-08-11,-0.02211673267565928,16
2021-08-16,2021-08-19,2021-08-30,-0.023664751121284522,14
2021-08-30,2021-09-30,2021-10-28,-0.07119081897525636,59
2021-10-28,2021-10-29,2021-11-02,-0.005037456253421668,5
2021-11-04,2021-11-05,2021-11-08,-0.0010504675055674761,4
2021-11-09,2021-11-10,2021-11-16,-0.01006908012249308,7
2021-11-18,2021-11-19,2021-11-22,-0.00269749523020002,4
2021-11-24,2021-12-01,2021-12-10,-0.03573988820088503,16
2021-12-10,2021-12-14,2021-12-15,-0.018191296764630605,5
2021-12-15,2021-12-20,2021-12-27,-0.03753120092879714,12
2021-12-29,2022-06-17,2023-07-12,-0.18512074885487684,560
2023-07-19,2023-07-26,2023-08-01,-0.0186085695248418,13
2023-08-01,2023-08-04,2023-08-14,-0.02770771330481092,13
