factor,accruals,beta_to_spy,book_to_market,debt_to_equity,earnings_yield,free_cash_flow_yield,gross_margin,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,operating_margin,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,-0.057459223284458065,-0.009343394597299094,-0.010206441951913746,0.06424755291291877,0.1433180053266641,-0.04465162111691494,0.033868239197213025,0.018485491952933815,-0.0017846257220068761,-0.01514466228808467,0.1765181690125123,-0.061320041656913536,-0.047724240239538564,0.21608696063079738,0.025236958368850378
beta_to_spy,-0.057459223284458065,1.0,-0.18690151588289675,0.005132981507029231,-0.2943346488262707,-0.3069947602417393,0.036114509332985475,-0.42874410077701164,-0.25945071335238346,-0.11718206435618603,-0.13121524855806313,-0.2579300073955366,0.7411436296899372,0.5790299287192677,-0.17499033829448893,-0.20885874573932917
book_to_market,-0.009343394597299094,-0.18690151588289675,1.0,0.205277622295544,0.8458123924177072,0.7907828873581348,0.010178344220449482,0.037076503420567196,0.04215715569774999,0.0067380609148330935,0.016223117605227315,0.08159395178902029,-0.07854624889294179,-0.050107235822762775,-0.14726986822455987,0.9031257149010185
debt_to_equity,-0.010206441951913746,0.005132981507029231,0.205277622295544,1.0,0.05150921903716398,0.0467236976952633,0.0018705283829554369,0.03516905925380434,-0.023131055382404696,-0.03400904717210193,-0.02369960552521632,0.030233219301821435,0.008619095703825545,0.0008488000635010134,-0.4030159852090163,0.03775463352264049
earnings_yield,0.06424755291291877,-0.2943346488262707,0.8458123924177072,0.05150921903716398,1.0,0.9717039746033465,0.003580000575506159,0.10782927272073216,0.10739914382474858,0.04409449623061473,0.06869302995523568,0.32276143411704905,-0.20949407031580525,-0.1728852284479781,0.19901085004698527,0.9367790693560293
free_cash_flow_yield,0.1433180053266641,-0.3069947602417393,0.7907828873581348,0.0467236976952633,0.9717039746033465,1.0,0.006501758147592883,0.12631059831486308,0.11726305014386479,0.04337573902755369,0.06761303546076966,0.3861595247430746,-0.24458926221841235,-0.21045796357428748,0.25746969226924094,0.878975732669258
gross_margin,-0.04465162111691494,0.036114509332985475,0.010178344220449482,0.0018705283829554369,0.003580000575506159,0.006501758147592883,1.0,0.004520606369582063,-0.024057721633022933,-0.07121660852978284,-0.04470868575042213,-0.015998792309044885,-0.0022398321735998174,0.017605182495005884,-0.05090152796037911,-0.005392912263959832
max_drawdown_252d,0.033868239197213025,-0.42874410077701164,0.037076503420567196,0.03516905925380434,0.10782927272073216,0.12631059831486308,0.004520606369582063,1.0,-0.18232067120824602,-0.08221958284949489,-0.16229032321287276,0.15003981788867868,-0.6250111987443427,-0.5148913433791182,0.09066839747116415,0.02968411557672794
momentum_12_1,0.018485491952933815,-0.25945071335238346,0.04215715569774999,-0.023131055382404696,0.10739914382474858,0.11726305014386479,-0.024057721633022933,-0.18232067120824602,1.0,0.3090664654870956,0.5745118637286114,0.13829646535635018,-0.2695206055290515,-0.2641785524300522,0.11625475049425547,0.05122307306527429
momentum_3m,-0.0017846257220068761,-0.11718206435618603,0.0067380609148330935,-0.03400904717210193,0.04409449623061473,0.04337573902755369,-0.07121660852978284,-0.08221958284949489,0.3090664654870956,1.0,0.6677611197333736,0.0634623830221184,-0.12351686016543742,-0.09021354648686954,0.06846680800716382,0.02436644212652066
momentum_6m,-0.01514466228808467,-0.13121524855806313,0.016223117605227315,-0.02369960552521632,0.06869302995523568,0.06761303546076966,-0.04470868575042213,-0.16229032321287276,0.5745118637286114,0.6677611197333736,1.0,0.09709179396429847,-0.16242745894485547,-0.14043631188991387,0.09117999473283676,0.03929204806100251
operating_margin,0.1765181690125123,-0.2579300073955366,0.08159395178902029,0.030233219301821435,0.32276143411704905,0.3861595247430746,-0.015998792309044885,0.15003981788867868,0.13829646535635018,0.0634623830221184,0.09709179396429847,1.0,-0.325588599380945,-0.2805776329663724,0.6767065403364594,0.10918464463296294
realized_vol_252d,-0.061320041656913536,0.7411436296899372,-0.07854624889294179,0.008619095703825545,-0.20949407031580525,-0.24458926221841235,-0.0022398321735998174,-0.6250111987443427,-0.2695206055290515,-0.12351686016543742,-0.16242745894485547,-0.325588599380945,1.0,0.8088312150128655,-0.23131348025718387,-0.07318312058137616
realized_vol_60d,-0.047724240239538564,0.5790299287192677,-0.050107235822762775,0.0008488000635010134,-0.1728852284479781,-0.21045796357428748,0.017605182495005884,-0.5148913433791182,-0.2641785524300522,-0.09021354648686954,-0.14043631188991387,-0.2805776329663724,0.8088312150128655,1.0,-0.18801542201274335,-0.043673150402255695
roe,0.21608696063079738,-0.17499033829448893,-0.14726986822455987,-0.4030159852090163,0.19901085004698527,0.25746969226924094,-0.05090152796037911,0.09066839747116415,0.11625475049425547,0.06846680800716382,0.09117999473283676,0.6767065403364594,-0.23131348025718387,-0.18801542201274335,1.0,0.03472084401672162
sales_yield,0.025236958368850378,-0.20885874573932917,0.9031257149010185,0.03775463352264049,0.9367790693560293,0.878975732669258,-0.005392912263959832,0.02968411557672794,0.05122307306527429,0.02436644212652066,0.03929204806100251,0.10918464463296294,-0.07318312058137616,-0.043673150402255695,0.03472084401672162,1.0
