factor_name,quantile,forward_return
accruals,1,0.017994406286037514
accruals,2,0.016028225891542618
accruals,3,0.01639259332980654
accruals,4,0.01787500935322119
accruals,5,0.017972023745459875
beta_to_spy,1,0.026030486966186435
beta_to_spy,2,0.01774260773230269
beta_to_spy,3,0.014527824571403128
beta_to_spy,4,0.012498678454340344
beta_to_spy,5,0.014162103058572958
book_to_market,1,0.02058010235950543
book_to_market,2,0.018118192951062085
book_to_market,3,0.01255995506678181
book_to_market,4,0.01634766851646428
book_to_market,5,0.0179932185384858
debt_to_equity,1,0.01895260409867809
debt_to_equity,2,0.018855606562042253
debt_to_equity,3,0.018098753232386564
debt_to_equity,4,0.01570573243841876
debt_to_equity,5,0.014553331594248226
earnings_yield,1,0.01943578381654136
earnings_yield,2,0.013378828714493593
earnings_yield,3,0.01565578150115378
earnings_yield,4,0.018150422388311254
earnings_yield,5,0.01926657098997361
free_cash_flow_yield,1,0.020886320861881174
free_cash_flow_yield,2,0.012209362085768578
free_cash_flow_yield,3,0.015663979151864224
free_cash_flow_yield,4,0.016663476993599095
free_cash_flow_yield,5,0.020304506016805873
gross_margin,1,0.020827450423835613
gross_margin,2,0.018170441211929008
gross_margin,3,0.01508549782325049
gross_margin,4,0.015155705109586212
gross_margin,5,0.016805744689728723
max_drawdown_252d,1,0.014321779049630558
max_drawdown_252d,2,0.01817368489020323
max_drawdown_252d,3,0.014119638840039085
max_drawdown_252d,4,0.014714865884778095
max_drawdown_252d,5,0.025835900345823642
momentum_12_1,1,0.018090129698369817
momentum_12_1,2,0.01239830191824289
momentum_12_1,3,0.015685862711894163
momentum_12_1,4,0.021218716541689144
momentum_12_1,5,0.018835158597344498
momentum_3m,1,0.01974009904794992
momentum_3m,2,0.009870788687737088
momentum_3m,3,0.017723364899648392
momentum_3m,4,0.018254127173567808
momentum_3m,5,0.020442749406465476
momentum_6m,1,0.018562745873423693
momentum_6m,2,0.01182189019114159
momentum_6m,3,0.016625052995777725
momentum_6m,4,0.01711730352758642
momentum_6m,5,0.022206311884333012
operating_margin,1,0.0168135292476415
operating_margin,2,0.014146359113078334
operating_margin,3,0.014279237129184951
operating_margin,4,0.021725086674574148
operating_margin,5,0.01970034160401426
realized_vol_252d,1,0.026368972272653283
realized_vol_252d,2,0.013981475310699846
realized_vol_252d,3,0.01541730815820738
realized_vol_252d,4,0.012932559022114622
realized_vol_252d,5,0.016185239945091665
realized_vol_60d,1,0.024251114116608574
realized_vol_60d,2,0.016213401120544008
realized_vol_60d,3,0.016038030829136476
realized_vol_60d,4,0.010134878806747379
realized_vol_60d,5,0.018826766415642054
roe,1,0.013803634889108586
roe,2,0.017759330873162716
roe,3,0.015065091301207097
roe,4,0.02075412658899174
roe,5,0.019587614660195832
sales_yield,1,0.02016628562223996
sales_yield,2,0.014341530301322562
sales_yield,3,0.01369241652182809
sales_yield,4,0.01658206830637957
sales_yield,5,0.020918702077934764
