signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2023-01-31,2023-02-01,491,491,0,1.0,1.0,0.0,0
2023-02-28,2023-03-01,491,0,0,1.0,1.0,0.0,0
2023-03-31,2023-04-03,491,0,0,1.0,1.0,0.0,0
2023-04-28,2023-05-01,491,0,0,1.0,1.0,0.0,0
2023-05-31,2023-06-01,491,0,0,1.0,1.0,0.0,0
2023-06-30,2023-07-03,491,0,0,1.0,1.0,0.0,0
2023-07-31,2023-08-01,491,0,0,1.0,1.0,0.0,0
2023-08-31,2023-09-01,491,0,0,1.0,1.0,0.0,0
2023-09-29,2023-10-02,491,0,0,1.0,1.0,0.0,0
2023-10-31,2023-11-01,491,0,0,1.0,1.0,0.0,0
2023-11-30,2023-12-01,491,0,0,1.0,1.0,0.0,0
2023-12-29,2024-01-02,492,1,0,1.0,1.0,0.0,0
2024-01-31,2024-02-01,492,0,0,1.0,1.0,0.0,0
2024-02-29,2024-03-01,492,0,0,1.0,1.0,0.0,0
2024-03-28,2024-04-01,492,0,0,1.0,1.0,0.0,0
2024-04-30,2024-05-01,493,1,0,1.0,1.0,0.0,0
2024-05-31,2024-06-03,493,1,1,1.0,1.0,0.0,0
2024-06-28,2024-07-01,494,1,0,1.0,1.0,0.0,0
2024-07-31,2024-08-01,494,0,0,1.0,1.0,0.0,0
2024-08-30,2024-09-03,494,0,0,1.0,1.0,0.0,0
2024-09-30,2024-10-01,494,0,0,1.0,1.0,0.0,0
2024-10-31,2024-11-01,495,1,0,1.0,1.0,0.0,0
2024-11-29,2024-12-02,495,0,0,1.0,1.0,0.0,0
2024-12-31,2025-01-02,495,0,0,1.0,1.0,0.0,0
2025-01-31,2025-02-03,495,0,0,1.0,1.0,0.0,0
2025-02-28,2025-03-03,495,0,0,1.0,1.0,0.0,0
2025-03-31,2025-04-01,497,2,0,1.0,1.0,0.0,0
2025-04-30,2025-05-01,497,0,0,1.0,1.0,0.0,0
2025-05-30,2025-06-02,497,0,0,1.0,1.0,0.0,0
2025-06-30,2025-07-01,497,0,0,1.0,1.0,0.0,0
2025-07-31,2025-08-01,497,0,0,1.0,1.0,0.0,0
2025-08-29,2025-09-02,497,0,0,1.0,1.0,0.0,0
2025-09-30,2025-10-01,497,0,0,1.0,1.0,0.0,0
2025-10-31,2025-11-03,497,0,0,1.0,1.0,0.0,0
2025-11-28,2025-12-01,497,0,0,1.0,1.0,0.0,0
2025-12-31,2026-01-02,497,0,0,1.0,1.0,0.0,0
2026-01-30,2026-02-02,497,0,0,1.0,1.0,0.0,0
2026-02-27,2026-03-02,498,1,0,1.0,1.0,0.0,0
2026-03-31,2026-04-01,498,0,0,1.0,1.0,0.0,0
2026-04-30,2026-05-01,498,0,0,1.0,1.0,0.0,0
2026-05-29,2026-06-01,498,0,0,1.0,1.0,0.0,0
