factor_name,quantile,forward_return
accruals,1,0.011102030095057648
accruals,2,0.013639049512494303
accruals,3,0.012335454762050304
accruals,4,0.011431591540218049
accruals,5,0.012666344675845839
beta_to_spy,1,0.026871463400530992
beta_to_spy,2,0.012877839548926458
beta_to_spy,3,0.009442851933148554
beta_to_spy,4,0.004617013863318062
beta_to_spy,5,0.0072447862166648
book_to_market,1,0.012751066075601733
book_to_market,2,0.012447243426406568
book_to_market,3,0.01067068866974834
book_to_market,4,0.011665593752991131
book_to_market,5,0.013612247247442552
debt_to_equity,1,0.013344753776142063
debt_to_equity,2,0.012705925541569862
debt_to_equity,3,0.011529341849775358
debt_to_equity,4,0.011086751329645067
debt_to_equity,5,0.01248414521564285
earnings_yield,1,0.012069079740862715
earnings_yield,2,0.012073892397112717
earnings_yield,3,0.012179293280980255
earnings_yield,4,0.011793702954419723
earnings_yield,5,0.01304872311710504
free_cash_flow_yield,1,0.012145051114184036
free_cash_flow_yield,2,0.01228180285939986
free_cash_flow_yield,3,0.012008881319617934
free_cash_flow_yield,4,0.011895515284452998
free_cash_flow_yield,5,0.012832059392943563
gross_margin,1,0.014287095225780385
gross_margin,2,0.00999100000073014
gross_margin,3,0.011977217390587455
gross_margin,4,0.014061874974071669
gross_margin,5,0.010831968101086085
max_drawdown_252d,1,0.009920672135216645
max_drawdown_252d,2,0.010291750141281147
max_drawdown_252d,3,0.009327822512812904
max_drawdown_252d,4,0.01123537539863895
max_drawdown_252d,5,0.020360990643267903
momentum_12_1,1,0.013284750417896129
momentum_12_1,2,0.006968714129630395
momentum_12_1,3,0.007521841959600548
momentum_12_1,4,0.010397016207107654
momentum_12_1,5,0.022915012950967116
momentum_3m,1,0.01164141914868489
momentum_3m,2,0.009597557122868779
momentum_3m,3,0.009797495375637682
momentum_3m,4,0.011346868136551025
momentum_3m,5,0.01872483771112834
momentum_6m,1,0.01113797146859871
momentum_6m,2,0.010674675213703183
momentum_6m,3,0.007317140682068892
momentum_6m,4,0.010016129169373484
momentum_6m,5,0.021958463140032743
operating_margin,1,0.009707820206400536
operating_margin,2,0.011364219094181114
operating_margin,3,0.014737617921048935
operating_margin,4,0.013502775128192623
operating_margin,5,0.011879989478172426
realized_vol_252d,1,0.02848491735643475
realized_vol_252d,2,0.011278630194355804
realized_vol_252d,3,0.007991356213126934
realized_vol_252d,4,0.006445254919442318
realized_vol_252d,5,0.006854341345641819
realized_vol_60d,1,0.0262583000146704
realized_vol_60d,2,0.011531669943639047
realized_vol_60d,3,0.009349243707891189
realized_vol_60d,4,0.005560708439077011
realized_vol_60d,5,0.008366845981487379
roe,1,0.010429251163036196
roe,2,0.01397492383351134
roe,3,0.011280975632704715
roe,4,0.011073945209475447
roe,5,0.01440952216112944
sales_yield,1,0.012164201710534362
sales_yield,2,0.011386462718632188
sales_yield,3,0.01312642477484339
sales_yield,4,0.011568284295464498
sales_yield,5,0.01291278105606771
