category,metric,value
performance,total_return,1.3346120012082685
performance,gross_total_return,1.3789049879191735
performance,net_total_return,1.3346120012082685
performance,benchmark_total_return,1.7499410348222195
performance,cagr,0.28054828300973367
performance,annualized_volatility,0.1667424097453682
performance,downside_volatility,0.11274414150713391
performance,sharpe_ratio,1.5671792100084077
performance,sortino_ratio,2.317772209592899
performance,calmar_ratio,1.3913144780475861
performance,omega_ratio,1.3100229443454043
performance,max_drawdown,-0.20164261023390162
performance,var_95_daily,-0.01632523637367491
performance,cvar_95_daily,-0.023295718666991684
benchmark,alpha_annualized,0.059484998634375605
benchmark,beta,0.6406596395111204
benchmark,correlation,0.7666314628474311
benchmark,r_squared,0.5877237998275922
benchmark,tracking_error,0.1288535338513824
benchmark,information_ratio,-0.41690597803410884
benchmark,up_capture,0.6601996715579462
benchmark,down_capture,0.6060432191585013
portfolio,average_turnover,0.5236265167749868
portfolio,average_number_of_holdings,50.0
portfolio,cost_drag,0.04429298671090498
portfolio,max_adv_participation,0.0008245306352213993
portfolio,average_holding_period_days,534.345971563981
portfolio,estimated_capacity,121281121.31715815
portfolio,average_hhi,0.02130353362997636
portfolio,average_effective_holdings,48.48353916220968
