factor,accruals,beta_to_spy,book_to_market,debt_to_equity,earnings_yield,free_cash_flow_yield,gross_margin,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,operating_margin,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.009762649343106247,-0.17651747382324304,0.14918849973791182,-0.1640445307416552,0.46767002155098375,0.1642513047253766,0.031506375834124384,0.005924885511976931,0.01935688934966321,0.01812757338524062,0.08737652544507263,-0.056291055921405736,-0.047305367804902285,-0.023889076824650635,-0.05864006043951502
beta_to_spy,0.009762649343106247,1.0,-0.11660266557179878,0.13433415553466582,0.0390486706032795,0.05772218901541008,-0.10002836480779873,-0.46543981578685845,-0.04021845012347865,-0.07241617159251072,-0.07491360624135597,-0.007554818194681578,0.7162550415195686,0.5965654128577168,0.014174238699063315,0.05580387927546788
book_to_market,-0.17651747382324304,-0.11660266557179878,1.0,-0.1784917631136519,0.2204484106663205,0.12960497811915397,-0.1859288091521001,0.15621770961224174,-0.14239232479848662,-0.05024993570396675,-0.08116628989690657,-0.1265301919879027,-0.11319833377112086,-0.11056027786402801,-0.1610659873155586,0.27362057723045957
debt_to_equity,0.14918849973791182,0.13433415553466582,-0.1784917631136519,1.0,-0.16847878207298914,-0.04679900254843304,0.034228234708975264,-0.08864067454542651,-0.02872146085502327,-0.012911303758153574,-0.026896467975742664,-0.0047028120069496585,0.11096756906650375,0.08749720907611057,-0.36012222553368733,-0.10585017926600487
earnings_yield,-0.1640445307416552,0.0390486706032795,0.2204484106663205,-0.16847878207298914,1.0,0.37262876707520276,-0.008084578001416078,-0.03760247571165066,0.03467872624315936,-0.023298820858413356,-0.00244746368593026,0.18782650275514612,0.03329067970411317,0.03432043273552385,0.3696133103852678,0.33427316802338325
free_cash_flow_yield,0.46767002155098375,0.05772218901541008,0.12960497811915397,-0.04679900254843304,0.37262876707520276,1.0,0.05311996986208026,-0.0085102588335449,0.008095293359503736,0.0008259800333153335,0.012731554264223862,0.0564291105034509,0.004304394449704409,0.007282172886290418,0.12291477400402841,0.2970786508395537
gross_margin,0.1642513047253766,-0.10002836480779873,-0.1859288091521001,0.034228234708975264,-0.008084578001416078,0.05311996986208026,1.0,0.029895444491844593,0.042098320162227316,0.012098705690371176,0.019290913659113423,0.6439519056286395,-0.0637327205697897,-0.04513094549155466,0.14432585413945037,-0.44678663658647233
max_drawdown_252d,0.031506375834124384,-0.46543981578685845,0.15621770961224174,-0.08864067454542651,-0.03760247571165066,-0.0085102588335449,0.029895444491844593,1.0,-0.5066644832511713,-0.14710211555434638,-0.3167630921839717,-0.09479096926941968,-0.7051381517612685,-0.6476371351494795,-0.027073774494779525,0.07120675411999003
momentum_12_1,0.005924885511976931,-0.04021845012347865,-0.14239232479848662,-0.02872146085502327,0.03467872624315936,0.008095293359503736,0.042098320162227316,-0.5066644832511713,1.0,0.31795297490654245,0.5781917121573731,0.07139243554048078,0.08645006514763628,0.11859981607884057,0.0636230473794448,-0.019127809670565897
momentum_3m,0.01935688934966321,-0.07241617159251072,-0.05024993570396675,-0.012911303758153574,-0.023298820858413356,0.0008259800333153335,0.012098705690371176,-0.14710211555434638,0.31795297490654245,1.0,0.6600384331623708,0.007264229029953319,-0.037919917506124105,0.038375577961550535,-0.005105103310527445,-0.014334739906295864
momentum_6m,0.01812757338524062,-0.07491360624135597,-0.08116628989690657,-0.026896467975742664,-0.00244746368593026,0.012731554264223862,0.019290913659113423,-0.3167630921839717,0.5781917121573731,0.6600384331623708,1.0,0.02772218917105957,-0.00739006428466263,0.0910389918953394,0.020216295278475658,-0.015132374716085764
operating_margin,0.08737652544507263,-0.007554818194681578,-0.1265301919879027,-0.0047028120069496585,0.18782650275514612,0.0564291105034509,0.6439519056286395,-0.09479096926941968,0.07139243554048078,0.007264229029953319,0.02772218917105957,1.0,0.08761987550205433,0.09260224780581593,0.18956532524694755,-0.46835783003164705
realized_vol_252d,-0.056291055921405736,0.7162550415195686,-0.11319833377112086,0.11096756906650375,0.03329067970411317,0.004304394449704409,-0.0637327205697897,-0.7051381517612685,0.08645006514763628,-0.037919917506124105,-0.00739006428466263,0.08761987550205433,1.0,0.841384519955503,-0.006342392734293863,-0.06985276915591655
realized_vol_60d,-0.047305367804902285,0.5965654128577168,-0.11056027786402801,0.08749720907611057,0.03432043273552385,0.007282172886290418,-0.04513094549155466,-0.6476371351494795,0.11859981607884057,0.038375577961550535,0.0910389918953394,0.09260224780581593,0.841384519955503,1.0,0.0015013012435009991,-0.07330977744391266
roe,-0.023889076824650635,0.014174238699063315,-0.1610659873155586,-0.36012222553368733,0.3696133103852678,0.12291477400402841,0.14432585413945037,-0.027073774494779525,0.0636230473794448,-0.005105103310527445,0.020216295278475658,0.18956532524694755,-0.006342392734293863,0.0015013012435009991,1.0,-0.015154008880065274
sales_yield,-0.05864006043951502,0.05580387927546788,0.27362057723045957,-0.10585017926600487,0.33427316802338325,0.2970786508395537,-0.44678663658647233,0.07120675411999003,-0.019127809670565897,-0.014334739906295864,-0.015132374716085764,-0.46835783003164705,-0.06985276915591655,-0.07330977744391266,-0.015154008880065274,1.0
