category,metric,value
performance,total_return,1.1309950837539797
performance,gross_total_return,1.1354285125771337
performance,net_total_return,1.1309950837539797
performance,benchmark_total_return,0.9258496691463731
performance,cagr,0.2472330131794518
performance,annualized_volatility,0.14811134461457665
performance,downside_volatility,0.09828836567732815
performance,sharpe_ratio,1.5661827680353828
performance,sortino_ratio,2.3600904754834855
performance,calmar_ratio,1.4818686946722226
performance,omega_ratio,1.3117966616377392
performance,max_drawdown,-0.16683867745390069
performance,var_95_daily,-0.013872831388456163
performance,cvar_95_daily,-0.019575838962856865
benchmark,alpha_annualized,0.05686093768118089
benchmark,beta,0.8644753286911647
benchmark,correlation,0.8717116570372571
benchmark,r_squared,0.7598812130146405
benchmark,tracking_error,0.07534697949697103
benchmark,information_ratio,0.3903142714072947
benchmark,up_capture,0.91487512881059
benchmark,down_capture,0.851038387632855
portfolio,average_turnover,0.059366099126714436
portfolio,average_number_of_holdings,41.48780487804878
portfolio,cost_drag,0.0044334288231540064
portfolio,max_adv_participation,0.0007205876424273554
portfolio,average_holding_period_days,479.6592592592593
portfolio,estimated_capacity,138775624.38226423
portfolio,average_hhi,0.04055761416827764
portfolio,average_effective_holdings,24.876364833769404
