start_date,trough_date,recovery_date,max_drawdown,duration_days
2023-01-31,2023-02-08,2023-02-13,-0.01414991146227984,13
2023-02-15,2023-03-15,2023-05-18,-0.07530934723139016,92
2023-05-18,2023-05-24,2023-06-02,-0.02640011656639929,15
2023-06-02,2023-06-05,2023-06-06,-0.002584380468941494,4
2023-06-08,2023-06-09,2023-06-12,-0.0011928840920542028,4
2023-06-16,2023-06-23,2023-06-29,-0.01583112088462235,13
2023-07-03,2023-07-06,2023-07-11,-0.014695297270583052,8
2023-07-13,2023-07-14,2023-07-17,-0.004943614238556826,4
2023-07-18,2023-07-20,2023-07-28,-0.010428666599168745,10
2023-07-31,2023-10-27,2023-11-14,-0.06962325995295138,106
2023-11-14,2023-11-16,2023-11-17,-0.005009272379362439,3
2023-11-20,2023-11-21,2023-11-22,-0.0015411594138523554,2
2023-11-24,2023-11-29,2023-12-01,-0.009088620167557515,7
2023-12-01,2023-12-06,2023-12-11,-0.018975045822374192,10
2023-12-14,2023-12-15,2023-12-18,-0.003961028528013721,4
2023-12-19,2023-12-20,2023-12-26,-0.015444358644428724,7
2023-12-26,2024-01-04,2024-01-18,-0.016191421732072886,23
2024-01-25,2024-01-26,2024-01-30,-0.005579035206679905,5
2024-01-30,2024-01-31,2024-02-07,-0.007672906984485195,8
2024-02-07,2024-02-08,2024-02-09,-0.004524224586734071,2
2024-02-12,2024-02-13,2024-02-14,-0.009058765888201759,2
2024-02-15,2024-02-20,2024-02-22,-0.007928860137281335,7
2024-02-22,2024-02-23,2024-03-01,-0.004868590773009829,8
2024-03-01,2024-03-05,2024-03-07,-0.006938148768164898,6
2024-03-07,2024-03-15,2024-03-20,-0.009378340533701457,13
2024-03-21,2024-03-26,2024-03-27,-0.007549163131713166,6
2024-04-01,2024-05-01,2024-05-21,-0.05777588939621969,50
2024-05-22,2024-05-29,2024-06-10,-0.018454388011552525,19
2024-06-13,2024-06-14,2024-06-17,-0.0018195155788652828,4
2024-06-18,2024-07-01,2024-07-16,-0.019851206458749937,28
2024-07-16,2024-08-07,2024-08-29,-0.07751528310740974,44
2024-08-30,2024-09-06,2024-09-24,-0.05020917966542493,25
2024-09-24,2024-09-25,2024-09-26,-0.001561276836073211,2
2024-09-26,2024-10-01,2024-10-04,-0.005793495651422398,8
2024-10-04,2024-10-07,2024-10-09,-0.01064514208355527,5
2024-10-09,2024-10-10,2024-10-11,-0.003509885905579657,2
2024-10-14,2024-11-04,2024-11-07,-0.04138701420104085,24
2024-11-08,2024-11-15,2024-11-25,-0.030913438975986973,17
2024-11-26,2024-11-27,2024-11-29,-0.0037706233533030264,3
2024-12-02,2024-12-03,2024-12-04,-0.0006731418887645502,2
2024-12-04,2024-12-19,2025-01-21,-0.05393539888135779,48
2025-01-23,2025-01-28,2025-02-19,-0.028304106480738445,27
2025-02-19,2025-04-08,2025-06-12,-0.16683867745390069,113
2025-06-12,2025-06-13,2025-06-24,-0.011057177875072544,12
2025-06-24,2025-06-25,2025-06-26,-0.005224260514912871,2
2025-06-30,2025-07-01,2025-07-02,-0.0007877462000186464,2
2025-07-07,2025-07-08,2025-07-09,-0.001681918442332786,2
2025-07-10,2025-07-15,2025-07-30,-0.010857247158212124,20
2025-07-30,2025-08-01,2025-08-13,-0.01999897916792992,14
2025-08-13,2025-08-15,2025-08-27,-0.014750085444929395,14
2025-08-28,2025-09-02,2025-09-05,-0.01120982475741239,8
2025-09-08,2025-09-09,2025-09-10,-0.0008564973819193966,2
2025-09-11,2025-09-16,2025-09-23,-0.011148740890631559,12
2025-09-23,2025-09-25,2025-09-29,-0.009421867842213771,6
2025-10-02,2025-10-03,2025-10-06,-0.0019246310329209537,4
2025-10-06,2025-10-10,2025-10-20,-0.028634029589996057,14
2025-10-21,2025-10-22,2025-10-27,-0.011455143280579505,6
2025-10-27,2025-11-04,2025-11-10,-0.016607377265944745,14
2025-11-10,2025-11-11,2025-11-12,-0.00036492776655450143,2
2025-11-12,2025-11-20,2025-11-26,-0.042442399929315644,14
2025-11-28,2025-12-01,2025-12-05,-0.007859897654877046,7
2025-12-05,2025-12-08,2025-12-10,-0.0009200849403075972,5
2025-12-11,2025-12-17,2025-12-23,-0.02205466928819888,12
2025-12-26,2025-12-31,2026-01-05,-0.014775947844129167,10
2026-01-06,2026-01-07,2026-01-09,-0.010516840045490583,3
2026-01-13,2026-01-14,2026-01-15,-0.0012814510558393222,2
2026-01-16,2026-01-20,2026-01-21,-0.01624184071172141,5
2026-01-21,2026-01-23,2026-01-26,-0.003263316783956083,5
2026-01-29,2026-02-04,2026-02-06,-0.02125016317919315,8
2026-02-09,2026-02-10,2026-02-11,-0.0007110088483576193,2
2026-02-11,2026-02-12,2026-02-20,-0.01496070501942004,9
2026-02-20,2026-02-23,2026-02-27,-0.0076556933775216995,7
2026-03-02,2026-03-30,2026-04-14,-0.08196399439994306,43
2026-04-14,2026-04-15,2026-04-16,-0.00023146436489784872,2
2026-04-17,2026-04-29,2026-05-22,-0.02506660371243552,35
2026-05-26,2026-05-27,2026-05-29,-0.004021347419679411,3
2026-06-03,2026-06-05,2026-06-11,-0.022877342729014094,8
