factor_name,quantile,forward_return
accruals,1,0.008229007608018849
accruals,2,0.007205465943899747
accruals,3,0.006667806877998282
accruals,4,0.010320378952347279
accruals,5,0.010074469985819148
beta_to_spy,1,0.01693024446129509
beta_to_spy,2,0.010257129659106362
beta_to_spy,3,0.0031724445736069687
beta_to_spy,4,0.005616113950748422
beta_to_spy,5,0.005642928179699728
book_to_market,1,0.0054791358276542355
book_to_market,2,0.00759666552211673
book_to_market,3,0.009317778362229858
book_to_market,4,0.00812385644715653
book_to_market,5,0.011143367277850931
debt_to_equity,1,0.009713996351928954
debt_to_equity,2,0.007535584807238867
debt_to_equity,3,0.010057990510169009
debt_to_equity,4,0.011779825514245654
debt_to_equity,5,0.005681165489070122
earnings_yield,1,0.0030194189096287164
earnings_yield,2,0.0077164174633977105
earnings_yield,3,0.0084974001863611
earnings_yield,4,0.011458104531080305
earnings_yield,5,0.011296813985610527
free_cash_flow_yield,1,0.006657497811282368
free_cash_flow_yield,2,0.007312285608632995
free_cash_flow_yield,3,0.0058443178954882295
free_cash_flow_yield,4,0.010319998380571831
free_cash_flow_yield,5,0.012057063285676305
gross_margin,1,0.015263296429115124
gross_margin,2,0.009726096409462
gross_margin,3,0.007062484243640572
gross_margin,4,0.0032196991090593396
gross_margin,5,0.009987236996114531
max_drawdown_252d,1,0.0060130651009574435
max_drawdown_252d,2,0.008608551479770677
max_drawdown_252d,3,0.006395081098977665
max_drawdown_252d,4,0.010906686052536899
max_drawdown_252d,5,0.00973610496720578
momentum_12_1,1,0.007992741697316005
momentum_12_1,2,0.0060752507834589495
momentum_12_1,3,0.0054178759178550185
momentum_12_1,4,0.007834445472851028
momentum_12_1,5,0.014344050313080559
momentum_3m,1,0.007598567637205858
momentum_3m,2,0.006871007116536589
momentum_3m,3,0.006173744800322378
momentum_3m,4,0.009998680038520507
momentum_3m,5,0.010994139463537828
momentum_6m,1,0.007203602965455702
momentum_6m,2,0.00804818301921377
momentum_6m,3,0.004548680982444625
momentum_6m,4,0.008064923116817172
momentum_6m,5,0.013775442605765454
operating_margin,1,0.012278352360481587
operating_margin,2,0.008742864795585854
operating_margin,3,0.005951927036878321
operating_margin,4,0.0069768523952153496
operating_margin,5,0.008224720646574629
realized_vol_252d,1,0.016107237250797726
realized_vol_252d,2,0.007618236749941401
realized_vol_252d,3,0.006010044171717562
realized_vol_252d,4,0.006178848570666657
realized_vol_252d,5,0.005686472323133276
realized_vol_60d,1,0.016571066990032555
realized_vol_60d,2,0.006835622947349795
realized_vol_60d,3,0.006645083474984989
realized_vol_60d,4,0.005112453119220583
realized_vol_60d,5,0.006449593875692499
roe,1,0.011000228157087842
roe,2,0.006567393257622044
roe,3,0.008703227851934095
roe,4,0.006194134723441269
roe,5,0.009414292787920456
sales_yield,1,0.003676403714019559
sales_yield,2,0.005374548712590945
sales_yield,3,0.007004396880333922
sales_yield,4,0.012944597410223881
sales_yield,5,0.01251316598336381
