date,symbol,weight,sector,position_value
2023-02-01,AVGO,0.05000000018134221,Information Technology,49948.55858934723
2023-02-01,BKNG,0.05000000017820331,Industrials,49948.558586211555
2023-02-01,LRCX,0.050000000141710244,Information Technology,49948.55854975604
2023-02-01,ORLY,0.05000000011917541,Consumer Discretionary,49948.558527244386
2023-02-01,HPE,0.05000000010007443,Information Technology,49948.55850816306
2023-02-01,COO,0.04999999996036749,Health Care,49948.55836859986
2023-02-01,ADI,0.04999999973587588,Information Technology,49948.55814433921
2023-02-01,KLAC,0.04999999971489139,Unknown,49948.558123376315
2023-02-01,LMT,0.0499999997222435,Unknown,49948.558130720856
2023-02-01,VTRS,0.04999999909906849,Health Care,49948.55750818699
2023-02-01,VRTX,0.04999999908981542,Health Care,49948.55749894344
2023-02-01,EG,0.04999999904346005,Financials,49948.55745263576
2023-02-01,NFLX,0.049999998971798555,Consumer Discretionary,49948.55738104799
2023-02-01,ETR,0.049999998921415316,Utilities,49948.55733071659
2023-02-01,NUE,0.04999999861199285,Unknown,49948.55702161247
2023-02-01,BWA,0.04999999832473328,Unknown,49948.55673464844
2023-02-01,ACGL,0.049999997687881735,Financials,49948.55609845211
2023-02-01,CAH,0.04999999650243295,Industrials,49948.55491422294
2023-02-01,FANG,0.04999998084109778,Materials,49948.53926900066
2023-02-01,PCAR,0.049999211214328536,Unknown,49947.77043404794
2023-02-01,LYB,1.51948610520042e-08,Materials,0.015179228095207746
2023-02-01,URI,1.4568248177259882e-08,Industrials,0.014553259899737917
2023-02-01,CME,1.371092416375722e-08,Financials,0.01369681792847426
2023-02-01,DE,1.1199404607842307e-08,Information Technology,0.01118788230383563
2023-02-01,UAL,1.0829910436040674e-08,Industrials,0.010818768279401226
2023-02-01,GILD,1.0263851870405014e-08,Health Care,0.010253292092839027
2023-02-01,SLB,1.020242141503821e-08,Materials,0.010191924839080414
2023-02-01,GM,1.001564496488331e-08,Unknown,0.010005340550483681
2023-02-01,AAPL,1.0017955139965191e-08,Information Technology,0.01000764834878389
2023-02-01,MA,1.0023217299751791e-08,Industrials,0.010012905094692975
2023-02-01,WRB,1.0079630079334409e-08,Financials,0.01006925983501199
2023-02-01,GEN,1.0094093964609052e-08,Information Technology,0.010083708839380989
2023-02-01,AFL,1.0111713956899076e-08,Financials,0.010101310703661992
2023-02-01,BNY,1.01216367714609e-08,Financials,0.01011122330931629
2023-02-01,AMGN,1.0130828688846839e-08,Health Care,0.010120405769764987
2023-02-01,LUMN,1.0135083128159906e-08,Communication Services,0.010124655831975443
2023-02-01,WMT,1.0135053276442124e-08,Consumer Discretionary,0.01012462601097006
2023-02-01,KR,1.013882042108596e-08,Consumer Discretionary,0.010128389279855555
2023-02-01,AIG,1.0141116107546642e-08,Financials,0.01013068260444092
2023-02-01,DD,1.0147785965226856e-08,Materials,0.01013734559995921
2023-02-01,ABBV,1.0147271505417593e-08,Health Care,0.010136831669442577
2023-02-01,CTAS,1.0149987055704269e-08,Consumer Discretionary,0.010139544425884665
2023-02-01,TSCO,1.0147417980632768e-08,Consumer Discretionary,0.010136977993959387
2023-02-01,REGN,1.0145986933738338e-08,Health Care,0.010135548419371561
2023-02-01,NOC,1.014499919284904e-08,Unknown,0.010134561694701538
2023-02-01,GD,1.0136505888515919e-08,Unknown,0.010126077128550307
2023-02-01,SWKS,1.0130077176256052e-08,Information Technology,0.01011965503035428
2023-02-01,NDSN,1.0117289386872189e-08,Information Technology,0.010106880397455248
2023-02-01,L,1.0115536167384309e-08,Financials,0.010105128981735392
2023-02-01,TRV,1.010923974418797e-08,Financials,0.010098839036499692
2023-02-01,PNW,1.0100364621576609e-08,Utilities,0.010089973044897024
2023-02-01,CB,1.0097961640062177e-08,Financials,0.010087572535646476
2023-02-01,TJX,1.0096697494587845e-08,Consumer Discretionary,0.010086309690765254
2023-02-01,AMAT,1.0091741997835443e-08,Information Technology,0.010081359292385675
2023-02-01,ODFL,1.0090904243057855e-08,Industrials,0.010080522399516872
2023-02-01,HIG,1.0088650175257505e-08,Financials,0.010078270650773236
2023-02-01,WYNN,1.0082414217571146e-08,Consumer Discretionary,0.010072041108838675
2023-02-01,ULTA,1.0083251989491601e-08,Consumer Discretionary,0.010072878018832707
2023-02-01,KMB,1.0084168500968687e-08,Materials,0.010073793587373606
2023-02-01,HUM,1.0079328421103866e-08,Financials,0.01006895848713704
2023-02-01,CAT,1.007486725728083e-08,Information Technology,0.01006450191310137
2023-02-01,GPC,1.0073845804371225e-08,Industrials,0.010063481511095039
2023-02-01,DAL,1.0069014655414046e-08,Industrials,0.010058655332577712
2023-02-01,MAR,1.006676593801622e-08,Consumer Discretionary,0.010056408928731936
2023-02-01,GL,1.0066485281983573e-08,Financials,0.01005612856144715
2023-02-01,INCY,1.0064700632006073e-08,Unknown,0.010054345747574363
2023-02-01,COR,1.0064805823561226e-08,Industrials,0.010054450830905096
2023-02-01,MPC,1.0065262876683753e-08,Energy,0.010054907413796818
2023-02-01,NVR,1.006501951203184e-08,Industrials,0.010054664299526209
2023-02-01,ALK,1.0065453703092653e-08,Industrials,0.010055098043877435
2023-02-01,SNA,1.0065598969387707e-08,Unknown,0.0100552431607179
2023-02-01,PGR,1.006580589239996e-08,Financials,0.01005544987084117
2023-02-01,MRK,1.0066425152731787e-08,Health Care,0.010056068494058252
2023-02-01,CVS,1.0066414836890421e-08,Consumer Discretionary,0.010056058188830153
2023-02-01,SYF,1.0068945305460763e-08,Financials,0.010058586053973868
2023-02-01,RTX,1.0069596802229554e-08,Unknown,0.010059236880462043
2023-02-01,GS,1.0069552116267413e-08,Financials,0.010059192240474243
2023-02-01,WAB,1.0070329002501986e-08,Unknown,0.010059968327423523
2023-02-01,VZ,1.0071077624545898e-08,Communication Services,0.010060716179261244
2023-02-01,DOW,1.0071350611056116e-08,Materials,0.01006098888491425
2023-02-01,GE,1.0073411448970276e-08,Information Technology,0.010063047602572754
2023-02-01,HAL,1.0075872470543287e-08,Materials,0.010065506092168422
