fold,role,date
1,train,2023-01-31
1,train,2023-02-28
1,train,2023-03-31
1,train,2023-04-28
1,train,2023-05-31
1,train,2023-06-30
1,train,2023-07-31
1,train,2023-08-31
1,train,2023-09-29
1,train,2023-10-31
1,train,2023-11-30
1,train,2023-12-29
1,train,2024-01-31
1,train,2024-02-29
1,train,2024-03-28
1,train,2024-04-30
1,train,2024-05-31
1,train,2024-06-28
1,test,2024-07-31
1,test,2024-08-30
1,test,2024-09-30
2,train,2023-01-31
2,train,2023-02-28
2,train,2023-03-31
2,train,2023-04-28
2,train,2023-05-31
2,train,2023-06-30
2,train,2023-07-31
2,train,2023-08-31
2,train,2023-09-29
2,train,2023-10-31
2,train,2023-11-30
2,train,2023-12-29
2,train,2024-01-31
2,train,2024-02-29
2,train,2024-03-28
2,train,2024-04-30
2,train,2024-05-31
2,train,2024-06-28
2,train,2024-07-31
2,train,2024-08-30
2,train,2024-09-30
2,test,2024-10-31
2,test,2024-11-29
2,test,2024-12-31
3,train,2023-01-31
3,train,2023-02-28
3,train,2023-03-31
3,train,2023-04-28
3,train,2023-05-31
3,train,2023-06-30
3,train,2023-07-31
3,train,2023-08-31
3,train,2023-09-29
3,train,2023-10-31
3,train,2023-11-30
3,train,2023-12-29
3,train,2024-01-31
3,train,2024-02-29
3,train,2024-03-28
3,train,2024-04-30
3,train,2024-05-31
3,train,2024-06-28
3,train,2024-07-31
3,train,2024-08-30
3,train,2024-09-30
3,train,2024-10-31
3,train,2024-11-29
3,train,2024-12-31
3,test,2025-01-31
3,test,2025-02-28
3,test,2025-03-31
4,train,2023-01-31
4,train,2023-02-28
4,train,2023-03-31
4,train,2023-04-28
4,train,2023-05-31
4,train,2023-06-30
4,train,2023-07-31
4,train,2023-08-31
4,train,2023-09-29
4,train,2023-10-31
4,train,2023-11-30
4,train,2023-12-29
4,train,2024-01-31
4,train,2024-02-29
4,train,2024-03-28
4,train,2024-04-30
4,train,2024-05-31
4,train,2024-06-28
4,train,2024-07-31
4,train,2024-08-30
4,train,2024-09-30
4,train,2024-10-31
4,train,2024-11-29
4,train,2024-12-31
4,train,2025-01-31
4,train,2025-02-28
4,train,2025-03-31
4,test,2025-04-30
4,test,2025-05-30
4,test,2025-06-30
5,train,2023-01-31
5,train,2023-02-28
5,train,2023-03-31
5,train,2023-04-28
5,train,2023-05-31
5,train,2023-06-30
5,train,2023-07-31
5,train,2023-08-31
5,train,2023-09-29
5,train,2023-10-31
5,train,2023-11-30
5,train,2023-12-29
5,train,2024-01-31
5,train,2024-02-29
5,train,2024-03-28
5,train,2024-04-30
5,train,2024-05-31
5,train,2024-06-28
5,train,2024-07-31
5,train,2024-08-30
5,train,2024-09-30
5,train,2024-10-31
5,train,2024-11-29
5,train,2024-12-31
5,train,2025-01-31
5,train,2025-02-28
5,train,2025-03-31
5,train,2025-04-30
5,train,2025-05-30
5,train,2025-06-30
5,test,2025-07-31
5,test,2025-08-29
5,test,2025-09-30
6,train,2023-01-31
6,train,2023-02-28
6,train,2023-03-31
6,train,2023-04-28
6,train,2023-05-31
6,train,2023-06-30
6,train,2023-07-31
6,train,2023-08-31
6,train,2023-09-29
6,train,2023-10-31
6,train,2023-11-30
6,train,2023-12-29
6,train,2024-01-31
6,train,2024-02-29
6,train,2024-03-28
6,train,2024-04-30
6,train,2024-05-31
6,train,2024-06-28
6,train,2024-07-31
6,train,2024-08-30
6,train,2024-09-30
6,train,2024-10-31
6,train,2024-11-29
6,train,2024-12-31
6,train,2025-01-31
6,train,2025-02-28
6,train,2025-03-31
6,train,2025-04-30
6,train,2025-05-30
6,train,2025-06-30
6,train,2025-07-31
6,train,2025-08-29
6,train,2025-09-30
6,test,2025-10-31
6,test,2025-11-28
6,test,2025-12-31
7,train,2023-01-31
7,train,2023-02-28
7,train,2023-03-31
7,train,2023-04-28
7,train,2023-05-31
7,train,2023-06-30
7,train,2023-07-31
7,train,2023-08-31
7,train,2023-09-29
7,train,2023-10-31
7,train,2023-11-30
7,train,2023-12-29
7,train,2024-01-31
7,train,2024-02-29
7,train,2024-03-28
7,train,2024-04-30
7,train,2024-05-31
7,train,2024-06-28
7,train,2024-07-31
7,train,2024-08-30
7,train,2024-09-30
7,train,2024-10-31
7,train,2024-11-29
7,train,2024-12-31
7,train,2025-01-31
7,train,2025-02-28
7,train,2025-03-31
7,train,2025-04-30
7,train,2025-05-30
7,train,2025-06-30
7,train,2025-07-31
7,train,2025-08-29
7,train,2025-09-30
7,train,2025-10-31
7,train,2025-11-28
7,train,2025-12-31
7,test,2026-01-30
7,test,2026-02-27
7,test,2026-03-31
8,train,2023-01-31
8,train,2023-02-28
8,train,2023-03-31
8,train,2023-04-28
8,train,2023-05-31
8,train,2023-06-30
8,train,2023-07-31
8,train,2023-08-31
8,train,2023-09-29
8,train,2023-10-31
8,train,2023-11-30
8,train,2023-12-29
8,train,2024-01-31
8,train,2024-02-29
8,train,2024-03-28
8,train,2024-04-30
8,train,2024-05-31
8,train,2024-06-28
8,train,2024-07-31
8,train,2024-08-30
8,train,2024-09-30
8,train,2024-10-31
8,train,2024-11-29
8,train,2024-12-31
8,train,2025-01-31
8,train,2025-02-28
8,train,2025-03-31
8,train,2025-04-30
8,train,2025-05-30
8,train,2025-06-30
8,train,2025-07-31
8,train,2025-08-29
8,train,2025-09-30
8,train,2025-10-31
8,train,2025-11-28
8,train,2025-12-31
8,train,2026-01-30
8,train,2026-02-27
8,train,2026-03-31
8,test,2026-04-30
