start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-01-29,2016-02-11,2016-02-17,-0.051748672346324964,19
2016-02-17,2016-02-18,2016-02-22,-0.005653809607407911,5
2016-02-22,2016-02-23,2016-02-25,-0.012377522057882007,3
2016-02-26,2016-02-29,2016-03-01,-0.007374435436545923,4
2016-03-04,2016-03-08,2016-03-11,-0.012357625730387234,7
2016-03-14,2016-03-15,2016-03-16,-0.0019872700644372188,2
2016-03-18,2016-03-24,2016-03-30,-0.013047275727076757,12
2016-04-01,2016-04-11,2016-04-13,-0.012044061429514086,12
2016-04-14,2016-04-15,2016-04-18,-0.001171521200877157,4
2016-04-20,2016-04-21,2016-04-26,-0.004092491220737293,6
2016-04-27,2016-06-27,2016-07-12,-0.06413970342935427,76
2016-07-12,2016-07-13,2016-07-14,-0.0006390429164141453,2
2016-07-14,2016-07-15,2016-07-20,-0.004853730602307871,6
2016-07-20,2016-07-21,2016-08-03,-0.00809325939197858,14
2016-08-05,2016-08-10,2016-08-15,-0.004992860350290562,10
2016-08-15,2016-08-16,2016-08-17,-0.003632812572442856,2
2016-08-18,2016-08-22,2016-08-23,-0.0013044999932039225,5
2016-08-23,2016-08-26,2016-08-30,-0.005299413718013679,7
2016-08-30,2016-08-31,2016-09-01,-0.00012945714087286841,2
2016-09-06,2016-11-04,2016-11-23,-0.05141054924329558,78
2016-11-25,2016-12-01,2016-12-07,-0.01662310940157541,12
2016-12-09,2016-12-12,2016-12-13,-0.004599478491117526,4
2016-12-13,2016-12-30,2017-01-06,-0.022028891663227856,24
2017-01-06,2017-01-19,2017-01-24,-0.00896730866693507,18
2017-01-25,2017-02-01,2017-02-10,-0.012938861251461486,16
2017-02-15,2017-02-16,2017-02-21,-0.0026741351044525796,6
2017-02-21,2017-02-22,2017-02-24,-0.00237249614114865,3
2017-02-27,2017-02-28,2017-03-01,-0.0021188466832976482,2
2017-03-01,2017-03-07,2017-03-15,-0.013141115287857441,14
2017-03-15,2017-03-16,2017-03-17,-0.00023281345148229438,2
2017-03-17,2017-04-13,2017-04-24,-0.024713390460291973,38
2017-04-25,2017-04-26,2017-04-27,-0.0003789577352334428,2
2017-05-02,2017-05-03,2017-05-04,-0.002532074878541679,2
2017-05-05,2017-05-17,2017-05-23,-0.017794914945844842,18
2017-05-25,2017-05-26,2017-05-30,-0.00041683259126201744,5
2017-06-05,2017-06-06,2017-06-08,-0.0037584045526060095,3
2017-06-09,2017-06-12,2017-06-13,-0.0003849562162282494,4
2017-06-13,2017-06-15,2017-06-16,-0.004118864111205656,3
2017-06-19,2017-07-06,2017-07-12,-0.015445224661789658,23
2017-07-25,2017-08-10,2017-09-11,-0.030215684712694646,48
2017-09-12,2017-09-15,2017-09-19,-0.004064001158434083,7
2017-09-20,2017-09-21,2017-09-22,-0.0015254432193742007,2
2017-09-22,2017-09-25,2017-09-27,-0.0013737510521126817,5
2017-10-05,2017-10-09,2017-10-11,-0.004973109072934467,6
2017-10-13,2017-10-19,2017-10-20,-0.004153362544344175,7
2017-10-20,2017-10-25,2017-10-27,-0.004943867946073488,7
2017-10-27,2017-11-10,2017-11-20,-0.011350756344628232,24
2017-11-21,2017-11-22,2017-11-24,-0.0027575710496994255,3
2017-11-28,2017-11-29,2017-11-30,-0.004042762549804402,2
2017-11-30,2017-12-05,2017-12-08,-0.008700271250969838,8
2017-12-11,2017-12-14,2017-12-15,-0.007620988699450382,4
2017-12-18,2017-12-29,2018-01-03,-0.010148424011527823,16
2018-01-12,2018-01-16,2018-01-17,-0.0045870343118795676,5
2018-01-17,2018-01-18,2018-01-22,-0.002926505341579455,5
2018-01-23,2018-01-25,2018-01-26,-0.0011507124455233386,3
2018-01-26,2018-02-08,2018-03-09,-0.10055244659718299,42
2018-03-09,2018-04-02,2018-04-18,-0.05824378248153528,40
2018-04-18,2018-04-24,2018-05-10,-0.028123161137831754,22
2018-05-10,2018-05-15,2018-05-21,-0.007373083659091284,11
2018-05-21,2018-05-29,2018-05-30,-0.015102804553384863,9
2018-05-30,2018-05-31,2018-06-01,-0.007873737818956839,2
2018-06-06,2018-06-27,2018-07-25,-0.041229211858546,49
2018-07-26,2018-07-30,2018-08-07,-0.011833675385284126,12
2018-08-07,2018-08-15,2018-08-24,-0.016807626264936038,17
2018-08-27,2018-08-28,2018-08-29,-0.0007437901357901788,2
2018-08-29,2018-09-12,2018-09-21,-0.012754131305811489,23
2018-09-24,2018-12-24,2019-04-16,-0.1839603099499122,204
2019-04-16,2019-04-22,2019-04-23,-0.0036859907737485376,7
2019-04-23,2019-04-25,2019-04-26,-0.004683437524449774,3
2019-04-29,2019-06-03,2019-06-10,-0.05384781395105853,42
2019-06-10,2019-06-17,2019-06-18,-0.006625315079361482,8
2019-06-20,2019-06-26,2019-07-01,-0.017315816538287065,11
2019-07-05,2019-07-08,2019-07-11,-0.006044879571764028,6
2019-07-12,2019-07-17,2019-07-23,-0.010356230756669693,11
2019-07-24,2019-07-25,2019-07-26,-0.006085328874146367,2
2019-07-26,2019-08-05,2019-09-05,-0.04919827073623129,41
2019-09-06,2019-09-10,2019-09-25,-0.014897145108512588,19
2019-09-25,2019-10-02,2019-10-15,-0.037976147894937196,20
2019-10-15,2019-10-16,2019-10-17,-0.0012288780814608824,2
2019-10-18,2019-10-22,2019-10-24,-0.00937151964918026,6
2019-10-28,2019-10-29,2019-10-30,-0.0013386910607234848,2
2019-10-30,2019-10-31,2019-11-01,-0.007961130866615984,2
2019-11-01,2019-11-12,2019-11-14,-0.006015643034683382,13
2019-11-19,2019-11-22,2019-11-26,-0.008450289163955294,7
2019-11-27,2019-12-03,2019-12-12,-0.0170477321060587,15
2019-12-17,2019-12-18,2019-12-19,-0.0022068162942698866,2
2019-12-20,2019-12-24,2019-12-26,-0.001874049240918274,6
2019-12-26,2019-12-30,2020-01-02,-0.0088608358386697,7
2020-01-02,2020-01-07,2020-01-09,-0.005671662887460127,7
2020-01-09,2020-01-10,2020-01-13,-0.001751044454609496,4
2020-01-13,2020-01-14,2020-01-15,-0.0006465113645088838,2
2020-01-17,2020-01-21,2020-01-23,-0.004126670442712643,6
2020-01-23,2020-01-31,2020-02-12,-0.032740166538759996,20
2020-02-14,2020-03-23,2020-08-12,-0.37630035692668307,180
2020-08-12,2020-08-13,2020-08-17,-0.0006644036790873775,5
2020-08-18,2020-08-20,2020-08-24,-0.005816143012338348,6
2020-08-24,2020-08-25,2020-08-26,-0.0007435883522284303,2
2020-08-26,2020-08-27,2020-08-28,-0.00042650971213187283,2
2020-08-28,2020-08-31,2020-09-01,-0.004803841362000294,4
2020-09-02,2020-09-23,2020-11-09,-0.10035080089103565,68
2020-11-09,2020-11-10,2020-11-11,-0.005970836862468687,2
2020-11-11,2020-11-12,2020-11-13,-0.01582755888563836,2
2020-11-16,2020-11-20,2020-11-24,-0.020818821111719732,8
2020-11-24,2020-11-25,2020-11-27,-0.001937420710526827,3
2020-11-27,2020-11-30,2020-12-01,-0.0074964415438754095,4
2020-12-02,2020-12-03,2020-12-04,-0.0027110683680635628,2
2020-12-04,2020-12-14,2020-12-17,-0.016820825042121457,13
2020-12-17,2020-12-23,2020-12-28,-0.008758987223793091,11
2020-12-28,2020-12-29,2020-12-30,-0.002539736605150167,2
2020-12-31,2021-01-04,2021-01-06,-0.015148344597864627,6
2021-01-08,2021-01-11,2021-01-12,-0.002250523203676913,4
2021-01-12,2021-01-15,2021-01-20,-0.018051225878571775,8
2021-01-20,2021-01-29,2021-02-04,-0.05137089960510133,15
2021-02-08,2021-02-09,2021-02-10,-0.0008903507415247702,2
2021-02-19,2021-02-23,2021-02-24,-0.011299647403883784,5
2021-02-24,2021-03-04,2021-03-11,-0.039220046718876245,15
2021-03-15,2021-03-19,2021-03-26,-0.026408640922500726,11
2021-03-26,2021-03-30,2021-04-01,-0.009069431366226288,6
2021-04-05,2021-04-07,2021-04-08,-0.002186181980331159,3
2021-04-13,2021-04-14,2021-04-15,-0.0025790939182239736,2
2021-04-16,2021-04-20,2021-04-23,-0.013417456771525171,7
2021-04-23,2021-04-26,2021-04-27,-0.00013870070989063787,4
2021-04-29,2021-05-05,2021-05-07,-0.011718796833858791,8
2021-05-07,2021-05-12,2021-06-02,-0.03838360809490782,26
2021-06-02,2021-06-03,2021-06-04,-0.0029992153242331954,2
2021-06-04,2021-06-09,2021-06-11,-0.0070169625134540725,7
2021-06-14,2021-06-18,2021-06-22,-0.019517605330400478,8
2021-06-22,2021-06-23,2021-06-24,-0.0009737479222393652,2
2021-06-25,2021-06-30,2021-07-01,-0.0023034044316152524,6
2021-07-02,2021-07-08,2021-07-12,-0.012577465324523751,10
2021-07-12,2021-07-19,2021-07-23,-0.031083172036016737,11
2021-07-26,2021-08-04,2021-08-06,-0.009542306626359354,11
2021-08-06,2021-08-10,2021-08-16,-0.003928435427507315,10
2021-08-16,2021-08-18,2021-08-23,-0.017208994709255077,7
2021-08-25,2021-08-26,2021-08-27,-0.005909503842644548,2
2021-09-03,2021-10-04,2021-10-14,-0.04211952257270679,41
2021-10-19,2021-10-20,2021-10-21,-0.0019823050740148673,2
2021-10-26,2021-10-27,2021-10-29,-0.007200631789469725,3
2021-10-29,2021-11-01,2021-11-02,-0.0002115189738590706,4
2021-11-09,2021-11-10,2021-11-12,-0.009397957081368369,3
2021-11-16,2021-12-01,2021-12-07,-0.045389594354777296,21
2021-12-08,2021-12-09,2021-12-10,-0.006668702544336491,2
2021-12-10,2021-12-20,2021-12-23,-0.031979751211062335,13
2021-12-29,2022-09-30,2023-05-18,-0.2335751970640524,505
2023-05-18,2023-05-24,2023-05-26,-0.02272515916184059,8
2023-05-26,2023-05-31,2023-06-02,-0.013385255759051029,7
2023-06-02,2023-06-05,2023-06-06,-0.0007351442938331454,4
2023-06-06,2023-06-07,2023-06-08,-0.003937683279434667,2
2023-06-08,2023-06-09,2023-06-12,-0.0011954640110478643,4
2023-06-15,2023-06-26,2023-06-30,-0.022983630493677243,15
2023-06-30,2023-07-06,2023-07-11,-0.014132280184830037,11
2023-07-13,2023-07-14,2023-07-17,-0.0015227089536186122,4
2023-07-18,2023-07-20,2023-07-25,-0.008092840450597993,7
2023-07-26,2023-07-27,2023-07-28,-0.0011962416165804957,2
2023-08-01,2023-08-03,2023-08-07,-0.01265835521688452,6
2023-08-07,2023-08-18,2023-08-29,-0.025432871100172227,22
2023-08-30,2023-09-12,2023-09-14,-0.009359374476840543,15
2023-09-14,2023-10-27,2023-11-14,-0.08090785034306625,61
2023-11-14,2023-11-15,2023-11-17,-0.0016326650904125994,3
2023-11-24,2023-11-29,2023-12-01,-0.005117417112278977,7
2023-12-01,2023-12-06,2023-12-11,-0.015904772902192277,10
2023-12-14,2023-12-15,2023-12-18,-0.002678767969325868,4
2023-12-19,2023-12-20,2023-12-22,-0.014644571334618495,3
2023-12-26,2024-01-04,2024-01-11,-0.022426651109087592,16
2024-01-12,2024-01-17,2024-01-18,-0.005601786014411303,6
2024-01-25,2024-01-26,2024-01-29,-0.0014118942210074037,4
2024-01-30,2024-01-31,2024-02-07,-0.014715227475427195,8
2024-02-09,2024-02-13,2024-02-15,-0.010851295596787991,6
2024-02-15,2024-02-20,2024-02-22,-0.014439361048964705,7
2024-02-22,2024-02-28,2024-03-01,-0.006604730124597169,8
2024-03-04,2024-03-05,2024-03-06,-0.004694532380278393,2
2024-03-07,2024-03-11,2024-03-18,-0.010144046308206311,11
2024-03-22,2024-03-26,2024-03-28,-0.007606286089034686,6
2024-04-01,2024-04-02,2024-04-03,-0.0018451086056010535,2
