signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2016-01-29,2016-02-01,363,363,0,1.0,1.0,0.0,0
2016-02-29,2016-03-01,368,6,1,1.0,1.0,0.0,0
2016-03-31,2016-04-01,372,4,0,1.0,1.0,0.0,0
2016-04-29,2016-05-02,373,2,1,1.0,1.0,0.0,0
2016-05-31,2016-06-01,377,5,1,1.0,1.0,0.0,0
2016-06-30,2016-07-01,378,1,0,1.0,1.0,0.0,0
2016-07-29,2016-08-01,382,4,0,1.0,1.0,0.0,0
2016-08-31,2016-09-01,382,1,1,1.0,1.0,0.0,0
2016-09-30,2016-10-03,385,3,0,1.0,1.0,0.0,0
2016-10-31,2016-11-01,386,1,0,1.0,1.0,0.0,0
2016-11-30,2016-12-01,386,1,1,1.0,1.0,0.0,0
2016-12-30,2017-01-03,386,1,1,1.0,1.0,0.0,0
