start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-01-29,2016-02-11,2016-02-17,-0.051748672346324964,19
2016-02-17,2016-02-18,2016-02-22,-0.005653809607407911,5
2016-02-22,2016-02-23,2016-02-25,-0.012377522057882007,3
2016-02-26,2016-02-29,2016-03-01,-0.007374435436545923,4
2016-03-04,2016-03-08,2016-03-11,-0.012357625730387234,7
2016-03-14,2016-03-15,2016-03-16,-0.0019872700644372188,2
2016-03-18,2016-03-24,2016-03-30,-0.013047275727076757,12
2016-04-01,2016-04-11,2016-04-13,-0.012044061429514086,12
2016-04-14,2016-04-15,2016-04-18,-0.001171521200877157,4
2016-04-20,2016-04-21,2016-04-26,-0.004092491220737293,6
2016-04-27,2016-06-27,2016-07-12,-0.06413970342935427,76
2016-07-12,2016-07-13,2016-07-14,-0.0006390429164141453,2
2016-07-14,2016-07-15,2016-07-20,-0.004853730602307871,6
2016-07-20,2016-07-21,2016-08-03,-0.00809325939197858,14
2016-08-05,2016-08-10,2016-08-15,-0.004992860350290562,10
2016-08-15,2016-08-16,2016-08-17,-0.003632812572442856,2
2016-08-18,2016-08-22,2016-08-23,-0.0013044999932039225,5
2016-08-23,2016-08-26,2016-08-30,-0.005299413718013679,7
2016-08-30,2016-08-31,2016-09-01,-0.00012945714087286841,2
2016-09-06,2016-11-04,2016-11-23,-0.05141054924329558,78
2016-11-25,2016-12-01,2016-12-07,-0.01662310940157541,12
2016-12-09,2016-12-12,2016-12-13,-0.004599478491117526,4
2016-12-13,2016-12-30,,-0.022028891663227856,17
