date,symbol,weight,sector,position_value
2016-02-01,ISRG,0.050000000152061366,Health Care,49948.511924077415
2016-02-01,COR,0.050000000126369966,Health Care,49948.51189841247
2016-02-01,CTAS,0.049999999879208654,Industrials,49948.51165150568
2016-02-01,CME,0.050000000032674574,Financials,49948.51180481356
2016-02-01,BKNG,0.05000000009581856,Consumer Discretionary,49948.51186789252
2016-02-01,PSX,0.04999999991288579,Energy,49948.511685148136
2016-02-01,ICE,0.049999999278181204,Financials,49948.51105109714
2016-02-01,NEE,0.04999999963136692,Utilities,49948.51140391916
2016-02-01,MPC,0.04999999965479701,Energy,49948.511427325124
2016-02-01,NDAQ,0.049999998561545494,Financials,49948.5103351994
2016-02-01,VRSN,0.049999999806118675,Information Technology,49948.511578490965
2016-02-01,AFL,0.04999999475264118,Financials,49948.50653021736
2016-02-01,BALL,0.049999999592954474,Materials,49948.51136554627
2016-02-01,MA,0.04999983917633685,Financials,49948.35111412
2016-02-01,WU,0.04999999839257693,Industrials,49948.510166404834
2016-02-01,SHW,0.04999999777025606,Materials,49948.5095447248
2016-02-01,F,0.04999999427195688,Consumer Discretionary,49948.50605002805
2016-02-01,CCL,0.04999999081837512,Consumer Discretionary,49948.50260000267
2016-02-01,XOM,0.04999995472217998,Energy,49948.466540978116
2016-02-01,UPS,0.049999412745076084,Industrials,49947.925121983026
2016-02-01,AAPL,3.226889094847571e-08,Information Technology,0.03223566158829788
2016-02-01,HSIC,1.2468108086582104e-08,Health Care,0.012455268870787342
2016-02-01,VZ,1.0350620414339099e-08,Communication Services,0.010339961712298139
2016-02-01,HPQ,1.0065866783676924e-08,Information Technology,0.010055501310832167
2016-02-01,CLX,1.0000044740144095e-08,Consumer Staples,0.009989747048506808
2016-02-01,PGR,1.0335965654213142e-08,Financials,0.010325322043124743
2016-02-01,CINF,1.0285415765209684e-08,Financials,0.010274824208605319
2016-02-01,ADBE,1.0002374201794722e-08,Information Technology,0.00999207411136039
2016-02-01,WM,1.0026984352034074e-08,Industrials,0.010016658918939296
2016-02-01,TJX,1.0024485004771939e-08,Consumer Discretionary,0.010014162145416386
2016-02-01,PRU,1.0130466518206765e-08,Financials,0.010120034522845026
2016-02-01,KLAC,1.0028408092003736e-08,Information Technology,0.010018081192792
2016-02-01,UAL,1.0086281180972725e-08,Industrials,0.01007589468610519
2016-02-01,XRAY,1.0083651161186997e-08,Health Care,0.01007326737462062
2016-02-01,AIZ,1.0059468651010211e-08,Financials,0.010049109766735703
2016-02-01,RSG,1.011221036356803e-08,Industrials,0.010101797167747277
2016-02-01,TSCO,1.0113993359324988e-08,Consumer Discretionary,0.010103578327438401
2016-02-01,SLB,1.0136202662779164e-08,Energy,0.010125764760539054
2016-02-01,PAYX,1.0131866031229697e-08,Industrials,0.010121432594699052
2016-02-01,CVX,1.0143062063195936e-08,Energy,0.010132617097388398
