signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2016-01-29,2016-02-01,363,363,0,1.0,1.0,0.0,0
2016-02-29,2016-03-01,368,6,1,1.0,1.0,0.0,0
2016-03-31,2016-04-01,372,4,0,1.0,1.0,0.0,0
2016-04-29,2016-05-02,373,2,1,1.0,1.0,0.0,0
2016-05-31,2016-06-01,377,5,1,1.0,1.0,0.0,0
2016-06-30,2016-07-01,378,1,0,1.0,1.0,0.0,0
2016-07-29,2016-08-01,382,4,0,1.0,1.0,0.0,0
2016-08-31,2016-09-01,382,1,1,1.0,1.0,0.0,0
2016-09-30,2016-10-03,385,3,0,1.0,1.0,0.0,0
2016-10-31,2016-11-01,386,1,0,1.0,1.0,0.0,0
2016-11-30,2016-12-01,386,1,1,1.0,1.0,0.0,0
2016-12-30,2017-01-03,386,1,1,1.0,1.0,0.0,0
2017-01-31,2017-02-01,387,1,0,1.0,1.0,0.0,0
2017-02-28,2017-03-01,388,1,0,1.0,1.0,0.0,0
2017-03-31,2017-04-03,392,6,2,1.0,1.0,0.0,0
2017-04-28,2017-05-01,394,2,0,1.0,1.0,0.0,0
2017-05-31,2017-06-01,394,1,1,1.0,1.0,0.0,0
2017-06-30,2017-07-03,395,3,2,1.0,1.0,0.0,0
2017-07-31,2017-08-01,397,5,3,1.0,1.0,0.0,0
2017-08-31,2017-09-01,397,1,1,1.0,1.0,0.0,0
2017-09-29,2017-10-02,400,3,0,1.0,1.0,0.0,0
2017-10-31,2017-11-01,401,2,1,1.0,1.0,0.0,0
2017-11-30,2017-12-01,401,1,1,1.0,1.0,0.0,0
2017-12-29,2018-01-02,401,0,0,1.0,1.0,0.0,0
2018-01-31,2018-02-01,403,2,0,1.0,1.0,0.0,0
2018-02-28,2018-03-01,403,0,0,1.0,1.0,0.0,0
2018-03-29,2018-04-02,405,3,1,1.0,1.0,0.0,0
2018-04-30,2018-05-01,405,1,1,1.0,1.0,0.0,0
2018-05-31,2018-06-01,406,1,0,1.0,1.0,0.0,0
2018-06-29,2018-07-02,405,2,3,1.0,1.0,0.0,0
2018-07-31,2018-08-01,406,2,1,1.0,1.0,0.0,0
2018-08-31,2018-09-04,408,2,0,1.0,1.0,0.0,0
2018-09-28,2018-10-01,408,0,0,1.0,1.0,0.0,0
2018-10-31,2018-11-01,409,2,1,1.0,1.0,0.0,0
2018-11-30,2018-12-03,412,5,2,1.0,1.0,0.0,0
2018-12-31,2019-01-02,413,3,2,1.0,1.0,0.0,0
2019-01-31,2019-02-01,414,2,1,1.0,1.0,0.0,0
2019-02-28,2019-03-01,417,4,1,1.0,1.0,0.0,0
2019-03-29,2019-04-01,418,1,0,1.0,1.0,0.0,0
2019-04-30,2019-05-01,416,0,2,1.0,1.0,0.0,0
2019-05-31,2019-06-03,417,1,0,1.0,1.0,0.0,0
2019-06-28,2019-07-01,416,1,2,1.0,1.0,0.0,0
2019-07-31,2019-08-01,418,2,0,1.0,1.0,0.0,0
2019-08-30,2019-09-03,420,2,0,1.0,1.0,0.0,0
2019-09-30,2019-10-01,422,4,2,1.0,1.0,0.0,0
2019-10-31,2019-11-01,423,2,1,1.0,1.0,0.0,0
2019-11-29,2019-12-02,427,4,0,1.0,1.0,0.0,0
2019-12-31,2020-01-02,429,5,3,1.0,1.0,0.0,0
2020-01-31,2020-02-03,430,1,0,1.0,1.0,0.0,0
2020-02-28,2020-03-02,429,0,1,1.0,1.0,0.0,0
2020-03-31,2020-04-01,424,2,7,1.0,1.0,0.0,0
2020-04-30,2020-05-01,430,6,0,1.0,1.0,0.0,0
2020-05-29,2020-06-01,433,5,2,1.0,1.0,0.0,0
2020-06-30,2020-07-01,434,3,2,1.0,1.0,0.0,0
2020-07-31,2020-08-03,434,1,1,1.0,1.0,0.0,0
2020-08-31,2020-09-01,436,2,0,1.0,1.0,0.0,0
2020-09-30,2020-10-01,434,2,4,1.0,1.0,0.0,0
2020-10-30,2020-11-02,435,2,1,1.0,1.0,0.0,0
2020-11-30,2020-12-01,437,2,0,1.0,1.0,0.0,0
2020-12-31,2021-01-04,438,1,0,1.0,1.0,0.0,0
2021-01-29,2021-02-01,440,2,0,1.0,1.0,0.0,0
2021-02-26,2021-03-01,440,1,1,1.0,1.0,0.0,0
2021-03-31,2021-04-01,444,7,3,1.0,1.0,0.0,0
2021-04-30,2021-05-03,445,1,0,1.0,1.0,0.0,0
2021-05-28,2021-06-01,447,2,0,1.0,1.0,0.0,0
2021-06-30,2021-07-01,447,0,0,1.0,1.0,0.0,0
2021-07-30,2021-08-02,448,1,0,1.0,1.0,0.0,0
2021-08-31,2021-09-01,448,1,1,1.0,1.0,0.0,0
2021-09-30,2021-10-01,447,2,3,1.0,1.0,0.0,0
2021-10-29,2021-11-01,448,1,0,1.0,1.0,0.0,0
2021-11-30,2021-12-01,449,1,0,1.0,1.0,0.0,0
2021-12-31,2022-01-03,450,3,2,1.0,1.0,0.0,0
2022-01-31,2022-02-01,450,0,0,1.0,1.0,0.0,0
2022-02-28,2022-03-01,450,1,1,1.0,1.0,0.0,0
2022-03-31,2022-04-01,451,1,0,1.0,1.0,0.0,0
2022-04-29,2022-05-02,453,2,0,1.0,1.0,0.0,0
2022-05-31,2022-06-01,455,2,0,1.0,1.0,0.0,0
2022-06-30,2022-07-01,457,3,1,1.0,1.0,0.0,0
2022-07-29,2022-08-01,457,0,0,1.0,1.0,0.0,0
2022-08-31,2022-09-01,457,0,0,1.0,1.0,0.0,0
2022-09-30,2022-10-03,457,2,2,1.0,1.0,0.0,0
2022-10-31,2022-11-01,460,3,0,1.0,1.0,0.0,0
2022-11-30,2022-12-01,461,1,0,1.0,1.0,0.0,0
2022-12-30,2023-01-03,463,2,0,1.0,1.0,0.0,0
2023-01-31,2023-02-01,463,1,1,1.0,1.0,0.0,0
2023-02-28,2023-03-01,463,1,1,1.0,1.0,0.0,0
2023-03-31,2023-04-03,465,2,0,1.0,1.0,0.0,0
2023-04-28,2023-05-01,465,0,0,1.0,1.0,0.0,0
2023-05-31,2023-06-01,466,1,0,1.0,1.0,0.0,0
2023-06-30,2023-07-03,467,1,0,1.0,1.0,0.0,0
2023-07-31,2023-08-01,467,0,0,1.0,1.0,0.0,0
2023-08-31,2023-09-01,466,0,1,1.0,1.0,0.0,0
2023-09-29,2023-10-02,465,1,2,1.0,1.0,0.0,0
2023-10-31,2023-11-01,465,2,2,1.0,1.0,0.0,0
2023-11-30,2023-12-01,465,0,0,1.0,1.0,0.0,0
2023-12-29,2024-01-02,467,4,2,1.0,1.0,0.0,0
2024-01-31,2024-02-01,467,0,0,1.0,1.0,0.0,0
2024-02-29,2024-03-01,467,1,1,1.0,1.0,0.0,0
2024-03-28,2024-04-01,468,3,2,1.0,1.0,0.0,0
2024-04-30,2024-05-01,466,0,2,1.0,1.0,0.0,0
2024-05-31,2024-06-03,468,2,0,1.0,1.0,0.0,0
2024-06-28,2024-07-01,468,2,2,1.0,1.0,0.0,0
