sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Utilities,0.08187306520774827,-0.1782510400100858,0.260124105217834
Industrials,0.24630075009713345,0.053502333219246884,0.19279841687788654
Materials,0.15400927006112977,0.021758501835600075,0.1322507682255297
Communication Services,0.12905879460357775,0.03845209078132961,0.09060670382224814
Information Technology,0.3609810753450454,0.2783330625177041,0.08264801282734124
Energy,0.03989317782457918,0.013141005593572461,0.02675217223100673
Health Care,0.12345739196260268,0.10839286485330775,0.01506452710929494
Consumer Staples,0.031798352547150036,0.03627068987248982,-0.004472337325339787
Transaction Costs,-0.004664309391633274,0.0,-0.004664309391633274
Real Estate,-5.561951869291427e-10,0.02324810625950932,-0.02324810681570451
Financials,0.24882145661147465,0.319692663809887,-0.07087120719841229
Consumer Discretionary,0.1831931992585763,0.7267867114630023,-0.543593512204426
