start_date,trough_date,recovery_date,max_drawdown,duration_days
2021-03-31,2021-04-01,2021-04-05,-0.0009865237052238962,5
2021-04-06,2021-04-07,2021-04-08,-0.0033182193969335527,2
2021-04-13,2021-04-14,2021-04-15,-0.0022449382996222456,2
2021-04-16,2021-04-20,2021-05-07,-0.016639752045265133,21
2021-05-10,2021-05-12,2021-05-26,-0.04438951262451174,16
2021-06-04,2021-06-18,2021-06-24,-0.03107324891489638,20
2021-06-29,2021-06-30,2021-07-01,-0.0003968985530542479,2
2021-07-02,2021-07-08,2021-07-12,-0.014254340891986628,10
2021-07-12,2021-07-19,2021-07-21,-0.02989070069083888,9
2021-07-26,2021-07-30,2021-08-03,-0.01039749980147342,8
2021-08-03,2021-08-04,2021-08-10,-0.005860146408572242,7
2021-08-12,2021-08-13,2021-08-16,-0.002590484565118456,4
2021-08-16,2021-08-18,2021-08-23,-0.01715640268696983,7
2021-08-25,2021-08-26,2021-08-27,-0.005126139994438006,2
2021-08-30,2021-09-01,2021-09-02,-0.0020643465719970555,3
2021-09-03,2021-09-21,2021-09-27,-0.025898190518184427,24
2021-09-27,2021-10-04,2021-10-15,-0.03919450280286785,18
2021-10-25,2021-10-27,2021-10-28,-0.008567516823804522,3
2021-10-29,2021-11-01,2021-11-02,-0.00025788750921673653,4
2021-11-08,2021-11-10,2021-11-16,-0.016714755954825855,8
2021-11-16,2021-11-17,2021-11-18,-0.004452534570955735,2
2021-11-18,2021-12-01,2021-12-27,-0.050692229190940186,39
2021-12-27,2021-12-28,2021-12-29,-0.0021582523348419036,2
2021-12-29,2022-09-30,2023-06-13,-0.25483025990347163,531
2023-06-15,2023-06-26,2023-06-29,-0.014716375023775985,14
2023-06-30,2023-07-07,2023-07-11,-0.01592316338384625,11
2023-07-13,2023-07-14,2023-07-17,-0.0031417808139109216,4
2023-07-18,2023-07-20,2023-07-28,-0.00648264203225235,10
2023-08-01,2023-08-04,2023-08-07,-0.01172226016722211,6
2023-08-07,2023-10-27,2023-11-14,-0.08420723606202496,99
2023-11-14,2023-11-16,2023-11-20,-0.005714268344661821,6
2023-11-20,2023-11-21,2023-11-24,-0.003273143737118067,4
2023-11-27,2023-11-29,2023-11-30,-0.0016015769885563413,3
2023-12-01,2023-12-06,2023-12-08,-0.009729903626797931,7
2023-12-19,2023-12-20,2023-12-22,-0.014386065540474391,3
2023-12-26,2023-12-27,2023-12-28,-0.0005226849552887325,2
