sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,0.9736866902671282,0.36655341074867925,0.607133279518449
Health Care,0.28607303406507933,0.06313175987007881,0.22294127419500054
Industrials,0.25857455488926373,0.0789752780322957,0.179599276856968
Consumer Staples,0.10681925266880432,0.04786695365521886,0.05895229901358545
Communication Services,0.22576808888096764,0.17010800642090507,0.055660082460062585
Consumer Discretionary,0.13840317099885924,0.08892788401120157,0.049475286987657664
Transaction Costs,-0.0046246018786933255,0.0,-0.0046246018786933255
Real Estate,1.2700641648135212e-08,0.007086181139764732,-0.0070861684391230854
Financials,0.04651728738086937,0.06341272671037668,-0.016895439329507315
Utilities,2.6189406375537705e-09,0.01714717828718696,-0.017147175668246323
Energy,-0.012511315331355875,0.04665074162479541,-0.05916205695615129
Materials,5.695092783177742e-09,0.1047388667364143,-0.10473886104132152
