signal_date,execution_date,symbol,trade_notional,current_weight,target_weight,commission,slippage,market_impact,total_cost,adv_participation
2021-03-31,2021-04-01,ORLY,50000.00051834807,0.0,0.05000000051834807,5.000000051834807,25.000000259174033,18.523812444900695,48.52381275590953,0.00018114094960288677
2021-03-31,2021-04-01,LOW,50000.00034337511,0.0,0.05000000034337511,5.0000000343375115,25.000000171687557,11.384517179811933,41.384517385837,7.071129942933606e-05
2021-03-31,2021-04-01,HCA,50000.00055374759,0.0,0.050000000553747585,5.000000055374759,25.000000276873795,18.61073241016916,48.61073274241771,0.0001641117549655954
2021-03-31,2021-04-01,WU,50000.00046471212,0.0,0.05000000046471212,5.000000046471212,25.000000232356058,30.66783979660642,60.66784007543369,0.0005270138220170558
2021-03-31,2021-04-01,HD,50000.0000250764,0.0,0.050000000025076395,5.00000000250764,25.000000012538198,6.864791993637814,36.86479200868365,3.625878084529438e-05
2021-03-31,2021-04-01,KMB,50000.00036264853,0.0,0.050000000362648525,5.0000000362648525,25.00000018132426,11.453760566786503,41.45376078437562,0.0001846426119560525
2021-03-31,2021-04-01,TSCO,49999.998700349635,0.0,0.049999998700349636,4.999999870034964,24.999999350174818,26.51410696810348,56.514106188313264,0.00027387679571846995
2021-03-31,2021-04-01,MCK,50000.00013675279,0.0,0.050000000136752785,5.000000013675279,25.000000068376394,19.104325755001447,49.104325837053125,0.00026829670923572306
2021-03-31,2021-04-01,F,49999.92594195637,0.0,0.04999992594195637,4.9999925941956365,24.999962970978185,18.650331448129606,48.650287013303426,7.376272872697414e-05
2021-03-31,2021-04-01,AMZN,0.01653994983573573,0.0,1.653994983573573e-08,1.6539949835735729e-06,8.269974917867864e-06,5.42319884086359e-10,9.924512221325522e-06,1.5701951917562663e-12
2021-03-31,2021-04-01,GOOG,49999.999763907625,0.0,0.04999999976390762,4.999999976390763,24.999999881953812,6.199373221759743,36.199373080104316,1.592032989645165e-05
2021-03-31,2021-04-01,GOOGL,49999.99950356844,0.0,0.04999999950356844,4.999999950356844,24.999999751784223,6.114129344648021,36.11412904678909,1.4679870079748738e-05
2021-03-31,2021-04-01,LYV,49999.99819612418,0.0,0.049999998196124176,4.999999819612418,24.99999909806209,30.90639528724651,60.90639420492102,0.00026624991217949457
2021-03-31,2021-04-01,NVDA,49999.99893210438,0.0,0.049999998932104384,4.999999893210438,24.99999946605219,8.457536629001858,38.45753598826449,1.1875515180948624e-05
2021-03-31,2021-04-01,WMT,49999.9984950427,0.0,0.049999998495042705,4.99999984950427,24.99999924752135,6.601531452692858,36.60153054971848,3.841181833834116e-05
2021-03-31,2021-04-01,CVS,49999.99802046598,0.0,0.04999999802046598,4.999999802046598,24.99999901023299,12.58654000453325,42.58653881681284,0.00011164083644665979
2021-03-31,2021-04-01,FTNT,49999.99486517952,0.0,0.04999999486517952,4.999999486517952,24.999997432589762,25.48930394981721,55.48930086892493,0.00018593452903257606
2021-03-31,2021-04-01,BBY,0.010147047247466156,0.0,1.0147047247466156e-08,1.0147047247466157e-06,5.073523623733079e-06,2.2412692977582577e-09,6.090469617777453e-06,3.528812619712405e-11
2021-03-31,2021-04-01,ZBRA,49999.98467305819,0.0,0.04999998467305819,4.9999984673058195,24.999992336529097,27.097052773912306,57.09704357774722,0.00025860733133261716
2021-03-31,2021-04-01,URI,49999.88773075188,0.0,0.049999887730751875,4.999988773075188,24.99994386537594,33.25408497190248,63.25401761035361,0.00021334434669989007
2021-03-31,2021-04-01,ETSY,49999.577451430676,0.0,0.049999577451430674,4.9999577451430675,24.999788725715337,30.181073921737767,60.180820392596175,6.850720441686695e-05
2021-03-31,2021-04-01,PWR,49999.75793081637,0.0,0.04999975793081637,4.999975793081637,24.999878965408186,37.86249356836147,67.8623483268513,0.00045242069333628355
2021-03-31,2021-04-01,IVZ,0.05801034308005593,0.0,5.801034308005593e-08,5.801034308005593e-06,2.900517154002797e-05,5.873166217454854e-08,3.4864937510208114e-05,5.764067914306628e-10
2021-03-31,2021-04-01,TGT,0.014465926553651962,0.0,1.4465926553651962e-08,1.4465926553651961e-06,7.232963276825981e-06,2.1402057560241226e-09,8.681696137947202e-06,2.316057757070063e-11
2021-03-31,2021-04-01,GNRC,0.0124496049407101,0.0,1.24496049407101e-08,1.24496049407101e-06,6.224802470355049e-06,3.976374413154925e-09,7.473739338839214e-06,2.7752045507919204e-11
2021-03-31,2021-04-01,MO,0.011631920995962493,0.0,1.1631920995962494e-08,1.1631920995962493e-06,5.815960497981247e-06,1.4091628562843337e-09,6.980561760433781e-06,2.881892634601501e-11
2021-03-31,2021-04-01,ETR,0.011444891928514405,0.0,1.1444891928514404e-08,1.1444891928514405e-06,5.722445964257202e-06,2.4391436496481933e-09,6.869374300758291e-06,8.564267422622391e-11
2021-03-31,2021-04-01,WRB,0.010602073621038783,0.0,1.0602073621038783e-08,1.0602073621038783e-06,5.301036810519391e-06,3.5054272196574624e-09,6.364749599842927e-06,1.8649634924509546e-10
2021-03-31,2021-04-01,COF,0.010505782219103322,0.0,1.0505782219103323e-08,1.0505782219103322e-06,5.2528911095516615e-06,2.0785736799926414e-09,6.305547905141986e-06,3.1795366378843754e-11
2021-03-31,2021-04-01,SPGI,0.010425996963698413,0.0,1.0425996963698412e-08,1.0425996963698412e-06,5.212998481849206e-06,1.1510333449649824e-09,6.256749211564013e-06,2.0391353598332022e-11
2021-03-31,2021-04-01,PRU,0.01033238551754521,0.0,1.0332385517545209e-08,1.033238551754521e-06,5.166192758772604e-06,2.2250531521125135e-09,6.201656363679238e-06,5.3154279704605765e-11
2021-03-31,2021-04-01,RHI,0.010276363844214955,0.0,1.0276363844214955e-08,1.0276363844214954e-06,5.138181922107478e-06,3.570482115307328e-09,6.1693887886442805e-06,1.4106889494945376e-10
2021-03-31,2021-04-01,CNC,0.010251765558161532,0.0,1.0251765558161532e-08,1.0251765558161532e-06,5.125882779080766e-06,2.4179942389857216e-09,6.1534773291359054e-06,5.146188965855839e-11
2021-03-31,2021-04-01,MET,0.010239906524534326,0.0,1.0239906524534325e-08,1.0239906524534327e-06,5.119953262267163e-06,1.7605255852967694e-09,6.145704440305892e-06,3.299600911745771e-11
2021-03-31,2021-04-01,TXN,0.010232346940465268,0.0,1.0232346940465269e-08,1.0232346940465267e-06,5.116173470232633e-06,1.3318450552554937e-09,6.1407400093344155e-06,1.2786687859185047e-11
