start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-01-29,2016-02-11,2016-02-25,-0.05788087209782289,27
2016-02-25,2016-02-29,2016-03-01,-0.009888649423725693,5
2016-03-03,2016-03-08,2016-03-11,-0.01176580143425332,8
2016-03-14,2016-03-15,2016-03-16,-0.0021243326035570442,2
2016-03-18,2016-03-28,2016-03-29,-0.009141744718366596,11
2016-03-30,2016-03-31,2016-04-01,-0.0014111122117774766,2
2016-04-01,2016-04-11,2016-04-13,-0.014861573716689946,12
2016-04-13,2016-04-14,2016-04-18,-0.0015290818319476651,5
2016-04-20,2016-06-27,2016-07-08,-0.04791825755019763,79
2016-07-14,2016-07-15,2016-07-20,-0.0034703491862628777,6
2016-07-20,2016-07-21,2016-08-04,-0.007960702922640839,15
2016-08-05,2016-08-09,2016-08-11,-0.0016770728085814257,6
2016-08-11,2016-08-12,2016-08-15,-0.000662617150550382,4
2016-08-15,2016-08-16,2016-08-17,-0.003052135056991312,2
2016-08-18,2016-08-19,2016-08-23,-0.002001675693782179,5
2016-08-23,2016-08-24,2016-09-01,-0.004849784295461568,9
2016-09-06,2016-11-04,2017-01-06,-0.06836962185480477,122
2017-01-06,2017-01-10,2017-01-18,-0.007408082805538507,12
2017-01-18,2017-01-19,2017-01-24,-0.006292822015600219,6
2017-01-25,2017-02-01,2017-02-09,-0.013540760142027763,15
2017-02-21,2017-02-22,2017-02-23,-0.0010030241336930201,2
2017-02-24,2017-02-28,2017-03-01,-0.0004858885801939383,5
2017-03-01,2017-03-07,2017-03-13,-0.010621428561962132,12
2017-03-13,2017-03-14,2017-03-15,-0.0013409868467518793,2
2017-03-15,2017-03-16,2017-03-17,-0.0023250598478953277,2
2017-03-17,2017-04-13,2017-04-24,-0.020793858661685927,38
2017-04-25,2017-04-26,2017-04-27,-0.003055062786947671,2
2017-04-28,2017-05-01,2017-05-02,-0.00031478907209103735,4
2017-05-02,2017-05-03,2017-05-04,-0.003766289728549088,2
2017-05-05,2017-05-12,2017-05-15,-0.0037054501275488594,10
2017-05-15,2017-05-17,2017-05-22,-0.01563274942444759,7
2017-05-25,2017-05-26,2017-05-31,-0.0005127316094437617,6
2017-06-05,2017-06-12,2017-06-13,-0.0059838090363270036,8
2017-06-14,2017-06-15,2017-06-16,-0.0016320360704779047,2
2017-06-19,2017-07-06,2017-07-19,-0.02009070652190148,30
2017-07-19,2017-07-20,2017-07-21,-0.00018623958002039753,2
2017-07-26,2017-08-10,2017-09-11,-0.03202956443915339,47
2017-09-12,2017-09-14,2017-09-18,-0.002344189725197232,6
2017-09-20,2017-09-21,2017-09-22,-0.002793437265654841,2
2017-09-22,2017-09-25,2017-09-27,-0.004697495862693968,5
2017-10-05,2017-10-09,2017-10-10,-0.0023296761934955557,5
2017-10-13,2017-10-17,2017-10-20,-0.004319524969576216,7
2017-10-20,2017-10-25,2017-10-27,-0.004453750613607532,7
2017-10-27,2017-11-07,2017-11-13,-0.005739855043401243,17
2017-11-14,2017-11-15,2017-11-16,-0.005564066765044284,2
2017-11-16,2017-11-17,2017-11-20,-0.004063437335684261,4
2017-11-21,2017-11-22,2017-11-24,-0.0029254027216560896,3
2017-11-28,2017-11-29,2017-11-30,-0.005791063630134929,2
2017-11-30,2017-12-05,2017-12-08,-0.009915601875768787,8
2017-12-08,2017-12-14,2017-12-15,-0.004663217841865741,7
2017-12-18,2017-12-29,2018-01-03,-0.009587968622514431,16
2018-01-09,2018-01-10,2018-01-11,-0.00010542040712013812,2
2018-01-12,2018-01-16,2018-01-17,-0.002895068061517181,5
2018-01-17,2018-01-18,2018-01-19,-0.003432509742667622,2
2018-01-23,2018-01-24,2018-01-25,-0.0032170584639572564,2
2018-01-26,2018-02-08,2018-03-09,-0.09451997215306418,42
2018-03-09,2018-04-02,2018-05-10,-0.06716609448460809,62
2018-05-10,2018-05-15,2018-05-21,-0.010309758757033882,11
2018-05-21,2018-05-22,2018-05-24,-0.007298879402446556,3
2018-05-24,2018-05-29,2018-05-30,-0.007901327623561327,6
2018-05-30,2018-05-31,2018-06-01,-0.009902321121081137,2
2018-06-06,2018-06-07,2018-06-12,-0.0056365595618775854,6
2018-06-12,2018-06-27,2018-07-18,-0.04289887450016294,36
2018-07-18,2018-07-19,2018-07-24,-0.004013730585942565,6
2018-07-26,2018-07-30,2018-08-06,-0.01456977013355687,11
2018-08-07,2018-08-13,2018-08-21,-0.012995529447307863,14
2018-08-27,2018-08-28,2018-08-29,-0.0014950856328134199,2
2018-08-29,2018-08-30,2018-08-31,-0.0009045668826052067,2
2018-09-04,2018-12-24,2019-04-12,-0.19500479270844784,220
2019-04-16,2019-04-22,2019-04-23,-0.003426704881586251,7
2019-04-23,2019-06-03,2019-06-20,-0.06592542743881813,58
2019-06-20,2019-06-26,2019-06-28,-0.012763562025725927,8
2019-07-03,2019-07-08,2019-07-10,-0.006146146173450662,7
2019-07-15,2019-07-17,2019-07-18,-0.008281275619775652,3
2019-07-18,2019-07-19,2019-07-23,-0.0064502430417401335,5
2019-07-24,2019-07-25,2019-07-26,-0.0054312718192376375,2
2019-07-26,2019-08-05,2019-09-04,-0.05257569419335828,40
2019-09-05,2019-10-02,2019-10-15,-0.03562349388073205,40
2019-10-15,2019-10-16,2019-10-17,-8.414440058579498e-05,2
2019-10-17,2019-10-22,2019-10-24,-0.008643790846586619,7
2019-10-28,2019-10-29,2019-10-30,-0.0013830220412938132,2
2019-10-30,2019-11-12,2019-11-14,-0.007723249425797829,15
2019-11-18,2019-11-22,2019-11-27,-0.01050901575747798,9
2019-11-27,2019-12-03,2019-12-16,-0.01807983557962789,19
2019-12-17,2019-12-18,2019-12-19,-0.0022874705380021565,2
2019-12-20,2019-12-24,2019-12-26,-0.0021509136640067705,6
2019-12-26,2019-12-30,2020-01-02,-0.009001327305496298,7
2020-01-02,2020-01-03,2020-01-09,-0.006545599391794887,7
2020-01-09,2020-01-10,2020-01-13,-0.0021096157450051223,4
2020-01-13,2020-01-14,2020-01-15,-0.0010640527416470036,2
2020-01-17,2020-01-21,2020-01-22,-0.00198370545486104,5
2020-01-23,2020-01-31,2020-02-11,-0.032825125244195896,19
2020-02-14,2020-02-18,2020-02-19,-0.001962452028950734,5
2020-02-19,2020-03-23,2020-07-22,-0.33603106637487545,154
2020-07-22,2020-07-28,2020-07-30,-0.01830636416433007,8
2020-07-31,2020-08-03,2020-08-04,-0.0011826615344762148,4
2020-08-10,2020-08-11,2020-08-12,-0.009214419210027192,2
2020-08-12,2020-08-13,2020-08-17,-0.003171268911179137,5
2020-08-18,2020-08-20,2020-08-24,-0.00539020339032148,6
2020-08-26,2020-08-27,2020-08-28,-0.0011265580839314726,2
2020-08-28,2020-08-31,2020-09-01,-0.0031598091225484293,4
2020-09-02,2020-09-23,2020-11-11,-0.09304636211808559,70
2020-11-11,2020-11-12,2020-11-13,-0.014005932668057719,2
2020-11-16,2020-11-20,2020-11-24,-0.022608786985899965,8
2020-11-24,2020-11-25,2020-11-27,-0.0007901053100727307,3
2020-11-27,2020-11-30,2020-12-01,-0.005899535174778148,4
2020-12-02,2020-12-03,2020-12-04,-0.002330123524772576,2
2020-12-04,2020-12-14,2020-12-17,-0.015726950399319595,13
2020-12-17,2020-12-23,2020-12-31,-0.011618594767190182,14
2020-12-31,2021-01-04,2021-01-06,-0.016827341343584212,6
2021-01-08,2021-01-15,2021-01-20,-0.016105913488991708,12
2021-01-21,2021-01-29,2021-02-04,-0.04104976139361616,14
2021-02-08,2021-02-09,2021-02-11,-0.002089470897052026,3
2021-02-19,2021-03-04,2021-03-11,-0.04185502853607603,20
2021-03-15,2021-03-16,2021-03-17,-0.0016020219257725232,2
2021-03-17,2021-03-24,2021-03-26,-0.025282651947913348,9
2021-03-26,2021-03-30,2021-04-01,-0.007598969997238525,6
2021-04-05,2021-04-06,2021-04-08,-0.0013962521695122243,3
2021-04-13,2021-04-14,2021-04-15,-0.0024919269456425974,2
2021-04-16,2021-04-20,2021-04-23,-0.013631810552049983,7
2021-04-29,2021-05-12,2021-06-25,-0.050149284223534485,57
2021-06-25,2021-06-28,2021-06-29,-0.000957098216177954,4
2021-06-29,2021-06-30,2021-07-01,-0.0009326922362559165,2
2021-07-02,2021-07-08,2021-07-09,-0.00824232464942709,7
2021-07-12,2021-07-19,2021-07-23,-0.028915488807157996,11
2021-07-26,2021-08-18,2021-08-23,-0.02113777170230735,28
