category,metric,value
performance,total_return,6.249581056537223
performance,gross_total_return,6.290325584378487
performance,net_total_return,6.249581056537223
performance,benchmark_total_return,2.6176698027634453
performance,cagr,0.209455905328932
performance,annualized_volatility,0.18247027036351168
performance,downside_volatility,0.12805497162715312
performance,sharpe_ratio,1.1341951611821497
performance,sortino_ratio,1.6161566792461015
performance,calmar_ratio,0.6233230385171099
performance,omega_ratio,1.2418795619209717
performance,max_drawdown,-0.33603106637487545
performance,var_95_daily,-0.016819277776926465
performance,cvar_95_daily,-0.02733641111865058
benchmark,alpha_annualized,0.07146453108493452
benchmark,beta,0.9699988704550944
benchmark,correlation,0.9556083276079752
benchmark,r_squared,0.9131872757937113
benchmark,tracking_error,0.05403285907911369
benchmark,information_ratio,1.245055027772264
benchmark,up_capture,1.0119666023370908
benchmark,down_capture,0.9346980214893345
portfolio,average_turnover,0.04826131838051274
portfolio,average_number_of_holdings,41.392
portfolio,cost_drag,0.040744527841264144
portfolio,max_adv_participation,0.002239763707542064
portfolio,average_holding_period_days,1405.2553191489362
portfolio,estimated_capacity,44647566.91219935
portfolio,average_hhi,0.03982358071552568
portfolio,average_effective_holdings,25.343139135474736
