fold,model_type,train_start,train_end,test_start,test_end,train_rows,test_rows,purged_rows,mse,mae,rank_ic
1,elastic_net,2016-01-29,2017-12-29,2018-01-31,2018-03-29,8884,1211,401,0.07485447143429896,0.2360853555957098,-0.08534498188919395
2,elastic_net,2016-01-29,2018-03-29,2018-04-30,2018-06-29,10091,1216,405,0.07547137846314649,0.23746375065790418,0.0283203781118227
3,elastic_net,2016-01-29,2018-06-29,2018-07-31,2018-09-28,11307,1222,405,0.07595899579668593,0.23715696504910816,-0.11054219765432464
4,elastic_net,2016-01-29,2018-09-28,2018-10-31,2018-12-31,12526,1234,408,0.07519657093166317,0.23736820434275907,0.028694573571293954
5,elastic_net,2016-01-29,2018-12-31,2019-01-31,2019-03-29,13755,1249,413,0.07568351645752397,0.23711852674575973,-0.028025182611050328
6,elastic_net,2016-01-29,2019-03-29,2019-04-30,2019-06-28,14999,1249,418,0.07470981122743432,0.23572374025659937,-0.04641779896648596
7,elastic_net,2016-01-29,2019-06-28,2019-07-31,2019-09-30,16250,1260,416,0.0765372303181008,0.23894930244157458,0.04818533654818124
8,elastic_net,2016-01-29,2019-09-30,2019-10-31,2019-12-31,17504,1279,422,0.07465445246436488,0.2357259062079749,0.04062034289708724
9,elastic_net,2016-01-29,2019-12-31,2020-01-31,2020-03-31,18776,1283,429,0.07805428618993669,0.2415513973238544,-0.11363439333348317
10,elastic_net,2016-01-29,2020-03-31,2020-04-30,2020-06-30,20064,1297,424,0.0752845923418722,0.2369665957304395,
11,elastic_net,2016-01-29,2020-06-30,2020-07-31,2020-09-30,21351,1304,434,0.074859532336462,0.23581879754359736,
12,elastic_net,2016-01-29,2020-09-30,2020-10-30,2020-12-31,22655,1310,434,0.0762303939636391,0.2387366071213585,0.23490340371804688
13,elastic_net,2016-01-29,2020-12-31,2021-01-29,2021-03-31,23961,1324,438,0.07583803520515216,0.23734812630058116,0.07523835992712742
14,elastic_net,2016-01-29,2021-03-31,2021-04-30,2021-06-30,25279,1339,444,0.07680673504760988,0.2383066487998443,-0.005609542101327115
15,elastic_net,2016-01-29,2021-06-30,2021-07-30,2021-09-30,26615,1343,447,0.07667761135990124,0.23886899383477467,0.027567719038208167
16,elastic_net,2016-01-29,2021-09-30,2021-10-29,2021-12-31,27958,1347,447,0.07885395847424367,0.24256717015979337,-0.10893233045436378
17,elastic_net,2016-01-29,2021-12-31,2022-01-31,2022-03-31,29302,1351,450,0.07879648208510776,0.24309417707604636,-0.10044417780182038
18,elastic_net,2016-01-29,2022-03-31,2022-04-29,2022-06-30,30652,1365,451,0.07689858022945442,0.23857003501907612,0.04780380109660695
19,elastic_net,2016-01-29,2022-06-30,2022-07-29,2022-09-30,32011,1371,457,0.07668904118028431,0.23804029769145948,-0.19930951719013862
20,elastic_net,2016-01-29,2022-09-30,2022-10-31,2022-12-30,33382,1384,457,0.07770496992542834,0.2397365316760232,
21,elastic_net,2016-01-29,2022-12-30,2023-01-31,2023-03-31,34760,1391,463,0.07716325262487304,0.23896940017713314,
22,elastic_net,2016-01-29,2023-03-31,2023-04-28,2023-06-30,36149,1398,465,0.0782190329990631,0.24174407912994528,0.19709183132224506
23,elastic_net,2016-01-29,2023-06-30,2023-07-31,2023-09-29,37545,1398,467,0.07845998798374035,0.24149784150619064,-0.3297863183028248
24,elastic_net,2016-01-29,2023-09-29,2023-10-31,2023-12-29,38945,1397,465,0.07684216374691924,0.23940401158834085,
25,elastic_net,2016-01-29,2023-12-29,2024-01-31,2024-03-28,40340,1402,467,0.07778498349764759,0.2412350685651514,
26,elastic_net,2016-01-29,2024-03-28,2024-04-30,2024-06-28,41741,1402,468,0.07856068203070228,0.24167842908322726,
27,elastic_net,2016-01-29,2024-06-28,2024-07-31,2024-09-30,43143,1408,468,0.07692850530178595,0.23893056359971124,
28,elastic_net,2016-01-29,2024-09-30,2024-10-31,2024-12-31,44550,1410,469,0.07904196232184628,0.24287294557291397,
29,elastic_net,2016-01-29,2024-12-31,2025-01-31,2025-03-31,45957,1418,472,0.07754515266740904,0.23986404585403942,
30,elastic_net,2016-01-29,2025-03-31,2025-04-30,2025-06-30,47374,1420,473,0.07894805352774027,0.243003547912615,
31,elastic_net,2016-01-29,2025-06-30,2025-07-31,2025-09-30,48793,1423,474,0.07695926684742868,0.23952192268661457,
32,elastic_net,2016-01-29,2025-09-30,2025-10-31,2025-12-31,50216,1423,474,0.07796972595572593,0.24023164078517872,
33,elastic_net,2016-01-29,2025-12-31,2026-01-30,2026-03-31,51638,1429,475,0.07901750597624559,0.2433307617740224,0.025643126818854108
34,elastic_net,2016-01-29,2026-03-31,2026-04-30,2026-04-30,53065,478,477,0.07877755814341145,0.2420692464153963,0.003836785088448666
