start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-01-29,2016-02-11,2016-02-25,-0.05788086289462102,27
2016-02-25,2016-02-29,2016-03-01,-0.009888648721635751,5
2016-03-03,2016-03-08,2016-03-11,-0.01176579974851999,8
2016-03-14,2016-03-15,2016-03-16,-0.0021243320503836483,2
2016-03-18,2016-03-28,2016-03-29,-0.009141744210099723,11
2016-03-30,2016-03-31,2016-04-01,-0.0014111128886713509,2
2016-04-01,2016-04-11,2016-04-13,-0.014861573242798909,12
2016-04-13,2016-04-14,2016-04-18,-0.0015290812909261042,5
2016-04-20,2016-05-05,2016-06-23,-0.0391964076120388,64
2016-06-23,2016-06-27,2016-07-08,-0.04726333158341378,15
2016-07-14,2016-07-15,2016-07-20,-0.0024195804974137536,6
2016-07-20,2016-07-21,2016-08-03,-0.007819341539972546,14
2016-08-05,2016-08-09,2016-08-11,-0.001889342832376406,6
2016-08-15,2016-08-16,2016-08-17,-0.002705428314918268,2
2016-08-18,2016-08-19,2016-08-23,-0.0019463449016431378,5
2016-08-23,2016-08-26,2016-08-29,-0.0041258489336813975,6
2016-08-29,2016-08-31,2016-09-02,-0.00513057242678705,4
2016-09-06,2016-11-04,2017-01-06,-0.06589968873263952,122
2017-01-06,2017-01-10,2017-01-18,-0.007716454824625574,12
2017-01-18,2017-01-19,2017-01-24,-0.00687296247708391,6
2017-01-25,2017-02-01,2017-02-10,-0.01562196175827546,16
2017-02-21,2017-02-22,2017-02-23,-0.0010952969949661329,2
2017-02-27,2017-02-28,2017-03-01,-3.142035718906033e-05,2
2017-03-01,2017-03-07,2017-03-10,-0.010475735972077183,9
2017-03-13,2017-03-14,2017-03-15,-0.0012529435700743274,2
2017-03-15,2017-03-16,2017-03-17,-0.001856052057882196,2
2017-03-17,2017-04-13,2017-04-24,-0.021330673820876833,38
2017-04-25,2017-04-26,2017-04-27,-0.003250949930484026,2
2017-04-27,2017-05-03,2017-05-04,-0.00256904775196265,7
2017-05-05,2017-05-12,2017-05-15,-0.002538771128830386,10
2017-05-15,2017-05-17,2017-05-22,-0.013978101195752934,7
2017-05-25,2017-05-26,2017-05-31,-0.0005113996995955716,6
2017-06-05,2017-06-06,2017-06-13,-0.00532900651978474,8
2017-06-14,2017-06-15,2017-06-16,-0.0014448886238904723,2
2017-06-19,2017-07-06,2017-07-18,-0.017305498440395528,29
2017-07-26,2017-08-10,2017-09-11,-0.030187823778062617,47
2017-09-12,2017-09-14,2017-09-18,-0.0024611048570252203,6
2017-09-20,2017-09-21,2017-09-22,-0.00281639884800311,2
2017-09-22,2017-09-25,2017-09-27,-0.005077922912319788,5
2017-10-05,2017-10-09,2017-10-10,-0.001863909760907223,5
2017-10-12,2017-10-17,2017-10-20,-0.005072851011276969,8
2017-10-20,2017-10-25,2017-10-27,-0.004337693127996367,7
2017-10-27,2017-11-07,2017-11-13,-0.008984114433148727,17
2017-11-14,2017-11-15,2017-11-16,-0.005998414646731676,2
2017-11-16,2017-11-17,2017-11-20,-0.003880258015037441,4
2017-11-21,2017-11-22,2017-11-24,-0.002630472445330656,3
2017-11-28,2017-11-29,2017-11-30,-0.005048101772269775,2
2017-11-30,2017-12-05,2017-12-07,-0.008880760186799508,7
2017-12-08,2017-12-14,2017-12-15,-0.0052918343851913185,7
2017-12-18,2017-12-29,2018-01-03,-0.010462526101314373,16
2018-01-09,2018-01-10,2018-01-11,-0.0003800383594990686,2
2018-01-12,2018-01-16,2018-01-17,-0.0022201797013755575,5
2018-01-17,2018-01-18,2018-01-22,-0.003479347613866035,5
2018-01-23,2018-01-24,2018-01-25,-0.0034399953910808634,2
2018-01-26,2018-02-08,2018-03-09,-0.09269535753709057,42
2018-03-09,2018-04-02,2018-05-21,-0.06854657274019182,73
2018-05-21,2018-05-29,2018-05-30,-0.008897031188222382,9
2018-05-30,2018-05-31,2018-06-01,-0.011071688918384393,2
2018-06-06,2018-06-27,2018-07-25,-0.04731089016016332,49
2018-07-26,2018-07-30,2018-08-06,-0.012495241563769688,11
2018-08-07,2018-08-13,2018-08-20,-0.014017700513902609,13
2018-08-27,2018-08-28,2018-08-29,-0.002208007815870827,2
2018-08-29,2018-08-30,2018-08-31,-0.0003307865903880991,2
2018-09-04,2018-09-12,2018-10-01,-0.011913659777429753,27
