category,metric,value
performance,total_return,5.6915661956153265
performance,gross_total_return,5.720809969501396
performance,net_total_return,5.6915661956153265
performance,benchmark_total_return,2.6176698027634453
performance,cagr,0.20019183179034283
performance,annualized_volatility,0.17902926722918458
performance,downside_volatility,0.1256377367367843
performance,sharpe_ratio,1.1095096044898094
performance,sortino_ratio,1.5810113795005716
performance,calmar_ratio,0.6047332545162607
performance,omega_ratio,1.2362424286648546
performance,max_drawdown,-0.33104154649223094
performance,var_95_daily,-0.016216915398577968
performance,cvar_95_daily,-0.026780011277853868
benchmark,alpha_annualized,0.06596211651241057
benchmark,beta,0.9498117943030293
benchmark,correlation,0.9537056088581128
benchmark,r_squared,0.9095543883674237
benchmark,tracking_error,0.05459223328608709
benchmark,information_ratio,1.0798546438297867
benchmark,up_capture,0.9885663850400933
benchmark,down_capture,0.9172461036627553
portfolio,average_turnover,0.03964620087821062
portfolio,average_number_of_holdings,38.36
portfolio,cost_drag,0.029243773886069135
portfolio,max_adv_participation,0.0022397637499308887
portfolio,average_holding_period_days,1459.1031746031747
portfolio,estimated_capacity,44647566.06721832
portfolio,average_hhi,0.03951964719510882
portfolio,average_effective_holdings,25.535547711113225
