sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,2.978550596134172,1.1649159383723255,1.8136346577618467
Health Care,0.5717594729609627,0.2627451094878848,0.3090143634730779
Communication Services,0.7349078361571524,0.44811192514215276,0.28679591101499957
Utilities,0.11744315183806214,-0.1356185032052665,0.25306165504332867
Energy,0.2861689846517077,0.12604698436769396,0.16012200028401372
Financials,0.5866427405088204,0.4737716056788233,0.11287113482999706
Industrials,0.33861042521115936,0.24654391917962426,0.0920665060315351
Transaction Costs,-0.014936308090427152,0.0,-0.014936308090427152
Real Estate,2.3729627238254766e-08,0.04105647034116375,-0.04105644661153651
Materials,0.19693206939771052,0.2750159790295224,-0.0780839096318119
Consumer Staples,0.027727484551629576,0.15389482238421376,-0.12616733783258416
Consumer Discretionary,0.4838980662740295,0.9019476554988436,-0.41804958922481406
