sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,2.96945893603546,1.1649159383723255,1.8045429976631349
Health Care,0.5684051294531021,0.2627451094878848,0.30566001996521724
Communication Services,0.7342585427682776,0.44811192514215276,0.28614661762612487
Utilities,0.11745566887538031,-0.1356185032052665,0.2530741720806468
Energy,0.28620329302490205,0.12604698436769396,0.16015630865720812
Industrials,0.33832904679452425,0.24654391917962426,0.09178512761490004
Financials,0.5573603489453397,0.4737716056788233,0.08358874326651648
Transaction Costs,-0.014799699251709202,0.0,-0.014799699251709202
Real Estate,2.3990725737291204e-08,0.04105647034116375,-0.04105644635043801
Materials,0.1969567450195583,0.2750159790295224,-0.07805923400996412
Consumer Staples,0.02060946126769106,0.15389482238421376,-0.13328536111652273
Consumer Discretionary,0.4753435163794569,0.9019476554988436,-0.42660413911938666
