factor,accruals,beta_to_spy,book_to_market,earnings_yield,free_cash_flow_yield,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.04126349911352303,-0.13892007085790323,-0.12047063762553767,0.5096786101545464,-0.03342604296163059,0.062438080443195425,0.0263419150828372,0.03723941390286103,-0.0032062310607240564,0.00037201563257451627,-0.03356613747624906,-0.04657564323026936
beta_to_spy,0.04126349911352303,1.0,-0.17416463960151804,-0.020279265560762236,-0.022721224883653253,-0.4582774346024007,0.08016528080210249,-0.021880181367396678,0.005172487267217807,0.6550094072716663,0.5408067162281799,0.05483754436876511,-0.10252439999743233
book_to_market,-0.13892007085790323,-0.17416463960151804,1.0,0.309905156148558,0.2614685256235427,0.2188075263446113,-0.22574655144027994,-0.1012723081589964,-0.14875512133789065,-0.16192577908710878,-0.15333002625126962,-0.17470244423377973,0.39649076854385257
earnings_yield,-0.12047063762553767,-0.020279265560762236,0.309905156148558,1.0,0.382423288920263,0.0026520474191380713,-0.025071857115650062,-0.05155869789407875,-0.04221960991875059,0.0472902595032061,0.0403161173709597,0.41074780623181556,0.3158932775635051
free_cash_flow_yield,0.5096786101545464,-0.022721224883653253,0.2614685256235427,0.382423288920263,1.0,0.04161265361447396,-0.024932351048671114,-0.024102466797419918,-0.020937416672264737,-0.030308729525863817,-0.021749354380424617,0.10691905748729512,0.3049822561392578
max_drawdown_252d,-0.03342604296163059,-0.4582774346024007,0.2188075263446113,0.0026520474191380713,0.04161265361447396,1.0,-0.5912301934842489,-0.1479140866830527,-0.32323519062679795,-0.7089392084763987,-0.6292980880482375,-0.10027945326161124,0.14114665479733596
momentum_12_1,0.062438080443195425,0.08016528080210249,-0.22574655144027994,-0.025071857115650062,-0.024932351048671114,-0.5912301934842489,1.0,0.26924653646417795,0.5252953700706067,0.24232428155468785,0.253027976504397,0.08588784832351873,-0.1432980654594981
momentum_3m,0.0263419150828372,-0.021880181367396678,-0.1012723081589964,-0.05155869789407875,-0.024102466797419918,-0.1479140866830527,0.26924653646417795,1.0,0.6689406445125677,0.008075396402971788,0.10425717837539096,0.023456007482861457,-0.06222362743616189
momentum_6m,0.03723941390286103,0.005172487267217807,-0.14875512133789065,-0.04221960991875059,-0.020937416672264737,-0.32323519062679795,0.5252953700706067,0.6689406445125677,1.0,0.07674705790295308,0.1769675695804927,0.05071965636804647,-0.09155841080008743
realized_vol_252d,-0.0032062310607240564,0.6550094072716663,-0.16192577908710878,0.0472902595032061,-0.030308729525863817,-0.7089392084763987,0.24232428155468785,0.008075396402971788,0.07674705790295308,1.0,0.8086284363908546,0.10464762822261416,-0.10950500850224627
realized_vol_60d,0.00037201563257451627,0.5408067162281799,-0.15333002625126962,0.0403161173709597,-0.021749354380424617,-0.6292980880482375,0.253027976504397,0.10425717837539096,0.1769675695804927,0.8086284363908546,1.0,0.09127691654256996,-0.10905913666185621
roe,-0.03356613747624906,0.05483754436876511,-0.17470244423377973,0.41074780623181556,0.10691905748729512,-0.10027945326161124,0.08588784832351873,0.023456007482861457,0.05071965636804647,0.10464762822261416,0.09127691654256996,1.0,0.01897880784015669
sales_yield,-0.04657564323026936,-0.10252439999743233,0.39649076854385257,0.3158932775635051,0.3049822561392578,0.14114665479733596,-0.1432980654594981,-0.06222362743616189,-0.09155841080008743,-0.10950500850224627,-0.10905913666185621,0.01897880784015669,1.0
