factor_name,horizon_days,rank_ic
accruals,1,-0.005087763173298025
beta_to_spy,1,-0.04286492815055733
book_to_market,1,0.00494731939285838
earnings_yield,1,0.00671907852284364
free_cash_flow_yield,1,0.004492804829610739
max_drawdown_252d,1,0.014823064339444369
momentum_12_1,1,0.025639342074413037
momentum_3m,1,0.02384395566398218
momentum_6m,1,0.021140477373963736
realized_vol_252d,1,-0.031685421297716405
realized_vol_60d,1,-0.013881063987004028
roe,1,-0.011210964546555745
sales_yield,1,0.01106732004777883
accruals,5,-0.01342037249104616
beta_to_spy,5,-0.042460166030769624
book_to_market,5,0.0037861236701527763
earnings_yield,5,0.0044388509777332176
free_cash_flow_yield,5,0.0016208468806381369
max_drawdown_252d,5,0.03058892586084741
momentum_12_1,5,-0.014382439906529664
momentum_3m,5,0.030031014626739384
momentum_6m,5,0.01952448226123626
realized_vol_252d,5,-0.03348781453237907
realized_vol_60d,5,-0.018574789598831902
roe,5,-0.00998522137958966
sales_yield,5,0.01538156715044314
accruals,21,-0.003396821025871768
beta_to_spy,21,-0.03139152719698898
book_to_market,21,-0.005312219572188658
earnings_yield,21,0.013671741274687494
free_cash_flow_yield,21,-0.0027287204065886837
max_drawdown_252d,21,0.017688759701046185
momentum_12_1,21,-0.026017769390660344
momentum_3m,21,-0.0027638864046009956
momentum_6m,21,-0.005877618002378363
realized_vol_252d,21,-0.01707087423271813
realized_vol_60d,21,-0.00850141388441789
roe,21,0.014064462790627442
sales_yield,21,0.0016444565696697843
accruals,63,0.001059648283580125
beta_to_spy,63,-0.0521483620812153
book_to_market,63,-0.012532872285914057
earnings_yield,63,0.0066906152942509305
free_cash_flow_yield,63,0.0011382201316950968
max_drawdown_252d,63,0.020218394089171563
momentum_12_1,63,-0.02799282859160917
momentum_3m,63,0.008317772562703055
momentum_6m,63,0.006174125891277372
realized_vol_252d,63,-0.021750428464414783
realized_vol_60d,63,-0.016441470211631497
roe,63,0.016886477665406224
sales_yield,63,0.003829939098122392
