sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Utilities,0.08187306520774836,-0.1782510400100858,0.26012410521783413
Industrials,0.24630075009713287,0.053502333219246884,0.192798416877886
Materials,0.15400927006112994,0.021758501835600075,0.13225076822552986
Communication Services,0.12905879460357822,0.03845209078132961,0.09060670382224861
Information Technology,0.36098107534504537,0.2783330625177041,0.08264801282734122
Energy,0.0398931778245794,0.013141005593572461,0.02675217223100694
Health Care,0.1234573919626027,0.10839286485330775,0.015064527109294956
Consumer Staples,0.031798352547150174,0.03627068987248982,-0.004472337325339646
Transaction Costs,-0.0046643093916332755,0.0,-0.0046643093916332755
Real Estate,-5.561951869284833e-10,0.02324810625950932,-0.02324810681570451
Financials,0.24882145661147476,0.319692663809887,-0.07087120719841217
Consumer Discretionary,0.18319319925857772,0.7267867114630023,-0.5435935122044246
