factor,accruals,beta_to_spy,book_to_market,earnings_yield,free_cash_flow_yield,max_drawdown_252d,momentum_12_1,momentum_3m,momentum_6m,realized_vol_252d,realized_vol_60d,roe,sales_yield
accruals,1.0,0.017268874611806317,-0.1637893585414537,-0.14804054958457452,0.4769553964617558,-0.002338642372919567,0.032014059288644085,0.021086271574274697,0.027870556110851593,-0.016835315863420366,-0.019399621333633363,-0.026108507155399592,-0.018781889557129203
beta_to_spy,0.017268874611806317,1.0,-0.05921457504733968,0.0841850938555937,0.08739457891163292,-0.45065144437920146,-0.0446090750630785,-0.023389272472802453,-0.02781482736544881,0.7207407030449997,0.6049938924989925,0.002575339641851622,0.03787880474716112
book_to_market,-0.1637893585414537,-0.05921457504733968,1.0,0.2610407656242241,0.1702313563805768,0.11521981318145562,-0.10757660817835932,-0.05207385891403018,-0.07666853181266163,-0.0949173873519521,-0.07731636498463172,-0.16605225497787715,0.2904490510391004
earnings_yield,-0.14804054958457452,0.0841850938555937,0.2610407656242241,1.0,0.3831009128384599,-0.057056092542794805,0.03270266815404869,-0.013846664642715443,-0.0037259569018779316,0.06495061039872439,0.0632042795495393,0.3693763866439729,0.31800872103733285
free_cash_flow_yield,0.4769553964617558,0.08739457891163292,0.1702313563805768,0.3831009128384599,1.0,-0.031220966380135936,0.01943846328653367,0.003847667081127129,0.00568739056262995,0.03955969884751108,0.03455620351597779,0.11929274830306,0.31485250174616897
max_drawdown_252d,-0.002338642372919567,-0.45065144437920146,0.11521981318145562,-0.057056092542794805,-0.031220966380135936,1.0,-0.4752319143688089,-0.1909554537185017,-0.3442541717883183,-0.6684793907215572,-0.6220078233497356,-0.025918051856974062,0.05157260384857985
momentum_12_1,0.032014059288644085,-0.0446090750630785,-0.10757660817835932,0.03270266815404869,0.01943846328653367,-0.4752319143688089,1.0,0.31541451660296926,0.5662478485232391,0.03572631660769061,0.07049122884325129,0.055828208779664025,-0.003793038030831625
momentum_3m,0.021086271574274697,-0.023389272472802453,-0.05207385891403018,-0.013846664642715443,0.003847667081127129,-0.1909554537185017,0.31541451660296926,1.0,0.6688265470893493,-0.007215185782877165,0.07234706963203173,0.008440580821898969,-0.004332865610176571
momentum_6m,0.027870556110851593,-0.02781482736544881,-0.07666853181266163,-0.0037259569018779316,0.00568739056262995,-0.3442541717883183,0.5662478485232391,0.6688265470893493,1.0,0.004156950969213152,0.09557673465271516,0.03105828091711825,-0.0056143304287936645
realized_vol_252d,-0.016835315863420366,0.7207407030449997,-0.0949173873519521,0.06495061039872439,0.03955969884751108,-0.6684793907215572,0.03572631660769061,-0.007215185782877165,0.004156950969213152,1.0,0.8339359400058187,0.0027273672787076994,-0.07227231439720395
realized_vol_60d,-0.019399621333633363,0.6049938924989925,-0.07731636498463172,0.0632042795495393,0.03455620351597779,-0.6220078233497356,0.07049122884325129,0.07234706963203173,0.09557673465271516,0.8339359400058187,1.0,0.0031906138410140294,-0.07178108663229953
roe,-0.026108507155399592,0.002575339641851622,-0.16605225497787715,0.3693763866439729,0.11929274830306,-0.025918051856974062,0.055828208779664025,0.008440580821898969,0.03105828091711825,0.0027273672787076994,0.0031906138410140294,1.0,-0.0008317887632305503
sales_yield,-0.018781889557129203,0.03787880474716112,0.2904490510391004,0.31800872103733285,0.31485250174616897,0.05157260384857985,-0.003793038030831625,-0.004332865610176571,-0.0056143304287936645,-0.07227231439720395,-0.07178108663229953,-0.0008317887632305503,1.0
