date,symbol,weight,sector,position_value
2021-04-01,ORLY,0.05000000051834806,Consumer Discretionary,49950.6743325755
2021-04-01,LOW,0.05000000034337508,Consumer Discretionary,49950.67415777514
2021-04-01,HCA,0.050000000553747564,Health Care,49950.67436794008
2021-04-01,WU,0.0500000004647121,Industrials,49950.674278992454
2021-04-01,HD,0.050000000025076374,Consumer Discretionary,49950.67383979044
2021-04-01,KMB,0.050000000362648504,Consumer Staples,49950.67417702955
2021-04-01,TSCO,0.049999998700349615,Consumer Discretionary,49950.672516370556
2021-04-01,MCK,0.050000000136752765,Health Care,49950.67395135666
2021-04-01,F,0.049999925941956375,Consumer Discretionary,49950.59982975519
2021-04-01,AMZN,1.653994984827115e-08,Consumer Discretionary,0.016523632795662616
2021-04-01,GOOG,0.0499999997639076,Communication Services,49950.673578879316
2021-04-01,GOOGL,0.04999999950356843,Communication Services,49950.67331879698
2021-04-01,LYV,0.04999999819612416,Communication Services,49950.672012642535
2021-04-01,NVDA,0.04999999893210436,Information Technology,49950.67274789667
2021-04-01,WMT,0.049999998495042684,Consumer Staples,49950.672311266164
2021-04-01,CVS,0.04999999802046596,Health Care,49950.67183715762
2021-04-01,FTNT,0.049999994865179496,Information Technology,49950.668684983924
2021-04-01,BBY,1.0147047244620427e-08,Consumer Discretionary,0.010137036941975581
2021-04-01,ZBRA,0.049999984673058176,Information Technology,49950.65850291737
2021-04-01,URI,0.049999887730751834,Industrials,49950.561656246915
2021-04-01,ETSY,0.04999957745143064,Industrials,49950.25168302362
2021-04-01,PWR,0.04999975793081631,Industrials,49950.431984362105
2021-04-01,IVZ,5.801034312078885e-08,Financials,0.05795311454215202
2021-04-01,TGT,1.4465926557602297e-08,Consumer Staples,0.014451655578135193
2021-04-01,GNRC,1.244960494327462e-08,Industrials,0.012437323112877405
2021-04-01,MO,1.1631920997944177e-08,Consumer Staples,0.011620445832142414
2021-04-01,ETR,1.144489193031555e-08,Utilities,0.011433601273122568
2021-04-01,WRB,1.060207362184645e-08,Financials,0.01059161442489397
2021-04-01,COF,1.0505782219754509e-08,Financials,0.010495418016552802
2021-04-01,SPGI,1.0425996964203585e-08,Financials,0.010415711471047804
2021-04-01,PRU,1.0332385517852103e-08,Financials,0.01032219237460723
2021-04-01,RHI,1.0276363844386367e-08,Industrials,0.010266225967850373
