sector,portfolio_linked_contribution,benchmark_linked_contribution,active_linked_contribution
Information Technology,0.973686690267123,0.36655341074867925,0.6071332795184436
Health Care,0.28607303406508033,0.06313175987007881,0.22294127419500154
Industrials,0.25857455488926423,0.0789752780322957,0.17959927685696855
Consumer Staples,0.10681925266880425,0.04786695365521886,0.058952299013585396
Communication Services,0.22576808888096825,0.17010800642090507,0.05566008246006317
Consumer Discretionary,0.13840317099885954,0.08892788401120157,0.04947528698765799
Transaction Costs,-0.004624601878693322,0.0,-0.004624601878693322
Real Estate,1.2700641646832454e-08,0.007086181139764732,-0.007086168439123085
Financials,0.046517287380869146,0.06341272671037668,-0.016895439329507538
Utilities,2.618940638210549e-09,0.01714717828718696,-0.017147175668246323
Energy,-0.012511315331355893,0.04665074162479541,-0.05916205695615131
Materials,5.69509278355175e-09,0.1047388667364143,-0.10473886104132152
