start_date,trough_date,recovery_date,max_drawdown,duration_days
2016-01-29,2016-02-11,2016-02-17,-0.0494163148960004,19
2016-02-17,2016-02-18,2016-02-19,-0.0015450501305541708,2
2016-02-22,2016-02-23,2016-02-25,-0.010740661451327016,3
2016-02-25,2016-02-29,2016-03-01,-0.00931159464915321,5
2016-03-07,2016-03-08,2016-03-11,-0.010310896231010336,4
2016-03-11,2016-03-15,2016-03-16,-0.0029033246607947927,5
2016-03-18,2016-03-24,2016-03-29,-0.010319973879513888,11
2016-04-01,2016-04-07,2016-04-13,-0.01799528936454209,12
2016-04-13,2016-04-14,2016-04-18,-0.0024942019149616357,5
2016-04-19,2016-04-21,2016-04-27,-0.009946435372182427,8
2016-04-27,2016-05-19,2016-06-06,-0.030209719961117654,40
2016-06-08,2016-06-14,2016-06-23,-0.022462569966562262,15
2016-06-23,2016-06-27,2016-07-08,-0.05603917962723659,15
2016-07-14,2016-07-19,2016-07-20,-0.0015619191559023138,6
2016-07-20,2016-07-21,2016-07-26,-0.005710211840195378,6
2016-07-26,2016-08-02,2016-08-15,-0.012156052083203805,20
2016-08-15,2016-08-16,2016-08-18,-0.006474901900022867,3
2016-08-23,2016-08-31,2016-09-07,-0.009829224334455655,15
2016-09-07,2016-11-04,2016-11-17,-0.05487550021683496,71
2016-11-17,2016-11-18,2016-11-21,-0.002037560463927557,4
2016-11-25,2016-12-01,2016-12-06,-0.011217626656531143,11
2016-12-09,2016-12-12,2016-12-13,-0.004115740302656379,4
2016-12-13,2016-12-30,2017-01-24,-0.0242799695724788,42
2017-01-25,2017-02-01,2017-02-09,-0.015940356830748348,15
2017-02-15,2017-02-16,2017-02-21,-0.001165774236133954,6
2017-02-21,2017-02-23,2017-03-01,-0.006553006603966405,8
2017-03-01,2017-04-13,2017-05-10,-0.03418216897678428,70
2017-05-10,2017-05-17,2017-05-25,-0.02143634599264488,15
2017-05-25,2017-05-30,2017-06-01,-0.0022534011418791078,7
2017-06-02,2017-06-06,2017-06-13,-0.006703258723661731,11
2017-06-13,2017-06-15,2017-06-19,-0.003060811935791663,6
2017-06-19,2017-07-06,2017-07-14,-0.017806784648487728,25
2017-07-17,2017-07-18,2017-07-19,-0.0009631166505337241,2
2017-07-19,2017-07-20,2017-07-21,-0.00029109293902074285,2
2017-07-21,2017-08-18,2017-09-11,-0.029263625090800494,52
2017-09-20,2017-09-21,2017-09-22,-0.0013940105924494794,2
2017-09-22,2017-09-25,2017-09-27,-0.002861560486841608,5
2017-10-05,2017-10-09,2017-10-10,-0.0008836251897764713,5
2017-10-20,2017-10-23,2017-10-24,-0.0009438012085317693,4
2017-10-24,2017-10-25,2017-10-26,-0.00495124184553164,2
2017-10-27,2017-10-30,2017-11-03,-0.006855348414311457,7
2017-11-06,2017-11-07,2017-11-08,-0.0018659533283271745,2
2017-11-08,2017-11-09,2017-11-13,-0.005512328870634353,5
2017-11-14,2017-11-15,2017-11-16,-0.006804104681560341,2
2017-11-16,2017-11-17,2017-11-20,-0.0012451836171649688,4
2017-11-21,2017-11-22,2017-11-24,-0.0014935355629088765,3
2017-11-24,2017-11-27,2017-11-28,-0.0016352907212313639,4
2017-11-28,2017-11-29,2017-11-30,-0.00045403618470252205,2
2017-11-30,2017-12-06,2017-12-08,-0.010368605828563027,8
2017-12-08,2017-12-14,2017-12-18,-0.011275327425387949,10
2017-12-18,2017-12-22,2017-12-28,-0.0016878534472765105,10
2017-12-28,2017-12-29,2018-01-02,-0.00591754892988694,5
2018-01-09,2018-01-10,2018-01-11,-0.0035299180876307013,2
2018-01-12,2018-01-16,2018-01-17,-0.00539778637317978,5
2018-01-17,2018-01-18,2018-01-19,-0.0020423477389194256,2
2018-01-23,2018-01-25,2018-01-26,-0.0014827228683936822,3
2018-01-26,2018-02-08,2018-08-20,-0.10721351043020999,206
2018-08-21,2018-08-22,2018-08-23,-0.0006549246766160977,2
2018-08-27,2018-08-28,2018-08-29,-0.000387768421519219,2
2018-08-29,2018-12-24,2019-04-23,-0.1841108969871066,237
2019-04-23,2019-04-25,2019-04-26,-0.005919854206977049,3
2019-04-30,2019-05-31,2019-06-19,-0.05781534793341303,50
2019-06-20,2019-06-26,2019-07-01,-0.01777655320129301,11
2019-07-03,2019-07-08,2019-07-11,-0.005015337290583566,8
2019-07-12,2019-07-19,2019-07-26,-0.011892913322218424,14
2019-07-26,2019-08-05,2019-09-05,-0.05480502430090828,41
2019-09-06,2019-10-02,2019-10-25,-0.03800084727444164,49
2019-10-30,2019-10-31,2019-11-01,-0.004687724815232608,2
2019-11-04,2019-11-05,2019-11-07,-0.0027258057815570114,3
2019-11-08,2019-11-11,2019-11-13,-0.0007302810828396789,5
