date,sector,portfolio_weight,internal_cap_benchmark_weight,active_weight
2016-02-01,Communication Services,0.03,0.028584438375070107,0.0014155616249298918
2016-02-01,Consumer Discretionary,0.15,0.08018087263114487,0.06981912736885512
2016-02-01,Consumer Staples,0.04,0.09895567355090348,-0.05895567355090348
2016-02-01,Energy,0.07,0.06017278747158476,0.009827212528415244
2016-02-01,Financials,0.2,0.1457566820255767,0.054243317974423305
2016-02-01,Health Care,0.08,0.1604594007843446,-0.08045940078434459
2016-02-01,Industrials,0.17,0.21598009010052596,-0.04598009010052595
2016-02-01,Information Technology,0.1,0.13727693184718442,-0.03727693184718442
2016-02-01,Materials,0.06,0.01781278861455423,0.04218721138544577
2016-02-01,Real Estate,0.04,0.023931584898568843,0.016068415101431158
2016-02-01,Utilities,0.06,0.03088874970054205,0.029111250299457946
2016-03-01,Communication Services,0.03,0.03387751023790873,-0.003877510237908728
2016-03-01,Consumer Discretionary,0.13,0.08014114470800394,0.04985885529199606
2016-03-01,Consumer Staples,0.05,0.09933378296878873,-0.04933378296878872
2016-03-01,Energy,0.08,0.059477478486691125,0.020522521513308876
2016-03-01,Financials,0.15,0.14117027719870132,0.008829722801298678
2016-03-01,Health Care,0.09,0.1594928440858986,-0.06949284408589859
2016-03-01,Industrials,0.17,0.21225227633090585,-0.042252276330905836
2016-03-01,Information Technology,0.08,0.13840404931285238,-0.05840404931285238
2016-03-01,Materials,0.07,0.01947515654978731,0.0505248434502127
2016-03-01,Real Estate,0.06,0.024684187516336102,0.035315812483663896
2016-03-01,Utilities,0.09,0.03169129260412599,0.05830870739587401
2016-04-01,Communication Services,0.03,0.03369099316647403,-0.0036909931664740325
2016-04-01,Consumer Discretionary,0.14,0.07933192341041391,0.060668076589586103
2016-04-01,Consumer Staples,0.06,0.09663791115175752,-0.03663791115175752
2016-04-01,Energy,0.08,0.05990042933948748,0.020099570660512524
2016-04-01,Financials,0.16,0.14051096046320596,0.01948903953679404
2016-04-01,Health Care,0.1,0.1551404029864434,-0.055140402986443404
2016-04-01,Industrials,0.15,0.2139412485910285,-0.06394124859102851
2016-04-01,Information Technology,0.1,0.1416387334640027,-0.04163873346400268
2016-04-01,Materials,0.06,0.020020076536601362,0.03997992346339864
2016-04-01,Real Estate,0.05,0.02619471933258896,0.02380528066741104
2016-04-01,Utilities,0.07,0.03299260155799612,0.03700739844200389
2016-05-02,Communication Services,0.03,0.020274934092297688,0.00972506590770231
2016-05-02,Consumer Discretionary,0.16,0.4268569984681969,-0.2668569984681969
2016-05-02,Consumer Staples,0.06,0.0589797975120998,0.0010202024879001972
2016-05-02,Energy,0.07,0.040164108238066015,0.02983589176193399
2016-05-02,Financials,0.14,0.09174446098129113,0.04825553901870888
2016-05-02,Health Care,0.09,0.09976210977553893,-0.00976210977553893
2016-05-02,Industrials,0.15,0.1310784545952702,0.01892154540472979
2016-05-02,Information Technology,0.12,0.08217671962364011,0.03782328037635989
2016-05-02,Materials,0.07,0.013099174416733922,0.05690082558326608
2016-05-02,Real Estate,0.04,0.015898469360941105,0.024101530639058896
2016-05-02,Utilities,0.07,0.01996477293592414,0.05003522706407587
2016-06-01,Communication Services,0.02,0.02060296077677616,-0.0006029607767761604
2016-06-01,Consumer Discretionary,0.16,0.422264531984786,-0.26226453198478594
2016-06-01,Consumer Staples,0.06,0.05914979435476537,0.0008502056452346293
2016-06-01,Energy,0.07,0.039726086744961385,0.03027391325503862
2016-06-01,Financials,0.18,0.0936142463243218,0.08638575367567819
2016-06-01,Health Care,0.11,0.10069101822231839,0.009308981777681608
2016-06-01,Industrials,0.14,0.12856856034194675,0.011431439658053266
2016-06-01,Information Technology,0.14,0.08699673179043303,0.05300326820956698
2016-06-01,Materials,0.06,0.012785892170512382,0.047214107829487616
2016-06-01,Real Estate,0.03,0.015425073536009266,0.014574926463990733
2016-06-01,Utilities,0.03,0.020175103753169346,0.009824896246830653
2016-07-01,Communication Services,0.02,0.021435659241506103,-0.0014356592415061022
2016-07-01,Consumer Discretionary,0.15,0.4214001083611465,-0.2714001083611465
2016-07-01,Consumer Staples,0.08,0.06168970601888258,0.018310293981117422
2016-07-01,Energy,0.05,0.0408088913602243,0.009191108639775701
2016-07-01,Financials,0.18,0.08708011929914719,0.0929198807008528
2016-07-01,Health Care,0.12,0.10112585898434362,0.018874141015656376
2016-07-01,Industrials,0.15,0.13125044817732803,0.01874955182267196
2016-07-01,Information Technology,0.13,0.08471213406372859,0.04528786593627142
2016-07-01,Materials,0.06,0.012720652493759867,0.04727934750624013
2016-07-01,Real Estate,0.03,0.016185635418320733,0.013814364581679266
2016-07-01,Utilities,0.03,0.021590786581612637,0.008409213418387362
2016-08-01,Communication Services,0.03,0.019519702815662884,0.010480297184337115
2016-08-01,Consumer Discretionary,0.18,0.46761988486334916,-0.28761988486334916
2016-08-01,Consumer Staples,0.08,0.05766273125568651,0.022337268744313493
2016-08-01,Energy,0.04,0.03562965546639793,0.0043703445336020705
2016-08-01,Financials,0.16,0.08238140949668112,0.07761859050331889
2016-08-01,Health Care,0.1,0.09426687593188346,0.005733124068116546
2016-08-01,Industrials,0.15,0.11717969527302378,0.03282030472697621
2016-08-01,Information Technology,0.12,0.07979745198378428,0.040202548016215714
2016-08-01,Materials,0.06,0.01209068373235461,0.047909316267645385
2016-08-01,Real Estate,0.03,0.0147450816133751,0.0152549183866249
2016-08-01,Utilities,0.05,0.019106827567801302,0.0308931724321987
2016-09-01,Communication Services,0.02,0.019719357864576743,0.00028064213542325703
2016-09-01,Consumer Discretionary,0.17,0.44421165349945807,-0.2742116534994581
2016-09-01,Consumer Staples,0.07,0.05921629609546864,0.010783703904531365
2016-09-01,Energy,0.05,0.037475985555836124,0.01252401444416388
2016-09-01,Financials,0.12,0.09016989480262967,0.029830105197370324
2016-09-01,Health Care,0.1,0.0950145156327124,0.0049854843672876015
2016-09-01,Industrials,0.15,0.12125568185868006,0.028744318141319933
2016-09-01,Information Technology,0.14,0.0850860697931519,0.05491393020684811
2016-09-01,Materials,0.06,0.012428377818963946,0.047571622181036055
2016-09-01,Real Estate,0.05,0.016344410779927824,0.03365558922007218
2016-09-01,Utilities,0.07,0.019077756298594734,0.05092224370140527
2016-10-03,Communication Services,0.02,0.023561541232583666,-0.0035615412325836655
2016-10-03,Consumer Discretionary,0.18,0.4411311710163738,-0.2611311710163738
2016-10-03,Consumer Staples,0.06,0.058575463850505105,0.0014245361494948927
2016-10-03,Energy,0.06,0.038282656554416664,0.021717343445583334
2016-10-03,Financials,0.12,0.08877122405601726,0.03122877594398274
2016-10-03,Health Care,0.09,0.09554151432737008,-0.005541514327370087
2016-10-03,Industrials,0.16,0.11959548978224711,0.04040451021775289
