signal_date,execution_date,universe_size,listed_since_prior,delisted_since_prior,price_coverage,fundamental_coverage,minimum_internal_benchmark_coverage,delisting_liquidations
2016-02-22,2016-02-23,365,365,0,1.0,1.0,0.0,0
2016-03-23,2016-03-24,369,4,0,1.0,1.0,0.0,0
2016-04-22,2016-04-25,372,3,0,1.0,1.0,0.0,0
2016-05-23,2016-05-24,372,2,2,1.0,1.0,0.0,0
2016-06-23,2016-06-24,377,5,0,1.0,1.0,0.0,0
2016-07-22,2016-07-25,380,3,0,1.0,1.0,0.0,0
2016-08-24,2016-08-25,382,3,1,1.0,1.0,0.0,0
2016-09-23,2016-09-26,382,0,0,1.0,1.0,0.0,0
2016-10-24,2016-10-25,386,4,0,1.0,1.0,0.0,0
2016-11-22,2016-11-23,386,1,1,1.0,1.0,0.0,0
2016-12-22,2016-12-23,386,0,0,1.0,1.0,0.0,0
2017-01-24,2017-01-25,386,1,1,1.0,1.0,0.0,0
2017-02-21,2017-02-22,387,1,0,1.0,1.0,0.0,0
2017-03-24,2017-03-27,388,1,0,1.0,1.0,0.0,0
2017-04-21,2017-04-24,393,7,2,1.0,1.0,0.0,0
2017-05-23,2017-05-24,395,2,0,1.0,1.0,0.0,0
2017-06-23,2017-06-26,395,0,0,1.0,1.0,0.0,0
2017-07-24,2017-07-25,395,3,3,1.0,1.0,0.0,0
2017-08-24,2017-08-25,398,5,2,1.0,1.0,0.0,0
2017-09-22,2017-09-25,398,1,1,1.0,1.0,0.0,0
2017-10-24,2017-10-25,399,2,1,1.0,1.0,0.0,0
2017-11-22,2017-11-24,402,3,0,1.0,1.0,0.0,0
2017-12-21,2017-12-22,401,0,1,1.0,1.0,0.0,0
2018-01-24,2018-01-25,402,1,0,1.0,1.0,0.0,0
2018-02-21,2018-02-22,403,1,0,1.0,1.0,0.0,0
2018-03-22,2018-03-23,403,0,0,1.0,1.0,0.0,0
2018-04-23,2018-04-24,405,3,1,1.0,1.0,0.0,0
2018-05-23,2018-05-24,406,1,0,1.0,1.0,0.0,0
2018-06-22,2018-06-25,407,1,0,1.0,1.0,0.0,0
2018-07-24,2018-07-25,405,2,4,1.0,1.0,0.0,0
2018-08-24,2018-08-27,408,3,0,1.0,1.0,0.0,0
2018-09-21,2018-09-24,408,0,0,1.0,1.0,0.0,0
2018-10-24,2018-10-25,406,0,2,1.0,1.0,0.0,0
2018-11-23,2018-11-26,410,4,0,1.0,1.0,0.0,0
2018-12-21,2018-12-24,410,2,2,1.0,1.0,0.0,0
2019-01-24,2019-01-25,414,4,0,1.0,1.0,0.0,0
2019-02-21,2019-02-22,416,3,1,1.0,1.0,0.0,0
2019-03-22,2019-03-25,416,3,3,1.0,1.0,0.0,0
2019-04-23,2019-04-24,418,2,0,1.0,1.0,0.0,0
2019-05-23,2019-05-24,417,1,2,1.0,1.0,0.0,0
2019-06-21,2019-06-24,417,0,0,1.0,1.0,0.0,0
2019-07-24,2019-07-25,417,2,2,1.0,1.0,0.0,0
2019-08-23,2019-08-26,418,2,1,1.0,1.0,0.0,0
2019-09-23,2019-09-24,421,4,1,1.0,1.0,0.0,0
2019-10-24,2019-10-25,423,3,1,1.0,1.0,0.0,0
2019-11-21,2019-11-22,426,4,1,1.0,1.0,0.0,0
2019-12-23,2019-12-24,426,1,1,1.0,1.0,0.0,0
2020-01-24,2020-01-27,429,5,2,1.0,1.0,0.0,0
2020-02-21,2020-02-24,430,2,1,1.0,1.0,0.0,0
2020-03-24,2020-03-25,424,1,7,1.0,1.0,0.0,0
2020-04-23,2020-04-24,427,3,0,1.0,1.0,0.0,0
2020-05-21,2020-05-22,429,4,2,1.0,1.0,0.0,0
2020-06-23,2020-06-24,433,5,1,1.0,1.0,0.0,0
2020-07-24,2020-07-27,435,4,2,1.0,1.0,0.0,0
2020-08-24,2020-08-25,436,1,0,1.0,1.0,0.0,0
2020-09-23,2020-09-24,434,0,2,1.0,1.0,0.0,0
2020-10-23,2020-10-26,435,3,2,1.0,1.0,0.0,0
2020-11-20,2020-11-23,437,2,0,1.0,1.0,0.0,0
2020-12-23,2020-12-24,437,0,0,1.0,1.0,0.0,0
