category,metric,value
performance,total_return,6.546843070207415
performance,gross_total_return,6.584081471638941
performance,net_total_return,6.546843070207415
performance,benchmark_total_return,2.6176698027634453
performance,cagr,0.2141307839159634
performance,annualized_volatility,0.19478807303473408
performance,downside_volatility,0.1361403511146212
performance,sharpe_ratio,1.0941558916514176
performance,sortino_ratio,1.5655058620712732
performance,calmar_ratio,0.6130968145220905
performance,omega_ratio,1.2323070392868127
performance,max_drawdown,-0.34926096310397325
performance,var_95_daily,-0.017880901660899128
performance,cvar_95_daily,-0.029193165680525213
benchmark,alpha_annualized,0.06902216578037401
benchmark,beta,1.0316669647658825
benchmark,correlation,0.952089938316932
benchmark,r_squared,0.9064752506443394
benchmark,tracking_error,0.05984110641708123
benchmark,information_ratio,1.227341994279764
benchmark,up_capture,1.0793057966743447
benchmark,down_capture,1.0058340526931908
portfolio,average_turnover,0.04195764658842045
portfolio,average_number_of_holdings,39.768
portfolio,cost_drag,0.03723840143152568
portfolio,max_adv_participation,0.002166841979347318
portfolio,average_holding_period_days,1487.8045112781954
portfolio,estimated_capacity,46150111.9846872
portfolio,average_hhi,0.039751397904926704
portfolio,average_effective_holdings,25.357354846579177
