factor_name,horizon_days,rank_ic
accruals,1,0.022214717719074736
beta_to_spy,1,0.01337048515104639
book_to_market,1,-0.02539686286676714
earnings_yield,1,0.012826376645535195
free_cash_flow_yield,1,0.01821660197315716
max_drawdown_252d,1,0.00910678067717261
momentum_12_1,1,0.02374953447175099
momentum_3m,1,0.020982066273981765
momentum_6m,1,0.07365354412744966
realized_vol_252d,1,-0.010862559419954681
realized_vol_60d,1,-0.022440266045713735
roe,1,0.030644814475706755
sales_yield,1,0.017483259694767567
accruals,5,0.0221978244562519
beta_to_spy,5,-0.03954809186639418
book_to_market,5,-4.150016206922134e-05
earnings_yield,5,0.008982796622149299
free_cash_flow_yield,5,0.006647185717553246
max_drawdown_252d,5,0.0640669598745342
momentum_12_1,5,-0.052935488232862225
momentum_3m,5,0.010789084058399212
momentum_6m,5,-0.016528467127640053
realized_vol_252d,5,-0.043636687151620814
realized_vol_60d,5,-0.05318821418635535
roe,5,-0.011046696809053116
sales_yield,5,-0.0051712475891705625
accruals,21,-0.009100959258178366
beta_to_spy,21,-0.07772921611235147
book_to_market,21,0.07050914793506964
earnings_yield,21,0.043246949736255785
free_cash_flow_yield,21,0.00931240211589508
max_drawdown_252d,21,0.10417033211577598
momentum_12_1,21,-0.0384247243806062
momentum_3m,21,0.024440299401430235
momentum_6m,21,0.004848596704101042
realized_vol_252d,21,-0.0837806766877135
realized_vol_60d,21,-0.08751131852806582
roe,21,-0.031944564212103295
sales_yield,21,0.06410069202032898
accruals,63,-0.023257583522677372
beta_to_spy,63,-0.1456074178440818
book_to_market,63,0.1171429881555241
earnings_yield,63,0.06314889649230931
free_cash_flow_yield,63,0.01370736462034449
max_drawdown_252d,63,0.10948481288717314
momentum_12_1,63,0.017742092558503866
momentum_3m,63,0.048195063148663536
momentum_6m,63,0.049244645562894034
realized_vol_252d,63,-0.12368043616952999
realized_vol_60d,63,-0.11491504634560701
roe,63,-0.051876381842290646
sales_yield,63,0.1182803155842741
