category,metric,value
performance,total_return,6.249581013302713
performance,gross_total_return,6.290325540748135
performance,net_total_return,6.249581013302713
performance,benchmark_total_return,2.6176698027634453
performance,cagr,0.20945590463649721
performance,annualized_volatility,0.18247027026856036
performance,downside_volatility,0.12805497156646387
performance,sharpe_ratio,1.1341951585370986
performance,sortino_ratio,1.6161566754020247
performance,calmar_ratio,0.6233230364564813
performance,omega_ratio,1.2418795614138773
performance,max_drawdown,-0.3360310663748761
performance,var_95_daily,-0.016819277776926666
performance,cvar_95_daily,-0.02733641111503534
benchmark,alpha_annualized,0.07146453054941548
benchmark,beta,0.9699988700626524
benchmark,correlation,0.9556083277186213
benchmark,r_squared,0.9131872760051798
benchmark,tracking_error,0.05403285899316406
benchmark,information_ratio,1.2450550188272544
benchmark,up_capture,1.0119666014236852
benchmark,down_capture,0.9346980211188166
portfolio,average_turnover,0.04826131810505632
portfolio,average_number_of_holdings,41.44
portfolio,cost_drag,0.04074452744542256
portfolio,max_adv_participation,0.0022397637075420654
portfolio,average_holding_period_days,1419.2589928057555
portfolio,estimated_capacity,44647566.912199326
portfolio,average_hhi,0.03982358075487455
portfolio,average_effective_holdings,25.343139102557327
