date,symbol,weight,sector,position_value
2016-02-01,COR,0.05000000029310211,Health Care,49948.262195279916
2016-02-01,WU,0.050000000191671834,Industrials,49948.2620939546
2016-02-01,CLX,0.050000000149264985,Consumer Staples,49948.262051591635
2016-02-01,KMB,0.050000000096746655,Consumer Staples,49948.261999127644
2016-02-01,AMZN,0.050000000066854136,Consumer Discretionary,49948.26196926606
2016-02-01,ISRG,0.05000000004145671,Health Care,49948.26194389491
2016-02-01,VLO,0.0499999999416707,Energy,49948.26184421216
2016-02-01,HRB,0.04999999973262665,Consumer Discretionary,49948.26163538442
2016-02-01,CTAS,0.049999999381768453,Industrials,49948.261284889275
2016-02-01,BKNG,0.04999999941353369,Consumer Discretionary,49948.26131662165
2016-02-01,CL,0.04999999907328173,Consumer Staples,49948.260976721765
2016-02-01,BALL,0.04999999775248464,Materials,49948.25965729139
2016-02-01,PSX,0.04999999755934536,Energy,49948.259464351955
2016-02-01,PBI,0.04999999763288305,Information Technology,49948.25953781355
2016-02-01,UPS,0.04999999753492634,Industrials,49948.2594399582
2016-02-01,CME,0.04999999615652999,Financials,49948.25806298817
2016-02-01,MA,0.049999990535765086,Financials,49948.25244803942
2016-02-01,SHW,0.04999999073002331,Materials,49948.25264209663
2016-02-01,NEE,0.04999998531928813,Utilities,49948.24723696027
2016-02-01,ICE,0.04999920687854263,Financials,49947.46960171564
2016-02-01,AFL,5.62433364357207e-08,Financials,0.05618513797121471
2016-02-01,MPC,1.2728411843601931e-08,Energy,0.012715240967337432
2016-02-01,F,1.1150515631129857e-08,Consumer Discretionary,0.01113897750182767
2016-02-01,NDAQ,1.0042049720993188e-08,Financials,0.0100316585900381
2016-02-01,GILD,1.001468452051334e-08,Health Care,0.010004321706026475
2016-02-01,NEM,1.0020027324695539e-08,Materials,0.010009658981678196
2016-02-01,EFX,1.0022601399174476e-08,Industrials,0.010012230392602805
2016-02-01,PGR,1.0021548218109528e-08,Financials,0.01001117830132955
2016-02-01,DHR,1.003481505944609e-08,Health Care,0.010024431414643495
2016-02-01,EXR,1.0043217578306356e-08,Real Estate,0.010032825238896956
2016-02-01,PSA,1.004625095057282e-08,Real Estate,0.010035855472345218
2016-02-01,WM,1.0041778893736723e-08,Industrials,0.010031388043023375
2016-02-01,UAL,1.0041987249635536e-08,Industrials,0.010031596183323433
2016-02-01,MCD,1.0046586816669262e-08,Consumer Discretionary,0.010036190990900204
2016-02-01,TSCO,1.004551894484119e-08,Consumer Discretionary,0.010035124224065268
2016-02-01,XRAY,1.0048546496768026e-08,Health Care,0.010038148643196566
2016-02-01,CINF,1.00362154471979e-08,Financials,0.010025830353327344
2016-02-01,ADBE,1.0042696069374548e-08,Information Technology,0.010032304269602749
2016-02-01,CCL,1.0034585170957795e-08,Consumer Discretionary,0.01002420176403506
2016-02-01,MSFT,1.0032126392692556e-08,Information Technology,0.010021745530020016
2016-02-01,TROW,1.0025610931123666e-08,Financials,0.010015236810402846
2016-02-01,GEN,1.0012640249257571e-08,Information Technology,0.010002279550104817
2016-02-01,MCHP,1.0007288554886285e-08,Information Technology,0.009996933393463235
2016-02-02,COR,0.050643058537461386,Health Care,49465.606686570616
2016-02-02,WU,0.04951380157095763,Industrials,48362.60496103651
2016-02-02,CLX,0.05008194945211906,Consumer Staples,48917.543395660294
2016-02-02,KMB,0.050740816831275584,Consumer Staples,49561.092098625384
2016-02-02,AMZN,0.04911683795577411,Consumer Discretionary,47974.87075570564
2016-02-02,ISRG,0.05077849807443757,Health Care,49597.897252333336
2016-02-02,VLO,0.04859151031323061,Energy,47461.756988526315
2016-02-02,HRB,0.05051411386606013,Consumer Discretionary,49339.659980663324
2016-02-02,CTAS,0.05062055538423783,Industrials,49443.626731988275
2016-02-02,BKNG,0.05028497101197737,Consumer Discretionary,49115.84470128576
2016-02-02,CL,0.05048833014141595,Consumer Staples,49314.47572799382
2016-02-02,BALL,0.04990444115301369,Materials,48744.16216710253
2016-02-02,PSX,0.05050668173942418,Energy,49332.400651080236
2016-02-02,PBI,0.044038441258121085,Information Technology,43014.5468554684
2016-02-02,UPS,0.05146875423318854,Industrials,50272.1049453087
2016-02-02,CME,0.050948522933491815,Financials,49763.9690309305
2016-02-02,MA,0.0495793719280903,Financials,48426.650806407866
2016-02-02,SHW,0.04995331621412098,Materials,48791.900882325004
2016-02-02,NEE,0.05155811929888129,Utilities,50359.39227191847
2016-02-02,ICE,0.05066705154859659,Financials,49489.04185984639
2016-02-02,AFL,5.8306316955977856e-08,Financials,0.05695069423489642
2016-02-02,MPC,1.2550425161637906e-08,Energy,0.012258627593268186
2016-02-02,F,1.0875018640190717e-08,Consumer Discretionary,0.010622174297922322
2016-02-02,NDAQ,1.0366928046475566e-08,Financials,0.01012589681793425
2016-02-02,GILD,1.0079163929550815e-08,Health Care,0.009844823220932232
2016-02-02,NEM,1.0008556871798432e-08,Materials,0.00977585777830416
2016-02-02,EFX,9.946643885982919e-09,Industrials,0.009715384270313406
2016-02-02,PGR,1.0252841676565755e-08,Financials,0.010014462957791643
2016-02-02,DHR,1.0073211166623148e-08,Health Care,0.009839008859829603
2016-02-02,EXR,1.0456435185252146e-08,Real Estate,0.010213322914426576
2016-02-02,PSA,1.032084517023258e-08,Real Estate,0.010080885369237184
2016-02-02,WM,1.005034772944026e-08,Industrials,0.009816676997895252
2016-02-02,UAL,9.763800240946072e-09,Industrials,0.00953679174269501
2016-02-02,MCD,1.0220662288593453e-08,Consumer Discretionary,0.009983031741059838
2016-02-02,TSCO,1.0198171539196435e-08,Consumer Discretionary,0.00996106390191489
2016-02-02,XRAY,1.0148689180234839e-08,Health Care,0.009912732008522088
2016-02-02,CINF,1.0095772221956598e-08,Financials,0.009861045370296933
2016-02-02,ADBE,1.0080837879121064e-08,Information Technology,0.009846458251150516
2016-02-02,CCL,9.447571670101853e-09,Consumer Discretionary,0.009227915490743017
2016-02-02,MSFT,9.93960426170636e-09,Information Technology,0.009708508317404125
2016-02-02,TROW,9.945265486145192e-09,Financials,0.009714037918292045
2016-02-02,GEN,9.99148496228593e-09,Information Technology,0.009759182790937244
2016-02-02,MCHP,9.946945768709601e-09,Information Technology,0.009715679134262281
2016-02-03,COR,0.05048543313265642,Health Care,49381.42130651876
2016-02-03,WU,0.050022805512712536,Industrials,48928.910394144244
2016-02-03,CLX,0.05078600369321849,Consumer Staples,49675.419011647915
2016-02-03,KMB,0.05160326791634672,Consumer Staples,50474.81135943654
2016-02-03,AMZN,0.04717917372071298,Consumer Discretionary,46147.46293795695
2016-02-03,ISRG,0.05124733284092042,Health Care,50126.659846678216
2016-02-03,VLO,0.045296909597313806,Energy,44306.36003123363
2016-02-03,HRB,0.05047236711115839,Consumer Discretionary,49368.64101184052
2016-02-03,CTAS,0.050258445449325596,Industrials,49159.397373545915
2016-02-03,BKNG,0.049384071783398306,Consumer Discretionary,48304.14444815205
2016-02-03,CL,0.05093379910489737,Consumer Staples,49819.982443878114
2016-02-03,BALL,0.05024427247673696,Materials,49145.53433450402
2016-02-03,PSX,0.05082078711687841,Energy,49709.441793897204
2016-02-03,PBI,0.0450001461185472,Information Technology,44016.08615490864
2016-02-03,UPS,0.051743401827111075,Industrials,50611.880831904
2016-02-03,CME,0.05104211157487158,Financials,49925.92634453738
2016-02-03,MA,0.04982043535127685,Financials,48730.96564886564
2016-02-03,SHW,0.05146769568728636,Materials,50342.20381414516
2016-02-03,NEE,0.051864958045369204,Utilities,50730.77886751082
2016-02-03,ICE,0.05032572667956354,Financials,49225.20730267281
2016-02-03,AFL,5.8264579913240226e-08,Financials,0.056990454263963555
2016-02-03,MPC,1.1577252530727405e-08,Energy,0.011324082003804907
2016-02-03,F,1.0812477198662432e-08,Consumer Discretionary,0.010576030723779252
2016-02-03,NDAQ,1.0232678338015927e-08,Financials,0.010008910862979158
2016-02-03,GILD,1.0512736311589766e-08,Health Care,0.010282844548899224
2016-02-03,NEM,1.1124824326012612e-08,Materials,0.010881547466579723
2016-02-03,EFX,9.87706363332686e-09,Industrials,0.00966107271511379
2016-02-03,PGR,1.0214848768382034e-08,Financials,0.00999147118909359
2016-02-03,DHR,1.0138859780191447e-08,Health Care,0.00991714392263961
